haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
A17	12652.6	11646.8	13663.9	12.6526	11.6468	13.6639	116	rho_direct	NA	
A17b	7554.9	6028.7	9095.1	7.5549	6.0287	9.0951	24	rho_direct	NA	
A17b2		3014.3			3.0143	NA	6	single_child_interpolation	NA	
A17b2c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A17b6		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A17b7	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	2	rho_fallback_no_desc	NA	
A17c	12278.2	10336.7	14245.5	12.2782	10.3367	14.2454	24	single_child_interpolation	low	ci_exceeds_ancestor
A17c1	11102.4	8148.9	14114.4	11.1024	8.1488	14.1144	17	single_child_interpolation	low	ci_exceeds_ancestor
A17c1a	9926.5	5961.0	13983.3	9.9265	5.9610	13.9833	4	rho_fallback_no_desc	low	ci_exceeds_ancestor
A17f	7891.7	4467.0	11387.4	7.8917	4.4670	11.3874	8	rho_fallback_no_desc	NA	
A17h	6326.3	5823.4	6831.9	6.3263	5.8234	6.8319	24	single_child_interpolation	NA	
A17h2	0.0	0.0	0.0	0.0	0.0000	0.0000	3	rho_fallback_no_desc	NA	
A17i	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
A17j	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	NA	
A17j^	7619.0	5823.4	10723.9	7.619	5.8234	10.7239	3	single_child_interpolation	NA	
A18	9317.1	7532.5	11120.2	9.3171	7.5325	11.1202	19	rho_direct	NA	
A19	9332.8	7192.8	11503.7	9.3328	7.1928	11.5037	26	single_child_interpolation	NA	
A19'45	11158.8	9771.2	12557.2	11.1588	9.7712	12.5572	35	rho_direct	NA	
A19b	7506.8	4614.4	10450.1	7.5068	4.6144	10.4501	7	rho_fallback_no_desc	NA	
A1a	6103.3	4771.9	7445.7	6.1033	4.7719	7.4457	18	rho_direct	NA	
A1a1	3895.3	2144.0	5666.7	3.8953	2.1440	5.6667	10	rho_direct	NA	
A1a1a	2591.1	1072.0	4754.7	2.5911	1.0720	4.7547	4	single_child_interpolation	NA	
A1a1a1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
A1a1b	1947.7	1072.0		1.9477	1.0720	NA	2	single_child_interpolation	NA	
A1a1b1	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
A1a2	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
A1a3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A1a3a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A1a3b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A1a3b^		0.0			0.0000	NA	0	single_child_interpolation	NA	
A1a5	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
A1b	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
A2	21493.9	20742.7	22247.5	21.4939	20.7427	22.2475	422	rho_direct	NA	
A20	6816.3	2933.5	10793.0	6.8163	2.9335	10.7930	5	rho_fallback_no_desc	NA	
A20a	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	4	rho_fallback_no_desc	NA	
A20b	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
A21	12212.5	11227.9	13205.8	12.2125	11.2279	13.2058	16	single_child_interpolation	NA	
A21c	6106.2	5613.9	6602.9	6.1062	5.6139	6.6029	9	single_child_interpolation	NA	
A21c1	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
A22	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	3	rho_fallback_no_desc	NA	
A23		6685.2			6.6852	NA	3	single_child_interpolation	NA	
"A23""47"	13023.2	7173.4	19060.8	13.0232	7.1734	19.0608	8	rho_fallback_no_desc	NA	
A23'31	13370.5	13370.5	13370.5	13.3705	13.3705	13.3705	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
A23a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A24	2399.2	677.9	4140.7	2.3992	0.6779	4.1407	14	rho_direct	NA	
A25		10864.9			10.8649	NA	41	single_child_interpolation	NA	
A25c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A26	3318.9	2185.8	4467.8	3.3189	2.1858	4.4678	3	single_child_interpolation	NA	
A26'36'54	6637.8	4371.6	8935.6	6.6378	4.3716	8.9356	15	rho_direct	NA	
A26c	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
A28	14817.9	13933.3	15708.5	14.8179	13.9333	15.7085	9	single_child_interpolation	NA	
A28a	10017.1	8520.5	11531.0	10.0171	8.5205	11.5310	7	single_child_interpolation	NA	
A28a1	5216.4	3107.6	7353.6	5.2164	3.1076	7.3536	4	rho_fallback_no_desc	NA	
A28a1a	2585.4	513.0	4687.0	2.5854	0.5130	4.6870	4	rho_fallback_no_desc	NA	
A28a1b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A28a1c		1553.8			1.5538	NA	0	single_child_interpolation	NA	
A28a1c1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2_13105	21493.9	20742.7	22247.5	21.4939	20.7427	22.2475	0	ancestor_only	NA	
A2_15106	21493.9	20742.7	22247.5	21.4939	20.7427	22.2475	0	ancestor_only	NA	
A2_51	21493.9	20742.7	22247.5	21.4939	20.7427	22.2475	0	ancestor_only	NA	
A2a	12753.5	11189.5	14330.6	12.7535	11.1895	14.3306	27	rho_direct	NA	
A2a1	5881.1	4580.9	7191.9	5.8811	4.5809	7.1919	4	rho_fallback_no_desc	NA	
"A2a1""12"	9778.2	8996.7	10563.3	9.7782	8.9967	10.5633	23	rho_direct	NA	
A2a10		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2a11	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2a12		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2a13		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2a14	13062.0	9594.5	16614.3	13.062	9.5945	16.6143	2	single_child_interpolation	low	ci_exceeds_ancestor
A2a2	9245.6	7714.3	10790.5	9.2456	7.7143	10.7905	4	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2a2a	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	NA	
A2a2b	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	NA	
A2a3	7497.3	4498.4		7.4973	4.4984	NA	1	single_child_interpolation	NA	
A2a3a	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2a4	9245.6	6602.1	11929.9	9.2456	6.6021	11.9299	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2a4'9	10610.1	7537.1	13736.8	10.6101	7.5371	13.7368	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2a5	12301.9	11868.5	12745.9	12.3019	11.8685	12.7459	2	single_child_interpolation	low	ci_exceeds_ancestor
A2a5^	13993.7	13126.8	14881.8	13.9937	13.1268	14.8818	2	single_child_interpolation	low	ci_exceeds_ancestor
A2a5^^	14616.9	12883.1	16393.0	14.6169	12.8831	16.3930	2	single_child_interpolation	low	ci_exceeds_ancestor
A2a5b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2a5b'c'd'e	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
A2a5b'c'd'e'f	10610.1	10610.1	10610.1	10.6101	10.6101	10.6101	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2a5b'd'e		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2a5b'd'e+152		0.0			0.0000	NA	0	single_child_interpolation	NA	
A2a5b_d_e_152_16519	12753.5	11189.5	14330.6	12.7535	11.1895	14.3306	0	ancestor_only	NA	
A2a5c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2a5d		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2a5e		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2a5f	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
A2a6	8985.0	5594.8		8.985	5.5948	NA	2	single_child_interpolation	NA	
A2a6a	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2a7	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2a8	6400.0	5482.2	7323.0	6.4	5.4822	7.3230	9	rho_fallback_no_desc	NA	
A2a8a	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	3	rho_fallback_no_desc	NA	
A2a8b	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2a9	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2aa	13370.5	10249.9	16543.3	13.3705	10.2499	16.5433	3	rho_fallback_no_desc	NA	
"A2aa""im"	16171.7	13004.8	19389.3	16.1717	13.0048	19.3893	3	rho_fallback_no_desc	NA	
A2aa3	10610.1	0.0		10.6101	0.0000	NA	1	rho_fallback_no_desc	NA	
A2aa3a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2aa3b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2aa4		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2aa5		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ab	17606.7	14842.1	20408.8	17.6067	14.8422	20.4088	2	single_child_interpolation	NA	
"A2ab""fj"	24808.6	22996.4	26634.6	24.8086	22.9964	26.6346	5	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2ab'cs	20447.4	17644.0	23287.3	20.4474	17.6440	23.2873	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2ab3	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ab3'4	14766.0	12040.3	17530.4	14.766	12.0403	17.5304	2	rho_fallback_no_desc	NA	
A2ab4	11328.9	6020.1		11.3289	6.0201	NA	1	single_child_interpolation	NA	
A2ab4a	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ac	17790.2	16139.4	19454.3	17.7902	16.1394	19.4543	7	rho_fallback_no_desc	NA	
A2ac'ai	21102.8	18575.7	23659.1	21.1028	18.5757	23.6591	11	rho_direct	low	ci_exceeds_ancestor
A2ac1	8973.9	7675.8	10281.9	8.9739	7.6758	10.2819	5	rho_fallback_no_desc	NA	
A2ac10		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac13		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac13a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac13b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac14		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac1a		3837.9			3.8379	NA	1	single_child_interpolation	NA	
A2ac1a1		1919.0			1.9190	NA	0	single_child_interpolation	NA	
A2ac1a1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac1b	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	3	rho_fallback_no_desc	NA	
A2ac1b2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac1b3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac1b5		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac1b_152	21102.8	18575.7	23659.1	21.1028	18.5757	23.6591	0	ancestor_only	NA	
A2ac1b_16311	21102.8	18575.7	23659.1	21.1028	18.5757	23.6591	0	ancestor_only	NA	
A2ac1c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac3_16209	21102.8	18575.7	23659.1	21.1028	18.5757	23.6591	0	ancestor_only	NA	
A2ac3a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac3b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac3c		0.0			0.0000	NA	0	single_child_interpolation	NA	
A2ac3c_16209	21102.8	18575.7	23659.1	21.1028	18.5757	23.6591	0	ancestor_only	NA	
A2ac4		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac5	13370.5	0.0		13.3705	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ac5a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac5b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac5c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac5d		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac6	19012.5	0.0		19.0125	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ac6a		0.0			0.0000	NA	0	single_child_interpolation	NA	
A2ac6a1		0.0			0.0000	NA	0	single_child_interpolation	NA	
A2ac6a1^		0.0			0.0000	NA	0	single_child_interpolation	NA	
A2ac6a1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac6b	13370.5	0.0		13.3705	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ac6c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac7		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac7a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac7b		0.0			0.0000	NA	0	single_child_interpolation	NA	
A2ac7b1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ac9		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad	19012.5	13761.8	24396.3	19.0125	13.7618	24.3963	5	rho_fallback_no_desc	low	ci_exceeds_ancestor
"A2ad""ei"	21891.8	16568.7	27344.2	21.8918	16.5687	27.3442	5	rho_fallback_no_desc	low	ci_exceeds_ancestor
"A2ad""ei^"	22521.5	18323.8	26815.8	22.5215	18.3238	26.8158	5	single_child_interpolation	low	ci_exceeds_ancestor
"A2ad""ei^^"	23151.2	20078.8	26287.5	23.1513	20.0788	26.2875	5	single_child_interpolation	low	ci_exceeds_ancestor
A2ad1		6880.9			6.8809	NA	2	single_child_interpolation	NA	
A2ad1b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad2	17587.2	9408.7	26103.5	17.5872	9.4087	26.1035	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2ad3		6880.9			6.8809	NA	0	single_child_interpolation	NA	
A2ad3a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad4	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ad4a	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ad4e		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad5		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad5'6		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad6		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad7		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad7a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ad7b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ae	17587.2	14024.6	21212.3	17.5872	14.0246	21.2123	4	rho_fallback_no_desc	NA	
A2ae1	13370.5	10249.9	16543.3	13.3705	10.2499	16.5433	3	rho_fallback_no_desc	NA	
A2ae1a	11985.1	9299.9	14710.0	11.9851	9.2999	14.7100	2	rho_fallback_no_desc	NA	
A2ae1a1	10610.1	0.0		10.6101	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ae1a2	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
A2ae1b		5124.9			5.1250	NA	0	single_child_interpolation	NA	
A2ae1b1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ae1c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2ae2	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
A2af	27205.1	24504.5	29935.5	27.2051	24.5045	29.9355	16	rho_direct	low	ci_exceeds_ancestor
A2af'cv	32445.5	29979.0	34934.6	32.4455	29.9790	34.9346	16	rho_direct	low	ci_exceeds_ancestor
A2af1	21505.7	18709.1	24337.9	21.5057	18.7091	24.3379	15	rho_direct	low	ci_exceeds_ancestor
A2af1a	14299.7	9953.5	18746.0	14.2997	9.9535	18.7460	6	rho_fallback_no_desc	NA	
A2af1a1	16171.7	13004.8	19389.3	16.1717	13.0048	19.3893	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2af1a1+152		6502.4			6.5024	NA	0	single_child_interpolation	NA	
A2af1a1_152_195	21505.7	18709.1	24337.9	21.5057	18.7091	24.3379	0	ancestor_only	NA	
A2af1a1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2af1a1d	13370.5	0.0		13.3705	0.0000	NA	1	rho_fallback_no_desc	NA	
A2af1a1e		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2af1a1f		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2af1a1g		6502.4			6.5024	NA	1	single_child_interpolation	NA	
A2af1a1g_16519	21505.7	18709.1	24337.9	21.5057	18.7091	24.3379	0	ancestor_only	NA	
A2af1a1h		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2af1a1i		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2af1a2	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	NA	
A2af1b	21570.0	19585.9	23571.9	21.57	19.5859	23.5719	9	rho_fallback_no_desc	low	ci_exceeds_ancestor
A2af1b1	12815.1	10792.7	14859.5	12.8151	10.7927	14.8595	5	rho_fallback_no_desc	NA	
A2af1b1a	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
A2af1b1b	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	NA	
A2af1b1c	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2af1b2	10013.9	7157.6		10.0138	7.1576	NA	2	single_child_interpolation	NA	
A2af1b2^	14811.3	14315.3	15311.8	14.8113	14.3153	15.3118	2	single_child_interpolation	NA	
A2af1b2^^	21730.9	20738.8	22731.8	21.7309	20.7388	22.7318	2	single_child_interpolation	low	ci_exceeds_ancestor
A2af1b2a	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2af1b4	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A2af1b5	19012.5	0.0		19.0125	0.0000	NA	1	rho_fallback_no_desc	NA	
A2af1b5a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2af1b5b	10610.1	0.0		10.6101	0.0000	NA	1	rho_fallback_no_desc	NA	
A2af1b6		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2af1c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A2af2	13370.5	0.0		13.3705	0.0000	NA	1	rho_fallback_no_desc	NA	
A2af2^	20287.8	12252.2		20.2878	12.2523	NA	1	single_child_interpolation	NA	
A2ag	17432.2	10371.4		17.4322	10.3713	NA	2	single_child_interpolation	NA	
