haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
U4a10a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a10a2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a11	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a11a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a11a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a11a1a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a11a1b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a11a2	0.0				no_ci		0.0		single_child_interpolation		
U4a11a2a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a11b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a12	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a12'13'95'2c	8.0	15.1165	12.3979	17.8732	low	15.1165	12.3979	17.8732	rho_fallback_no_desc	0.0	0.0
U4a12a	0.0				no_ci		0.0		single_child_interpolation		
U4a12a+16362	0.0				no_ci						
U4a12a_16362						14.1923	13.1505	15.2397	ancestor_only		
U4a12b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a13	1.0	7.8917			no_ci	7.8917	0.0		rho_fallback_no_desc	0.0	0.0
U4a14	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a15	0.0				no_ci		3.2876		single_child_interpolation		
U4a15+16261	0.0				no_ci						
U4a15^	0.0				no_ci		6.5752		single_child_interpolation		
U4a15_16261						14.1923	13.1505	15.2397	ancestor_only		
U4a16	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a17	0.0				no_ci		6.5752		single_child_interpolation		
U4a17a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a17a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a17a2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a19	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a19^	0.0				no_ci		6.5752		single_child_interpolation		
U4a19a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a19b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1_195						9.8756	8.839	10.9184	ancestor_only		
U4a1a	21.0	6.4849	4.7001	8.2894	medium	6.4849	4.7001	8.2894	rho_direct	0.0	0.0
U4a1a+16311	0.0				no_ci						
U4a1a+195	0.0				no_ci						
U4a1a10	3.0	5.2164	2.2425	8.247	low	5.2164	2.2425	8.247	rho_fallback_no_desc	0.0	0.0
U4a1a10a	3.0	2.5854	-0.3368	5.566	low	2.5854	0.0	5.566	rho_fallback_no_desc	0.0	0.0
U4a1a10a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a10a2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a10b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a11	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a11+16311	0.0				no_ci						
U4a1a11_16311						6.4849	4.7001	8.2894	ancestor_only		
U4a1a11b	0.0				no_ci		0.0		single_child_interpolation		
U4a1a11b1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a11c	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a11d	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a12	0.0				no_ci		2.35		single_child_interpolation		
U4a1a12a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a13	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a14	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a14+16189	0.0				no_ci						
U4a1a14_16189						6.4849	4.7001	8.2894	ancestor_only		
U4a1a14a	0.0				no_ci		0.0		rho_fallback_no_desc		
