sample_id	haplogroup
111-1892-1484	G2a9
111-1892-1736	C7a1
111-1892-1781	B4b1c2b
111-1892-2047	D5a2a1b11^
111-1892-2443	A33
111-1892-2566	D6c
111-1892-3372	M8b
111-1892-3389	M8a2a1f
111-1892-3518	M8a2b
111-1892-3563	G2a1c
111-1892-3839	G2a2a1
111-1892-4249	D5a2a1b11
111-1892-4614	D4b2e
111-1892-4836	F1a1c2^
111-1892-4904	Y1c1b
111-1892-5796	M7c1a5
111-1892-5949	B4c1b2c1b^
111-1892-6465	B5b3b1
111-1892-6748	A1a1
111-1892-6885	M10a1h
111-1892-7035	H31a3
111-1892-7295	F2f
111-1892-7783	B4d1a'c'f'g
111-1892-8070	A5a
111-1892-8667	B4d1a'c'f'g
111-1892-9756	B4c1c3
111-1892-9886	M7c1b2b3
111-1892-9930	D4b2b+194
111-1893-0318	M10a1g
111-1893-0370	B4c1a1a1
111-1893-0950	D5a2a1
111-1893-1667	N9a10e
111-1893-2077	C7a1
111-1893-3999	M7c1a3
111-1893-4231	D4a8
111-1893-4491	F1c1a1
111-1893-4651	F3b2
111-1893-4828	F2c2^^
111-1893-4910	B4a2b1
111-1893-5467	B4a1c4f
111-1893-5849	G3a1^
111-1893-6334	F2d2
111-1893-6594	B4c1a1a1
111-1893-6655	F1a1d
111-1893-6761	U3b1a1
111-1893-7119	M7c1c2ap^"
111-1893-7850	D4a7
111-1893-8031	D4a1e
111-1893-8536	F3a1b1
111-1893-8864	B4h1a2
111-1893-9519	B5a1c
111-1894-0461	F2e2
111-1894-0669	A14n2
111-1894-1031	B4c1a3
111-1894-1352	B5a1c1a2
111-1894-1475	A5b1c1
111-1894-1796	B4b1i2
111-1894-2120	M7b1a1g
111-1894-3233	B4c1c
111-1894-3363	F1a1c8
111-1894-3615	B4h7
111-1894-3943	D4g2a1
111-1894-4384	D4e1
111-1894-4476	M7b1a1af
111-1894-4612	F1a5b1
111-1894-4872	M12a1a1b
111-1894-4940	D4a6
111-1894-6487	F1a1
111-1894-6623	C7a1
111-1894-6937	M9a1a2g
111-1894-7781	G1a1a'b'c'e
111-1894-8290	D4j23
111-1894-8443	G2a1c
111-1894-8580	R11
111-1894-9402	B4c1b4
111-1894-9495	Z4a
111-1895-0224	D4b2b8a
