Category	Group	Window Type	Time Window	Window Start (Years)	Window End (Years)	Feature	Median	Lower 95% HPD	Upper 95% HPD	Directional Posterior Probability	Probability Statement	Reliable Window Coverage	Usable	At Window Boundary
Central Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Fluctuation Amplitude	0.13688	0.00122	0.24294			1.000	Yes	
Central Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Time of Maximum Expansion	1000.00000	1000.00000	1000.00000	0.980	An expansion occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Maximum Expansion Rate	0.37938	-0.00110	0.69690	0.980	An expansion occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Time of Maximum Contraction	600.00000	600.00000	600.00000	0.025	A contraction occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Maximum Contraction Rate	0.22411	-0.00413	0.42046	0.025	A contraction occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	500-1000 Years	500	1000	Mean Log Effective Population Size	11.63438	11.40356	11.87266			1.000	Yes	
North China	Northern Lowland	Time Period	500-1000 Years	500	1000	Net Change in Log Effective Population Size	0.05225	-0.12382	0.21700	0.735	Net increase over the window	1.000	Yes	
North China	Northern Lowland	Time Period	500-1000 Years	500	1000	Mean Rate of Change	0.00013	-0.00031	0.00054	0.735	Positive mean rate of change	1.000	Yes	
North China	Northern Lowland	Time Period	500-1000 Years	500	1000	Fluctuation Amplitude	0.06990	0.00267	0.21000			1.000	Yes	
North China	Northern Lowland	Time Period	500-1000 Years	500	1000	Time of Maximum Expansion	1000.00000	600.00000	1000.00000	0.810	An expansion occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	500-1000 Years	500	1000	Maximum Expansion Rate	0.17179	-0.18368	0.61347	0.810	An expansion occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	500-1000 Years	500	1000	Time of Maximum Contraction	600.00000	600.00000	1000.00000	0.315	A contraction occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	500-1000 Years	500	1000	Maximum Contraction Rate	0.09867	-0.30962	0.49236	0.315	A contraction occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Mean Log Effective Population Size	11.24358	11.05803	11.45390			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Net Change in Log Effective Population Size	-0.17972	-0.32318	-0.07582	0.005	Net increase over the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Mean Rate of Change	-0.00045	-0.00081	-0.00019	0.005	Positive mean rate of change	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Fluctuation Amplitude	0.17972	0.07582	0.32318			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Time of Maximum Expansion	1000.00000	1000.00000	1000.00000	0.005	An expansion occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Maximum Expansion Rate	-0.29454	-0.50283	-0.04796	0.005	An expansion occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Time of Maximum Contraction	600.00000	600.00000	600.00000	1.000	A contraction occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Maximum Contraction Rate	-0.53107	-0.97067	-0.22443	1.000	A contraction occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	500-1000 Years	500	1000	Mean Log Effective Population Size	9.66206	9.28409	10.05671			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	500-1000 Years	500	1000	Net Change in Log Effective Population Size	0.02236	-0.01334	0.05988	0.890	Net increase over the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	500-1000 Years	500	1000	Mean Rate of Change	0.00006	-0.00003	0.00015	0.890	Positive mean rate of change	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	500-1000 Years	500	1000	Fluctuation Amplitude	0.02245	0.00012	0.05642			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	500-1000 Years	500	1000	Time of Maximum Expansion	1000.00000	600.00000	1000.00000	1.000	An expansion occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	500-1000 Years	500	1000	Maximum Expansion Rate	0.12003	0.00004	0.30284	1.000	An expansion occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	500-1000 Years	500	1000	Time of Maximum Contraction	600.00000	600.00000	1000.00000	1.000	A contraction occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	500-1000 Years	500	1000	Maximum Contraction Rate	-0.00975	-0.03768	-0.00059	1.000	A contraction occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	500-1000 Years	500	1000	Mean Log Effective Population Size	10.10348	9.91697	10.30117			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	500-1000 Years	500	1000	Net Change in Log Effective Population Size	-0.07749	-0.19187	0.02788	0.095	Net increase over the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	500-1000 Years	500	1000	Mean Rate of Change	-0.00019	-0.00048	0.00007	0.095	Positive mean rate of change	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	500-1000 Years	500	1000	Fluctuation Amplitude	0.07749	0.00697	0.17825			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	500-1000 Years	500	1000	Time of Maximum Expansion	1000.00000	1000.00000	1000.00000	0.365	An expansion occurs within the window	1.000	Yes	Yes
