Category	Group	Time Window	Window Start (Years)	Feature	Median
Sichuan Basin	Sichuan Region	8500-9000 Years	8500	Net Change in Log Effective Population Size	-0.06281
Sichuan Basin	Sichuan Region	8500-9000 Years	8500	Mean Rate of Change	-1.6e-4
Sichuan Basin	Sichuan Region	8500-9000 Years	8500	Fluctuation Amplitude	0.2132
Sichuan Basin	Sichuan Region	8500-9000 Years	8500	Time of Maximum Expansion	8600
Sichuan Basin	Sichuan Region	8500-9000 Years	8500	Maximum Expansion Rate	0.06125
Sichuan Basin	Sichuan Region	8500-9000 Years	8500	Time of Maximum Contraction	9000
Sichuan Basin	Sichuan Region	8500-9000 Years	8500	Maximum Contraction Rate	-0.43269
Southern Segment	Corridor Segment	8500-9000 Years	8500	Mean Log Effective Population Size	9.58262
Southern Segment	Corridor Segment	8500-9000 Years	8500	Net Change in Log Effective Population Size	-0.04351
Southern Segment	Corridor Segment	8500-9000 Years	8500	Mean Rate of Change	-1.1e-4
Southern Segment	Corridor Segment	8500-9000 Years	8500	Fluctuation Amplitude	0.21888
Southern Segment	Corridor Segment	8500-9000 Years	8500	Time of Maximum Expansion	8600
Southern Segment	Corridor Segment	8500-9000 Years	8500	Maximum Expansion Rate	0.0032
Southern Segment	Corridor Segment	8500-9000 Years	8500	Time of Maximum Contraction	9000
Southern Segment	Corridor Segment	8500-9000 Years	8500	Maximum Contraction Rate	-0.59705
Western Highland	Highland	8500-9000 Years	8500	Mean Log Effective Population Size	8.70866
Western Highland	Highland	8500-9000 Years	8500	Net Change in Log Effective Population Size	0.0037200000000000002
Western Highland	Highland	8500-9000 Years	8500	Mean Rate of Change	1e-5
Western Highland	Highland	8500-9000 Years	8500	Fluctuation Amplitude	0.12124
Western Highland	Highland	8500-9000 Years	8500	Time of Maximum Expansion	8800
Western Highland	Highland	8500-9000 Years	8500	Maximum Expansion Rate	-0.01201
Western Highland	Highland	8500-9000 Years	8500	Time of Maximum Contraction	8600
Western Highland	Highland	8500-9000 Years	8500	Maximum Contraction Rate	-0.11142
Central Segment	Corridor Segment	9000-9500 Years	9000	Mean Log Effective Population Size	8.67505
Central Segment	Corridor Segment	9000-9500 Years	9000	Net Change in Log Effective Population Size	0.00595
Central Segment	Corridor Segment	9000-9500 Years	9000	Mean Rate of Change	1e-5
Central Segment	Corridor Segment	9000-9500 Years	9000	Fluctuation Amplitude	0.02607
Central Segment	Corridor Segment	9000-9500 Years	9000	Time of Maximum Expansion	9000
Central Segment	Corridor Segment	9000-9500 Years	9000	Maximum Expansion Rate	0.10539
Central Segment	Corridor Segment	9000-9500 Years	9000	Time of Maximum Contraction	9300
Central Segment	Corridor Segment	9000-9500 Years	9000	Maximum Contraction Rate	-0.03928
North China	Northern Lowland	9000-9500 Years	9000	Mean Log Effective Population Size	9.67875
North China	Northern Lowland	9000-9500 Years	9000	Net Change in Log Effective Population Size	0.03085
North China	Northern Lowland	9000-9500 Years	9000	Mean Rate of Change	8e-5
North China	Northern Lowland	9000-9500 Years	9000	Fluctuation Amplitude	0.09181
North China	Northern Lowland	9000-9500 Years	9000	Time of Maximum Expansion	9400
North China	Northern Lowland	9000-9500 Years	9000	Maximum Expansion Rate	0.20005
North China	Northern Lowland	9000-9500 Years	9000	Time of Maximum Contraction	9000
North China	Northern Lowland	9000-9500 Years	9000	Maximum Contraction Rate	-0.07694
Northern Segment	Corridor Segment	9000-9500 Years	9000	Mean Log Effective Population Size	9.54403
Northern Segment	Corridor Segment	9000-9500 Years	9000	Net Change in Log Effective Population Size	-0.04723
Northern Segment	Corridor Segment	9000-9500 Years	9000	Mean Rate of Change	-1.2e-4
Northern Segment	Corridor Segment	9000-9500 Years	9000	Fluctuation Amplitude	0.0839
Northern Segment	Corridor Segment	9000-9500 Years	9000	Time of Maximum Expansion	9000
Northern Segment	Corridor Segment	9000-9500 Years	9000	Maximum Expansion Rate	-0.00972
Northern Segment	Corridor Segment	9000-9500 Years	9000	Time of Maximum Contraction	9400
Northern Segment	Corridor Segment	9000-9500 Years	9000	Maximum Contraction Rate	-0.20805
Panxi and Liangshan	Sichuan Region	9000-9500 Years	9000	Mean Log Effective Population Size	8.45241
Panxi and Liangshan	Sichuan Region	9000-9500 Years	9000	Net Change in Log Effective Population Size	0.00366
Panxi and Liangshan	Sichuan Region	9000-9500 Years	9000	Mean Rate of Change	1e-5
Panxi and Liangshan	Sichuan Region	9000-9500 Years	9000	Fluctuation Amplitude	0.02596
Panxi and Liangshan	Sichuan Region	9000-9500 Years	9000	Time of Maximum Expansion	9400
Panxi and Liangshan	Sichuan Region	9000-9500 Years	9000	Maximum Expansion Rate	0.12726
Panxi and Liangshan	Sichuan Region	9000-9500 Years	9000	Time of Maximum Contraction	9200
Panxi and Liangshan	Sichuan Region	9000-9500 Years	9000	Maximum Contraction Rate	-0.03486
Qinghai-Tibet Plateau Core	Highland	9000-9500 Years	9000	Mean Log Effective Population Size	8.90228
Qinghai-Tibet Plateau Core	Highland	9000-9500 Years	9000	Net Change in Log Effective Population Size	-0.00442
Qinghai-Tibet Plateau Core	Highland	9000-9500 Years	9000	Mean Rate of Change	-1e-5
Qinghai-Tibet Plateau Core	Highland	9000-9500 Years	9000	Fluctuation Amplitude	0.07985
Qinghai-Tibet Plateau Core	Highland	9000-9500 Years	9000	Time of Maximum Expansion	9000
Qinghai-Tibet Plateau Core	Highland	9000-9500 Years	9000	Maximum Expansion Rate	0.01692
Qinghai-Tibet Plateau Core	Highland	9000-9500 Years	9000	Time of Maximum Contraction	9400
Qinghai-Tibet Plateau Core	Highland	9000-9500 Years	9000	Maximum Contraction Rate	-0.15098
Sichuan Basin	Sichuan Region	9000-9500 Years	9000	Mean Log Effective Population Size	9.88487
Sichuan Basin	Sichuan Region	9000-9500 Years	9000	Net Change in Log Effective Population Size	-0.47705
Sichuan Basin	Sichuan Region	9000-9500 Years	9000	Mean Rate of Change	-0.00119
Sichuan Basin	Sichuan Region	9000-9500 Years	9000	Fluctuation Amplitude	0.48912
Sichuan Basin	Sichuan Region	9000-9500 Years	9000	Time of Maximum Expansion	9400
Sichuan Basin	Sichuan Region	9000-9500 Years	9000	Maximum Expansion Rate	-0.22242
Sichuan Basin	Sichuan Region	9000-9500 Years	9000	Time of Maximum Contraction	9200
Sichuan Basin	Sichuan Region	9000-9500 Years	9000	Maximum Contraction Rate	-0.556
Southern Segment	Corridor Segment	9000-9500 Years	9000	Mean Log Effective Population Size	9.90111
Southern Segment	Corridor Segment	9000-9500 Years	9000	Net Change in Log Effective Population Size	-0.54806
Southern Segment	Corridor Segment	9000-9500 Years	9000	Mean Rate of Change	-0.00137
Southern Segment	Corridor Segment	9000-9500 Years	9000	Fluctuation Amplitude	0.54806
Southern Segment	Corridor Segment	9000-9500 Years	9000	Time of Maximum Expansion	9000
Southern Segment	Corridor Segment	9000-9500 Years	9000	Maximum Expansion Rate	-0.49324
Southern Segment	Corridor Segment	9000-9500 Years	9000	Time of Maximum Contraction	9400
Southern Segment	Corridor Segment	9000-9500 Years	9000	Maximum Contraction Rate	-0.95523
Western Highland	Highland	9000-9500 Years	9000	Mean Log Effective Population Size	8.70468
Western Highland	Highland	9000-9500 Years	9000	Net Change in Log Effective Population Size	-0.01397
Western Highland	Highland	9000-9500 Years	9000	Mean Rate of Change	-3e-5
Western Highland	Highland	9000-9500 Years	9000	Fluctuation Amplitude	0.08876
Western Highland	Highland	9000-9500 Years	9000	Time of Maximum Expansion	9000
Western Highland	Highland	9000-9500 Years	9000	Maximum Expansion Rate	0.01295
Western Highland	Highland	9000-9500 Years	9000	Time of Maximum Contraction	9400
Western Highland	Highland	9000-9500 Years	9000	Maximum Contraction Rate	-0.14613
Central Segment	Corridor Segment	9500-10000 Years	9500	Mean Log Effective Population Size	8.64467
Central Segment	Corridor Segment	9500-10000 Years	9500	Net Change in Log Effective Population Size	0.0253
Central Segment	Corridor Segment	9500-10000 Years	9500	Mean Rate of Change	6e-5
Central Segment	Corridor Segment	9500-10000 Years	9500	Fluctuation Amplitude	0.09074
Central Segment	Corridor Segment	9500-10000 Years	9500	Time of Maximum Expansion	9800
Central Segment	Corridor Segment	9500-10000 Years	9500	Maximum Expansion Rate	0.04825
Central Segment	Corridor Segment	9500-10000 Years	9500	Time of Maximum Contraction	9800
Central Segment	Corridor Segment	9500-10000 Years	9500	Maximum Contraction Rate	0.03018
North China	Northern Lowland	9500-10000 Years	9500	Mean Log Effective Population Size	9.52055
North China	Northern Lowland	9500-10000 Years	9500	Net Change in Log Effective Population Size	0.11596
North China	Northern Lowland	9500-10000 Years	9500	Mean Rate of Change	2.9e-4
North China	Northern Lowland	9500-10000 Years	9500	Fluctuation Amplitude	0.16633
North China	Northern Lowland	9500-10000 Years	9500	Time of Maximum Expansion	9600
North China	Northern Lowland	9500-10000 Years	9500	Maximum Expansion Rate	0.27187
North China	Northern Lowland	9500-10000 Years	9500	Time of Maximum Contraction	10000
North China	Northern Lowland	9500-10000 Years	9500	Maximum Contraction Rate	0.0511
Northern Segment	Corridor Segment	9500-10000 Years	9500	Mean Log Effective Population Size	9.66165
Northern Segment	Corridor Segment	9500-10000 Years	9500	Net Change in Log Effective Population Size	-0.07037
Northern Segment	Corridor Segment	9500-10000 Years	9500	Mean Rate of Change	-1.8e-4
Northern Segment	Corridor Segment	9500-10000 Years	9500	Fluctuation Amplitude	0.15353
Northern Segment	Corridor Segment	9500-10000 Years	9500	Time of Maximum Expansion	9600
Northern Segment	Corridor Segment	9500-10000 Years	9500	Maximum Expansion Rate	-0.1184
Northern Segment	Corridor Segment	9500-10000 Years	9500	Time of Maximum Contraction	10000
Northern Segment	Corridor Segment	9500-10000 Years	9500	Maximum Contraction Rate	-0.26102
Panxi and Liangshan	Sichuan Region	9500-10000 Years	9500	Mean Log Effective Population Size	8.40947
Panxi and Liangshan	Sichuan Region	9500-10000 Years	9500	Net Change in Log Effective Population Size	0.04835
Panxi and Liangshan	Sichuan Region	9500-10000 Years	9500	Mean Rate of Change	1.2e-4
Panxi and Liangshan	Sichuan Region	9500-10000 Years	9500	Fluctuation Amplitude	0.12205
Panxi and Liangshan	Sichuan Region	9500-10000 Years	9500	Time of Maximum Expansion	9800
Panxi and Liangshan	Sichuan Region	9500-10000 Years	9500	Maximum Expansion Rate	0.08638
Panxi and Liangshan	Sichuan Region	9500-10000 Years	9500	Time of Maximum Contraction	9600
Panxi and Liangshan	Sichuan Region	9500-10000 Years	9500	Maximum Contraction Rate	0.0768
Qinghai-Tibet Plateau Core	Highland	9500-10000 Years	9500	Mean Log Effective Population Size	8.98527
Qinghai-Tibet Plateau Core	Highland	9500-10000 Years	9500	Net Change in Log Effective Population Size	-0.06277
Qinghai-Tibet Plateau Core	Highland	9500-10000 Years	9500	Mean Rate of Change	-1.6e-4
Qinghai-Tibet Plateau Core	Highland	9500-10000 Years	9500	Fluctuation Amplitude	0.13006
Qinghai-Tibet Plateau Core	Highland	9500-10000 Years	9500	Time of Maximum Expansion	9600
Qinghai-Tibet Plateau Core	Highland	9500-10000 Years	9500	Maximum Expansion Rate	-0.09273
Qinghai-Tibet Plateau Core	Highland	9500-10000 Years	9500	Time of Maximum Contraction	10000
Qinghai-Tibet Plateau Core	Highland	9500-10000 Years	9500	Maximum Contraction Rate	-0.19783
Sichuan Basin	Sichuan Region	9500-10000 Years	9500	Mean Log Effective Population Size	10.2319
Sichuan Basin	Sichuan Region	9500-10000 Years	9500	Net Change in Log Effective Population Size	0.09956
Sichuan Basin	Sichuan Region	9500-10000 Years	9500	Mean Rate of Change	2.5e-4
Sichuan Basin	Sichuan Region	9500-10000 Years	9500	Fluctuation Amplitude	0.26912
Sichuan Basin	Sichuan Region	9500-10000 Years	9500	Time of Maximum Expansion	10000
Sichuan Basin	Sichuan Region	9500-10000 Years	9500	Maximum Expansion Rate	0.57779
Sichuan Basin	Sichuan Region	9500-10000 Years	9500	Time of Maximum Contraction	9600
Sichuan Basin	Sichuan Region	9500-10000 Years	9500	Maximum Contraction Rate	-0.16544
Western Highland	Highland	9500-10000 Years	9500	Mean Log Effective Population Size	8.7819
Western Highland	Highland	9500-10000 Years	9500	Net Change in Log Effective Population Size	-0.04909
Western Highland	Highland	9500-10000 Years	9500	Mean Rate of Change	-1.2e-4
Western Highland	Highland	9500-10000 Years	9500	Fluctuation Amplitude	0.11644
Western Highland	Highland	9500-10000 Years	9500	Time of Maximum Expansion	9600
Western Highland	Highland	9500-10000 Years	9500	Maximum Expansion Rate	-0.09694
Western Highland	Highland	9500-10000 Years	9500	Time of Maximum Contraction	10000
Western Highland	Highland	9500-10000 Years	9500	Maximum Contraction Rate	-0.17932
Central Segment	Corridor Segment	10000-10500 Years	10000	Mean Log Effective Population Size	8.6153
Central Segment	Corridor Segment	10000-10500 Years	10000	Net Change in Log Effective Population Size	0.02151
Central Segment	Corridor Segment	10000-10500 Years	10000	Mean Rate of Change	5e-5
Central Segment	Corridor Segment	10000-10500 Years	10000	Fluctuation Amplitude	0.07773
Central Segment	Corridor Segment	10000-10500 Years	10000	Time of Maximum Expansion	10000
Central Segment	Corridor Segment	10000-10500 Years	10000	Maximum Expansion Rate	0.07814
Central Segment	Corridor Segment	10000-10500 Years	10000	Time of Maximum Contraction	10400
Central Segment	Corridor Segment	10000-10500 Years	10000	Maximum Contraction Rate	-0.0282
North China	Northern Lowland	10000-10500 Years	10000	Mean Log Effective Population Size	9.44141
North China	Northern Lowland	10000-10500 Years	10000	Net Change in Log Effective Population Size	0.03363
North China	Northern Lowland	10000-10500 Years	10000	Mean Rate of Change	8e-5
North China	Northern Lowland	10000-10500 Years	10000	Fluctuation Amplitude	0.1311
North China	Northern Lowland	10000-10500 Years	10000	Time of Maximum Expansion	10000
North China	Northern Lowland	10000-10500 Years	10000	Maximum Expansion Rate	0.17187
North China	Northern Lowland	10000-10500 Years	10000	Time of Maximum Contraction	10400
North China	Northern Lowland	10000-10500 Years	10000	Maximum Contraction Rate	-0.06155
Northern Segment	Corridor Segment	10000-10500 Years	10000	Mean Log Effective Population Size	9.7462
Northern Segment	Corridor Segment	10000-10500 Years	10000	Net Change in Log Effective Population Size	-0.11506
Northern Segment	Corridor Segment	10000-10500 Years	10000	Mean Rate of Change	-2.9e-4
Northern Segment	Corridor Segment	10000-10500 Years	10000	Fluctuation Amplitude	0.12875
Northern Segment	Corridor Segment	10000-10500 Years	10000	Time of Maximum Expansion	10400
Northern Segment	Corridor Segment	10000-10500 Years	10000	Maximum Expansion Rate	-0.14231
Northern Segment	Corridor Segment	10000-10500 Years	10000	Time of Maximum Contraction	10200
Northern Segment	Corridor Segment	10000-10500 Years	10000	Maximum Contraction Rate	-0.31579
Panxi and Liangshan	Sichuan Region	10000-10500 Years	10000	Mean Log Effective Population Size	8.35704
Panxi and Liangshan	Sichuan Region	10000-10500 Years	10000	Net Change in Log Effective Population Size	0.04375
Panxi and Liangshan	Sichuan Region	10000-10500 Years	10000	Mean Rate of Change	1.1e-4
Panxi and Liangshan	Sichuan Region	10000-10500 Years	10000	Fluctuation Amplitude	0.10432
Panxi and Liangshan	Sichuan Region	10000-10500 Years	10000	Time of Maximum Expansion	10000
Panxi and Liangshan	Sichuan Region	10000-10500 Years	10000	Maximum Expansion Rate	0.08638
Panxi and Liangshan	Sichuan Region	10000-10500 Years	10000	Time of Maximum Contraction	10400
Panxi and Liangshan	Sichuan Region	10000-10500 Years	10000	Maximum Contraction Rate	0.05146
Qinghai-Tibet Plateau Core	Highland	10000-10500 Years	10000	Mean Log Effective Population Size	9.10247
Qinghai-Tibet Plateau Core	Highland	10000-10500 Years	10000	Net Change in Log Effective Population Size	-0.08713
Qinghai-Tibet Plateau Core	Highland	10000-10500 Years	10000	Mean Rate of Change	-2.2e-4
Qinghai-Tibet Plateau Core	Highland	10000-10500 Years	10000	Fluctuation Amplitude	0.10642
Qinghai-Tibet Plateau Core	Highland	10000-10500 Years	10000	Time of Maximum Expansion	10000
Qinghai-Tibet Plateau Core	Highland	10000-10500 Years	10000	Maximum Expansion Rate	-0.11387
Qinghai-Tibet Plateau Core	Highland	10000-10500 Years	10000	Time of Maximum Contraction	10400
Qinghai-Tibet Plateau Core	Highland	10000-10500 Years	10000	Maximum Contraction Rate	-0.25853
Sichuan Basin	Sichuan Region	10000-10500 Years	10000	Mean Log Effective Population Size	9.8465
Sichuan Basin	Sichuan Region	10000-10500 Years	10000	Net Change in Log Effective Population Size	0.59251
Sichuan Basin	Sichuan Region	10000-10500 Years	10000	Mean Rate of Change	0.00148
Sichuan Basin	Sichuan Region	10000-10500 Years	10000	Fluctuation Amplitude	0.59251
Sichuan Basin	Sichuan Region	10000-10500 Years	10000	Time of Maximum Expansion	10400
Sichuan Basin	Sichuan Region	10000-10500 Years	10000	Maximum Expansion Rate	0.86747
Sichuan Basin	Sichuan Region	10000-10500 Years	10000	Time of Maximum Contraction	10000
Sichuan Basin	Sichuan Region	10000-10500 Years	10000	Maximum Contraction Rate	0.46323
Western Highland	Highland	10000-10500 Years	10000	Mean Log Effective Population Size	8.87643
Western Highland	Highland	10000-10500 Years	10000	Net Change in Log Effective Population Size	-0.06926
Western Highland	Highland	10000-10500 Years	10000	Mean Rate of Change	-1.7e-4
Western Highland	Highland	10000-10500 Years	10000	Fluctuation Amplitude	0.10807
Western Highland	Highland	10000-10500 Years	10000	Time of Maximum Expansion	10000
Western Highland	Highland	10000-10500 Years	10000	Maximum Expansion Rate	-0.11745
Western Highland	Highland	10000-10500 Years	10000	Time of Maximum Contraction	10400
Western Highland	Highland	10000-10500 Years	10000	Maximum Contraction Rate	-0.25803
Central Segment	Corridor Segment	10500-11000 Years	10500	Mean Log Effective Population Size	8.6189
Central Segment	Corridor Segment	10500-11000 Years	10500	Net Change in Log Effective Population Size	-0.0267
Central Segment	Corridor Segment	10500-11000 Years	10500	Mean Rate of Change	-7e-5
Central Segment	Corridor Segment	10500-11000 Years	10500	Fluctuation Amplitude	0.08312
Central Segment	Corridor Segment	10500-11000 Years	10500	Time of Maximum Expansion	10600
Central Segment	Corridor Segment	10500-11000 Years	10500	Maximum Expansion Rate	0.03091
Central Segment	Corridor Segment	10500-11000 Years	10500	Time of Maximum Contraction	11000
Central Segment	Corridor Segment	10500-11000 Years	10500	Maximum Contraction Rate	-0.05882
North China	Northern Lowland	10500-11000 Years	10500	Mean Log Effective Population Size	9.42168
North China	Northern Lowland	10500-11000 Years	10500	Net Change in Log Effective Population Size	-0.06352
North China	Northern Lowland	10500-11000 Years	10500	Mean Rate of Change	-1.6e-4
North China	Northern Lowland	10500-11000 Years	10500	Fluctuation Amplitude	0.1666
North China	Northern Lowland	10500-11000 Years	10500	Time of Maximum Expansion	10600
North China	Northern Lowland	10500-11000 Years	10500	Maximum Expansion Rate	-0.05644
North China	Northern Lowland	10500-11000 Years	10500	Time of Maximum Contraction	11000
North China	Northern Lowland	10500-11000 Years	10500	Maximum Contraction Rate	-0.29142
Northern Segment	Corridor Segment	10500-11000 Years	10500	Mean Log Effective Population Size	9.86229
Northern Segment	Corridor Segment	10500-11000 Years	10500	Net Change in Log Effective Population Size	-0.06746
Northern Segment	Corridor Segment	10500-11000 Years	10500	Mean Rate of Change	-1.7e-4
Northern Segment	Corridor Segment	10500-11000 Years	10500	Fluctuation Amplitude	0.10864
Northern Segment	Corridor Segment	10500-11000 Years	10500	Time of Maximum Expansion	11000
Northern Segment	Corridor Segment	10500-11000 Years	10500	Maximum Expansion Rate	-0.02975
Northern Segment	Corridor Segment	10500-11000 Years	10500	Time of Maximum Contraction	10600
Northern Segment	Corridor Segment	10500-11000 Years	10500	Maximum Contraction Rate	-0.1918
Panxi and Liangshan	Sichuan Region	10500-11000 Years	10500	Mean Log Effective Population Size	8.30378
Panxi and Liangshan	Sichuan Region	10500-11000 Years	10500	Net Change in Log Effective Population Size	-0.02159
Panxi and Liangshan	Sichuan Region	10500-11000 Years	10500	Mean Rate of Change	-5e-5
Panxi and Liangshan	Sichuan Region	10500-11000 Years	10500	Fluctuation Amplitude	0.02947
Panxi and Liangshan	Sichuan Region	10500-11000 Years	10500	Time of Maximum Expansion	10600
Panxi and Liangshan	Sichuan Region	10500-11000 Years	10500	Maximum Expansion Rate	0.04419
Panxi and Liangshan	Sichuan Region	10500-11000 Years	10500	Time of Maximum Contraction	11000
Panxi and Liangshan	Sichuan Region	10500-11000 Years	10500	Maximum Contraction Rate	-0.15572
Qinghai-Tibet Plateau Core	Highland	10500-11000 Years	10500	Mean Log Effective Population Size	9.21961
Qinghai-Tibet Plateau Core	Highland	10500-11000 Years	10500	Net Change in Log Effective Population Size	-0.09176
Qinghai-Tibet Plateau Core	Highland	10500-11000 Years	10500	Mean Rate of Change	-2.3e-4
Qinghai-Tibet Plateau Core	Highland	10500-11000 Years	10500	Fluctuation Amplitude	0.11243
Qinghai-Tibet Plateau Core	Highland	10500-11000 Years	10500	Time of Maximum Expansion	10800
Qinghai-Tibet Plateau Core	Highland	10500-11000 Years	10500	Maximum Expansion Rate	-0.1611
Qinghai-Tibet Plateau Core	Highland	10500-11000 Years	10500	Time of Maximum Contraction	10600
Qinghai-Tibet Plateau Core	Highland	10500-11000 Years	10500	Maximum Contraction Rate	-0.26918
Sichuan Basin	Sichuan Region	10500-11000 Years	10500	Mean Log Effective Population Size	9.21461
Sichuan Basin	Sichuan Region	10500-11000 Years	10500	Net Change in Log Effective Population Size	0.09811
Sichuan Basin	Sichuan Region	10500-11000 Years	10500	Mean Rate of Change	2.5e-4
Sichuan Basin	Sichuan Region	10500-11000 Years	10500	Fluctuation Amplitude	0.28826
Sichuan Basin	Sichuan Region	10500-11000 Years	10500	Time of Maximum Expansion	10600
Sichuan Basin	Sichuan Region	10500-11000 Years	10500	Maximum Expansion Rate	0.49856
Sichuan Basin	Sichuan Region	10500-11000 Years	10500	Time of Maximum Contraction	11000
Sichuan Basin	Sichuan Region	10500-11000 Years	10500	Maximum Contraction Rate	-0.60641
Western Highland	Highland	10500-11000 Years	10500	Mean Log Effective Population Size	9.03322
Western Highland	Highland	10500-11000 Years	10500	Net Change in Log Effective Population Size	-0.11661
Western Highland	Highland	10500-11000 Years	10500	Mean Rate of Change	-2.9e-4
Western Highland	Highland	10500-11000 Years	10500	Fluctuation Amplitude	0.13251
Western Highland	Highland	10500-11000 Years	10500	Time of Maximum Expansion	10800
Western Highland	Highland	10500-11000 Years	10500	Maximum Expansion Rate	-0.19067
Western Highland	Highland	10500-11000 Years	10500	Time of Maximum Contraction	10800
Western Highland	Highland	10500-11000 Years	10500	Maximum Contraction Rate	-0.29692
Central Segment	Corridor Segment	11000-11500 Years	11000	Mean Log Effective Population Size	8.65158
Central Segment	Corridor Segment	11000-11500 Years	11000	Net Change in Log Effective Population Size	-0.02346
Central Segment	Corridor Segment	11000-11500 Years	11000	Mean Rate of Change	-6e-5
Central Segment	Corridor Segment	11000-11500 Years	11000	Fluctuation Amplitude	0.09558
Central Segment	Corridor Segment	11000-11500 Years	11000	Time of Maximum Expansion	11200
Central Segment	Corridor Segment	11000-11500 Years	11000	Maximum Expansion Rate	-0.01783
Central Segment	Corridor Segment	11000-11500 Years	11000	Time of Maximum Contraction	11200
Central Segment	Corridor Segment	11000-11500 Years	11000	Maximum Contraction Rate	-0.05695
North China	Northern Lowland	11000-11500 Years	11000	Mean Log Effective Population Size	9.53755
North China	Northern Lowland	11000-11500 Years	11000	Net Change in Log Effective Population Size	-0.14235
North China	Northern Lowland	11000-11500 Years	11000	Mean Rate of Change	-3.6e-4
North China	Northern Lowland	11000-11500 Years	11000	Fluctuation Amplitude	0.14938
North China	Northern Lowland	11000-11500 Years	11000	Time of Maximum Expansion	11000
North China	Northern Lowland	11000-11500 Years	11000	Maximum Expansion Rate	-0.11514
North China	Northern Lowland	11000-11500 Years	11000	Time of Maximum Contraction	11400
North China	Northern Lowland	11000-11500 Years	11000	Maximum Contraction Rate	-0.37986
Northern Segment	Corridor Segment	11000-11500 Years	11000	Mean Log Effective Population Size	9.90339
Northern Segment	Corridor Segment	11000-11500 Years	11000	Net Change in Log Effective Population Size	0.021
Northern Segment	Corridor Segment	11000-11500 Years	11000	Mean Rate of Change	5e-5
Northern Segment	Corridor Segment	11000-11500 Years	11000	Fluctuation Amplitude	0.08814
Northern Segment	Corridor Segment	11000-11500 Years	11000	Time of Maximum Expansion	11400
Northern Segment	Corridor Segment	11000-11500 Years	11000	Maximum Expansion Rate	0.07738
Northern Segment	Corridor Segment	11000-11500 Years	11000	Time of Maximum Contraction	11000
Northern Segment	Corridor Segment	11000-11500 Years	11000	Maximum Contraction Rate	-0.10997
Panxi and Liangshan	Sichuan Region	11000-11500 Years	11000	Mean Log Effective Population Size	8.37245
Panxi and Liangshan	Sichuan Region	11000-11500 Years	11000	Net Change in Log Effective Population Size	-0.09011
Panxi and Liangshan	Sichuan Region	11000-11500 Years	11000	Mean Rate of Change	-2.3e-4
Panxi and Liangshan	Sichuan Region	11000-11500 Years	11000	Fluctuation Amplitude	0.1129
Panxi and Liangshan	Sichuan Region	11000-11500 Years	11000	Time of Maximum Expansion	11000
Panxi and Liangshan	Sichuan Region	11000-11500 Years	11000	Maximum Expansion Rate	-0.11831
Panxi and Liangshan	Sichuan Region	11000-11500 Years	11000	Time of Maximum Contraction	11400
Panxi and Liangshan	Sichuan Region	11000-11500 Years	11000	Maximum Contraction Rate	-0.18745
Qinghai-Tibet Plateau Core	Highland	11000-11500 Years	11000	Mean Log Effective Population Size	9.30817
Qinghai-Tibet Plateau Core	Highland	11000-11500 Years	11000	Net Change in Log Effective Population Size	-0.08528
Qinghai-Tibet Plateau Core	Highland	11000-11500 Years	11000	Mean Rate of Change	-2.1e-4
Qinghai-Tibet Plateau Core	Highland	11000-11500 Years	11000	Fluctuation Amplitude	0.10023
Qinghai-Tibet Plateau Core	Highland	11000-11500 Years	11000	Time of Maximum Expansion	11400
Qinghai-Tibet Plateau Core	Highland	11000-11500 Years	11000	Maximum Expansion Rate	-0.11891
Qinghai-Tibet Plateau Core	Highland	11000-11500 Years	11000	Time of Maximum Contraction	11200
Qinghai-Tibet Plateau Core	Highland	11000-11500 Years	11000	Maximum Contraction Rate	-0.2503
Sichuan Basin	Sichuan Region	11000-11500 Years	11000	Mean Log Effective Population Size	9.47048
Sichuan Basin	Sichuan Region	11000-11500 Years	11000	Net Change in Log Effective Population Size	-0.57047
Sichuan Basin	Sichuan Region	11000-11500 Years	11000	Mean Rate of Change	-0.00143
Sichuan Basin	Sichuan Region	11000-11500 Years	11000	Fluctuation Amplitude	0.57047
Sichuan Basin	Sichuan Region	11000-11500 Years	11000	Time of Maximum Expansion	11000
Sichuan Basin	Sichuan Region	11000-11500 Years	11000	Maximum Expansion Rate	-0.60342
Sichuan Basin	Sichuan Region	11000-11500 Years	11000	Time of Maximum Contraction	11400
Sichuan Basin	Sichuan Region	11000-11500 Years	11000	Maximum Contraction Rate	-1.31429
Western Highland	Highland	11000-11500 Years	11000	Mean Log Effective Population Size	9.14114
Western Highland	Highland	11000-11500 Years	11000	Net Change in Log Effective Population Size	-0.11216
Western Highland	Highland	11000-11500 Years	11000	Mean Rate of Change	-2.8e-4
Western Highland	Highland	11000-11500 Years	11000	Fluctuation Amplitude	0.11802
Western Highland	Highland	11000-11500 Years	11000	Time of Maximum Expansion	11400
Western Highland	Highland	11000-11500 Years	11000	Maximum Expansion Rate	-0.16845
Western Highland	Highland	11000-11500 Years	11000	Time of Maximum Contraction	11000
Western Highland	Highland	11000-11500 Years	11000	Maximum Contraction Rate	-0.29288
Central Segment	Corridor Segment	11500-12000 Years	11500	Mean Log Effective Population Size	8.67327
Central Segment	Corridor Segment	11500-12000 Years	11500	Net Change in Log Effective Population Size	-0.00875
Central Segment	Corridor Segment	11500-12000 Years	11500	Mean Rate of Change	-2e-5
