Quantity	Window Type	Time Window	Window Start (Years)	Category	Second Category	Group	Cluster	Component	Score Component	Value	Reliable Window Coverage	Usable
Co-clustering Frequency	Time Period	15500-16000 Years	15500	North China	Panxi and Liangshan	Northern Lowland				0.2320		Yes
Co-clustering Frequency	Time Period	15500-16000 Years	15500	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.2580		Yes
Co-clustering Frequency	Time Period	15500-16000 Years	15500	North China	Western Highland	Northern Lowland				0.2440		Yes
Co-clustering Frequency	Time Period	15500-16000 Years	15500	Northern Segment	Panxi and Liangshan	Corridor Segment				0.4220		Yes
Co-clustering Frequency	Time Period	15500-16000 Years	15500	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.4080		Yes
Co-clustering Frequency	Time Period	15500-16000 Years	15500	Northern Segment	Western Highland	Corridor Segment				0.3760		Yes
Co-clustering Frequency	Time Period	15500-16000 Years	15500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.3640		Yes
Co-clustering Frequency	Time Period	15500-16000 Years	15500	Panxi and Liangshan	Western Highland	Sichuan Region				0.3600		Yes
Co-clustering Frequency	Time Period	15500-16000 Years	15500	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.3580		Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Central Segment		Corridor Segment	Cluster 2	Component 1		-2.55802	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Central Segment		Corridor Segment	Cluster 2	Component 2		-0.67074	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	North China		Northern Lowland	Cluster 3	Component 1		4.08256	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	North China		Northern Lowland	Cluster 3	Component 2		1.08263	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Northern Segment		Corridor Segment	Cluster 1	Component 1		1.38113	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Northern Segment		Corridor Segment	Cluster 1	Component 2		-0.62587	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Panxi and Liangshan		Sichuan Region	Cluster 2	Component 1		-3.10030	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Panxi and Liangshan		Sichuan Region	Cluster 2	Component 2		1.58337	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		1.01385	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		-0.80967	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Western Highland		Highland	Cluster 1	Component 1		-0.81922	1.000	Yes
Scatter Coordinate	Time Period	15500-16000 Years	15500	Western Highland		Highland	Cluster 1	Component 2		-0.55973	1.000	Yes
Explained Variance	Time Period	15500-16000 Years	15500					Component 1		0.75894		
Explained Variance	Time Period	15500-16000 Years	15500					Component 2		0.11437		
Node Size	Time Period	15500-16000 Years	15500	Central Segment		Corridor Segment	Cluster 2			8.82528		Yes
Node Size	Time Period	15500-16000 Years	15500	North China		Northern Lowland	Cluster 3			9.28816		Yes
Node Size	Time Period	15500-16000 Years	15500	Northern Segment		Corridor Segment	Cluster 1			9.43683		Yes
Node Size	Time Period	15500-16000 Years	15500	Panxi and Liangshan		Sichuan Region	Cluster 2			8.96532		Yes
Node Size	Time Period	15500-16000 Years	15500	Qinghai-Tibet Plateau Core		Highland	Cluster 1			9.34474		Yes
Node Size	Time Period	15500-16000 Years	15500	Western Highland		Highland	Cluster 1			9.34667		Yes
Cluster Membership	Time Period	16000-16500 Years	16000	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	16000-16500 Years	16000	North China		Northern Lowland	Cluster 3				1.000	Yes
Cluster Membership	Time Period	16000-16500 Years	16000	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	16000-16500 Years	16000	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	16000-16500 Years	16000	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	16000-16500 Years	16000	Sichuan Basin		Sichuan Region	Not Assessed				0.000	No
Cluster Membership	Time Period	16000-16500 Years	16000	Southern Segment		Corridor Segment	Not Assessed				0.000	No
Cluster Membership	Time Period	16000-16500 Years	16000	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Central Segment	North China	Corridor Segment				0.3940		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Central Segment	Northern Segment	Corridor Segment				0.6260		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Central Segment	Panxi and Liangshan	Corridor Segment				0.6000		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.6700		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Central Segment	Western Highland	Corridor Segment				0.6680		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	North China	Northern Segment	Northern Lowland				0.4240		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	North China	Panxi and Liangshan	Northern Lowland				0.4020		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.5000		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	North China	Western Highland	Northern Lowland				0.4940		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Northern Segment	Panxi and Liangshan	Corridor Segment				0.5940		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.6920		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Northern Segment	Western Highland	Corridor Segment				0.6620		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.6740		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Panxi and Liangshan	Western Highland	Sichuan Region				0.6120		Yes
Co-clustering Frequency	Time Period	16000-16500 Years	16000	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.7580		Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Central Segment		Corridor Segment	Cluster 1	Component 1		-2.63102	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Central Segment		Corridor Segment	Cluster 1	Component 2		-1.71513	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	North China		Northern Lowland	Cluster 3	Component 1		4.41765	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	North China		Northern Lowland	Cluster 3	Component 2		-1.12712	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Northern Segment		Corridor Segment	Cluster 1	Component 1		0.25073	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Northern Segment		Corridor Segment	Cluster 1	Component 2		1.58772	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		-1.06229	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		1.14680	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-0.01337	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		1.46622	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Western Highland		Highland	Cluster 1	Component 1		-0.96170	1.000	Yes
Scatter Coordinate	Time Period	16000-16500 Years	16000	Western Highland		Highland	Cluster 1	Component 2		-1.35849	1.000	Yes
Explained Variance	Time Period	16000-16500 Years	16000					Component 1		0.59488		
Explained Variance	Time Period	16000-16500 Years	16000					Component 2		0.25090		
Node Size	Time Period	16000-16500 Years	16000	Central Segment		Corridor Segment	Cluster 1			8.90530		Yes
Node Size	Time Period	16000-16500 Years	16000	North China		Northern Lowland	Cluster 3			9.13547		Yes
Node Size	Time Period	16000-16500 Years	16000	Northern Segment		Corridor Segment	Cluster 1			9.41258		Yes
Node Size	Time Period	16000-16500 Years	16000	Panxi and Liangshan		Sichuan Region	Cluster 1			8.99085		Yes
Node Size	Time Period	16000-16500 Years	16000	Qinghai-Tibet Plateau Core		Highland	Cluster 1			9.30606		Yes
Node Size	Time Period	16000-16500 Years	16000	Western Highland		Highland	Cluster 1			9.32114		Yes
Cluster Membership	Time Period	16500-17000 Years	16500	Central Segment		Corridor Segment	Cluster 2				1.000	Yes
Cluster Membership	Time Period	16500-17000 Years	16500	North China		Northern Lowland	Cluster 3				1.000	Yes
Cluster Membership	Time Period	16500-17000 Years	16500	Northern Segment		Corridor Segment	Cluster 4				1.000	Yes
Cluster Membership	Time Period	16500-17000 Years	16500	Panxi and Liangshan		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	16500-17000 Years	16500	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	16500-17000 Years	16500	Sichuan Basin		Sichuan Region	Not Assessed				0.000	No
Cluster Membership	Time Period	16500-17000 Years	16500	Southern Segment		Corridor Segment	Not Assessed				0.000	No
Cluster Membership	Time Period	16500-17000 Years	16500	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Central Segment	North China	Corridor Segment				0.1300		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Central Segment	Northern Segment	Corridor Segment				0.1640		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Central Segment	Panxi and Liangshan	Corridor Segment				0.1240		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.1520		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Central Segment	Western Highland	Corridor Segment				0.1620		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	North China	Northern Segment	Northern Lowland				0.1700		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	North China	Panxi and Liangshan	Northern Lowland				0.1200		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.0980		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	North China	Western Highland	Northern Lowland				0.1160		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Northern Segment	Panxi and Liangshan	Corridor Segment				0.1880		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.2340		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Northern Segment	Western Highland	Corridor Segment				0.2080		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.1780		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Panxi and Liangshan	Western Highland	Sichuan Region				0.1800		Yes
Co-clustering Frequency	Time Period	16500-17000 Years	16500	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.1960		Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Central Segment		Corridor Segment	Cluster 2	Component 1		-1.60263	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Central Segment		Corridor Segment	Cluster 2	Component 2		1.73215	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	North China		Northern Lowland	Cluster 3	Component 1		4.66565	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	North China		Northern Lowland	Cluster 3	Component 2		0.21575	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Northern Segment		Corridor Segment	Cluster 4	Component 1		0.20149	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Northern Segment		Corridor Segment	Cluster 4	Component 2		0.43187	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Panxi and Liangshan		Sichuan Region	Cluster 2	Component 1		-1.33704	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Panxi and Liangshan		Sichuan Region	Cluster 2	Component 2		1.63813	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-1.05461	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		-2.01142	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Western Highland		Highland	Cluster 1	Component 1		-0.87285	1.000	Yes
Scatter Coordinate	Time Period	16500-17000 Years	16500	Western Highland		Highland	Cluster 1	Component 2		-2.00648	1.000	Yes
Explained Variance	Time Period	16500-17000 Years	16500					Component 1		0.58415		
Explained Variance	Time Period	16500-17000 Years	16500					Component 2		0.29143		
Node Size	Time Period	16500-17000 Years	16500	Central Segment		Corridor Segment	Cluster 2			8.96506		Yes
Node Size	Time Period	16500-17000 Years	16500	North China		Northern Lowland	Cluster 3			8.98876		Yes
Node Size	Time Period	16500-17000 Years	16500	Northern Segment		Corridor Segment	Cluster 4			9.44564		Yes
Node Size	Time Period	16500-17000 Years	16500	Panxi and Liangshan		Sichuan Region	Cluster 2			8.98605		Yes
Node Size	Time Period	16500-17000 Years	16500	Qinghai-Tibet Plateau Core		Highland	Cluster 1			9.33408		Yes
Node Size	Time Period	16500-17000 Years	16500	Western Highland		Highland	Cluster 1			9.30581		Yes
Cluster Membership	Time Period	17000-17500 Years	17000	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	17000-17500 Years	17000	North China		Northern Lowland	Cluster 3				1.000	Yes
Cluster Membership	Time Period	17000-17500 Years	17000	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	17000-17500 Years	17000	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	17000-17500 Years	17000	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	17000-17500 Years	17000	Sichuan Basin		Sichuan Region	Not Assessed				0.000	No
Cluster Membership	Time Period	17000-17500 Years	17000	Southern Segment		Corridor Segment	Not Assessed				0.000	No
Cluster Membership	Time Period	17000-17500 Years	17000	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Central Segment	North China	Corridor Segment				0.3740		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Central Segment	Northern Segment	Corridor Segment				0.5540		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Central Segment	Panxi and Liangshan	Corridor Segment				0.6920		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.6280		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Central Segment	Western Highland	Corridor Segment				0.6400		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	North China	Northern Segment	Northern Lowland				0.4000		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	North China	Panxi and Liangshan	Northern Lowland				0.4420		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.3860		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	North China	Western Highland	Northern Lowland				0.4220		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Northern Segment	Panxi and Liangshan	Corridor Segment				0.6620		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.6380		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Northern Segment	Western Highland	Corridor Segment				0.6380		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.8000		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Panxi and Liangshan	Western Highland	Sichuan Region				0.7880		Yes
Co-clustering Frequency	Time Period	17000-17500 Years	17000	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.7360		Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Central Segment		Corridor Segment	Cluster 1	Component 1		-1.45709	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Central Segment		Corridor Segment	Cluster 1	Component 2		0.09759	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	North China		Northern Lowland	Cluster 3	Component 1		4.91619	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	North China		Northern Lowland	Cluster 3	Component 2		-0.18533	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Northern Segment		Corridor Segment	Cluster 1	Component 1		0.24016	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Northern Segment		Corridor Segment	Cluster 1	Component 2		1.66559	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		-1.75843	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		1.10256	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-0.96338	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		-1.98323	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Western Highland		Highland	Cluster 1	Component 1		-0.97746	1.000	Yes
Scatter Coordinate	Time Period	17000-17500 Years	17000	Western Highland		Highland	Cluster 1	Component 2		-0.69718	1.000	Yes
Explained Variance	Time Period	17000-17500 Years	17000					Component 1		0.65261		
Explained Variance	Time Period	17000-17500 Years	17000					Component 2		0.17610		
Node Size	Time Period	17000-17500 Years	17000	Central Segment		Corridor Segment	Cluster 1			8.95879		Yes
Node Size	Time Period	17000-17500 Years	17000	North China		Northern Lowland	Cluster 3			8.82584		Yes
Node Size	Time Period	17000-17500 Years	17000	Northern Segment		Corridor Segment	Cluster 1			9.35056		Yes
Node Size	Time Period	17000-17500 Years	17000	Panxi and Liangshan		Sichuan Region	Cluster 1			9.01171		Yes
Node Size	Time Period	17000-17500 Years	17000	Qinghai-Tibet Plateau Core		Highland	Cluster 1			9.34043		Yes
Node Size	Time Period	17000-17500 Years	17000	Western Highland		Highland	Cluster 1			9.32627		Yes
Cluster Membership	Time Period	17500-18000 Years	17500	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	17500-18000 Years	17500	North China		Northern Lowland	Cluster 3				1.000	Yes
Cluster Membership	Time Period	17500-18000 Years	17500	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	17500-18000 Years	17500	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	17500-18000 Years	17500	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	17500-18000 Years	17500	Sichuan Basin		Sichuan Region	Not Assessed				0.000	No
Cluster Membership	Time Period	17500-18000 Years	17500	Southern Segment		Corridor Segment	Not Assessed				0.000	No
Cluster Membership	Time Period	17500-18000 Years	17500	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Central Segment	North China	Corridor Segment				0.5260		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Central Segment	Northern Segment	Corridor Segment				0.6880		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Central Segment	Panxi and Liangshan	Corridor Segment				0.6520		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.6920		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Central Segment	Western Highland	Corridor Segment				0.6180		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	North China	Northern Segment	Northern Lowland				0.5660		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	North China	Panxi and Liangshan	Northern Lowland				0.4660		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.5100		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	North China	Western Highland	Northern Lowland				0.4680		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Northern Segment	Panxi and Liangshan	Corridor Segment				0.5880		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.6360		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Northern Segment	Western Highland	Corridor Segment				0.6020		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.5760		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Panxi and Liangshan	Western Highland	Sichuan Region				0.4940		Yes
Co-clustering Frequency	Time Period	17500-18000 Years	17500	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.5980		Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Central Segment		Corridor Segment	Cluster 1	Component 1		-2.21903	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Central Segment		Corridor Segment	Cluster 1	Component 2		-0.14599	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	North China		Northern Lowland	Cluster 3	Component 1		4.60701	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	North China		Northern Lowland	Cluster 3	Component 2		0.90920	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Northern Segment		Corridor Segment	Cluster 1	Component 1		1.21595	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Northern Segment		Corridor Segment	Cluster 1	Component 2		-2.31565	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		-1.04173	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		-0.29031	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-1.65109	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		0.43304	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Western Highland		Highland	Cluster 1	Component 1		-0.91111	1.000	Yes
Scatter Coordinate	Time Period	17500-18000 Years	17500	Western Highland		Highland	Cluster 1	Component 2		1.40971	1.000	Yes
Explained Variance	Time Period	17500-18000 Years	17500					Component 1		0.67226		
Explained Variance	Time Period	17500-18000 Years	17500					Component 2		0.17644		
Node Size	Time Period	17500-18000 Years	17500	Central Segment		Corridor Segment	Cluster 1			8.96847		Yes
Node Size	Time Period	17500-18000 Years	17500	North China		Northern Lowland	Cluster 3			8.64824		Yes
Node Size	Time Period	17500-18000 Years	17500	Northern Segment		Corridor Segment	Cluster 1			9.26115		Yes
Node Size	Time Period	17500-18000 Years	17500	Panxi and Liangshan		Sichuan Region	Cluster 1			9.00195		Yes
Node Size	Time Period	17500-18000 Years	17500	Qinghai-Tibet Plateau Core		Highland	Cluster 1			9.32233		Yes
Node Size	Time Period	17500-18000 Years	17500	Western Highland		Highland	Cluster 1			9.30258		Yes
Cluster Membership	Time Period	18000-18500 Years	18000	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	18000-18500 Years	18000	North China		Northern Lowland	Cluster 3				1.000	Yes
Cluster Membership	Time Period	18000-18500 Years	18000	Northern Segment		Corridor Segment	Cluster 2				1.000	Yes
Cluster Membership	Time Period	18000-18500 Years	18000	Panxi and Liangshan		Sichuan Region	Cluster 3				1.000	Yes
Cluster Membership	Time Period	18000-18500 Years	18000	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	18000-18500 Years	18000	Sichuan Basin		Sichuan Region	Not Assessed				0.000	No
Cluster Membership	Time Period	18000-18500 Years	18000	Southern Segment		Corridor Segment	Not Assessed				0.000	No
Cluster Membership	Time Period	18000-18500 Years	18000	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Central Segment	North China	Corridor Segment				0.1960		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Central Segment	Northern Segment	Corridor Segment				0.3900		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Central Segment	Panxi and Liangshan	Corridor Segment				0.2720		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.3820		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Central Segment	Western Highland	Corridor Segment				0.3740		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	North China	Northern Segment	Northern Lowland				0.2260		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	North China	Panxi and Liangshan	Northern Lowland				0.2220		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.2220		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	North China	Western Highland	Northern Lowland				0.2040		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Northern Segment	Panxi and Liangshan	Corridor Segment				0.3100		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.3520		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Northern Segment	Western Highland	Corridor Segment				0.3980		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.3420		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Panxi and Liangshan	Western Highland	Sichuan Region				0.3240		Yes
Co-clustering Frequency	Time Period	18000-18500 Years	18000	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.4300		Yes
Scatter Coordinate	Time Period	18000-18500 Years	18000	Central Segment		Corridor Segment	Cluster 1	Component 1		-1.08961	1.000	Yes
Scatter Coordinate	Time Period	18000-18500 Years	18000	Central Segment		Corridor Segment	Cluster 1	Component 2		0.31065	1.000	Yes
Scatter Coordinate	Time Period	18000-18500 Years	18000	North China		Northern Lowland	Cluster 3	Component 1		2.68434	1.000	Yes
Scatter Coordinate	Time Period	18000-18500 Years	18000	North China		Northern Lowland	Cluster 3	Component 2		-1.95503	1.000	Yes
Scatter Coordinate	Time Period	18000-18500 Years	18000	Northern Segment		Corridor Segment	Cluster 2	Component 1		2.76700	1.000	Yes
Scatter Coordinate	Time Period	18000-18500 Years	18000	Northern Segment		Corridor Segment	Cluster 2	Component 2		2.67739	1.000	Yes
Scatter Coordinate	Time Period	18000-18500 Years	18000	Panxi and Liangshan		Sichuan Region	Cluster 3	Component 1		0.42335	1.000	Yes
Scatter Coordinate	Time Period	18000-18500 Years	18000	Panxi and Liangshan		Sichuan Region	Cluster 3	Component 2		-1.67656	1.000	Yes
