from	to	value	link	Time Window
Central Segment	Northern Segment	0.858	Corridor Segment	5000-5500 Years
Central Segment	Panxi and Liangshan	0.804	Between groups	5000-5500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.82	Between groups	5000-5500 Years
Central Segment	Sichuan Basin	0.51	Between groups	5000-5500 Years
Central Segment	Western Highland	0.82	Between groups	5000-5500 Years
North China	Northern Segment	0.764	Between groups	5000-5500 Years
North China	Panxi and Liangshan	0.654	Between groups	5000-5500 Years
North China	Qinghai-Tibet Plateau Core	0.842	Between groups	5000-5500 Years
North China	Western Highland	0.85	Between groups	5000-5500 Years
Northern Segment	Panxi and Liangshan	0.83	Between groups	5000-5500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.89	Between groups	5000-5500 Years
Northern Segment	Western Highland	0.898	Between groups	5000-5500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.804	Between groups	5000-5500 Years
Panxi and Liangshan	Sichuan Basin	0.522	Sichuan Region	5000-5500 Years
Panxi and Liangshan	Western Highland	0.792	Between groups	5000-5500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.952	Highland	5000-5500 Years
Sichuan Basin	Southern Segment	0.764	Between groups	5000-5500 Years
Central Segment	Northern Segment	0.702	Corridor Segment	5500-6000 Years
Central Segment	Panxi and Liangshan	0.702	Between groups	5500-6000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.692	Between groups	5500-6000 Years
Central Segment	Southern Segment	0.65	Corridor Segment	5500-6000 Years
Central Segment	Western Highland	0.718	Between groups	5500-6000 Years
North China	Northern Segment	0.684	Between groups	5500-6000 Years
North China	Panxi and Liangshan	0.724	Between groups	5500-6000 Years
North China	Qinghai-Tibet Plateau Core	0.666	Between groups	5500-6000 Years
North China	Sichuan Basin	0.65	Between groups	5500-6000 Years
North China	Western Highland	0.612	Between groups	5500-6000 Years
Northern Segment	Panxi and Liangshan	0.904	Between groups	5500-6000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.862	Between groups	5500-6000 Years
Northern Segment	Sichuan Basin	0.718	Between groups	5500-6000 Years
Northern Segment	Southern Segment	0.548	Corridor Segment	5500-6000 Years
Northern Segment	Western Highland	0.816	Between groups	5500-6000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.91	Between groups	5500-6000 Years
Panxi and Liangshan	Sichuan Basin	0.738	Sichuan Region	5500-6000 Years
Panxi and Liangshan	Southern Segment	0.556	Between groups	5500-6000 Years
Panxi and Liangshan	Western Highland	0.864	Between groups	5500-6000 Years
Qinghai-Tibet Plateau Core	Sichuan Basin	0.696	Between groups	5500-6000 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.562	Between groups	5500-6000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.838	Highland	5500-6000 Years
Sichuan Basin	Western Highland	0.642	Between groups	5500-6000 Years
Southern Segment	Western Highland	0.552	Between groups	5500-6000 Years
Central Segment	North China	0.63	Between groups	6000-6500 Years
Central Segment	Northern Segment	0.702	Corridor Segment	6000-6500 Years
Central Segment	Panxi and Liangshan	0.696	Between groups	6000-6500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.682	Between groups	6000-6500 Years
Central Segment	Southern Segment	0.618	Corridor Segment	6000-6500 Years
Central Segment	Western Highland	0.69	Between groups	6000-6500 Years
North China	Northern Segment	0.88	Between groups	6000-6500 Years
North China	Panxi and Liangshan	0.818	Between groups	6000-6500 Years
North China	Qinghai-Tibet Plateau Core	0.9	Between groups	6000-6500 Years
North China	Sichuan Basin	0.53	Between groups	6000-6500 Years
North China	Southern Segment	0.724	Between groups	6000-6500 Years
North China	Western Highland	0.84	Between groups	6000-6500 Years
Northern Segment	Panxi and Liangshan	0.838	Between groups	6000-6500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.896	Between groups	6000-6500 Years
Northern Segment	Southern Segment	0.756	Corridor Segment	6000-6500 Years
Northern Segment	Western Highland	0.876	Between groups	6000-6500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.822	Between groups	6000-6500 Years
Panxi and Liangshan	Southern Segment	0.674	Between groups	6000-6500 Years
Panxi and Liangshan	Western Highland	0.79	Between groups	6000-6500 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.764	Between groups	6000-6500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.876	Highland	6000-6500 Years
Southern Segment	Western Highland	0.7	Between groups	6000-6500 Years
Central Segment	North China	0.628	Between groups	6500-7000 Years
Central Segment	Northern Segment	0.916	Corridor Segment	6500-7000 Years
Central Segment	Panxi and Liangshan	0.74	Between groups	6500-7000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.88	Between groups	6500-7000 Years
Central Segment	Southern Segment	0.754	Corridor Segment	6500-7000 Years
Central Segment	Western Highland	0.936	Between groups	6500-7000 Years
North China	Northern Segment	0.664	Between groups	6500-7000 Years
North China	Panxi and Liangshan	0.568	Between groups	6500-7000 Years
North China	Qinghai-Tibet Plateau Core	0.648	Between groups	6500-7000 Years
North China	Southern Segment	0.654	Between groups	6500-7000 Years
North China	Western Highland	0.612	Between groups	6500-7000 Years
Northern Segment	Panxi and Liangshan	0.716	Between groups	6500-7000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.852	Between groups	6500-7000 Years
Northern Segment	Southern Segment	0.73	Corridor Segment	6500-7000 Years
Northern Segment	Western Highland	0.884	Between groups	6500-7000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.684	Between groups	6500-7000 Years
Panxi and Liangshan	Southern Segment	0.694	Between groups	6500-7000 Years
Panxi and Liangshan	Western Highland	0.7	Between groups	6500-7000 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.702	Between groups	6500-7000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.868	Highland	6500-7000 Years
Southern Segment	Western Highland	0.722	Between groups	6500-7000 Years
Central Segment	North China	0.528	Between groups	7000-7500 Years
Central Segment	Northern Segment	0.862	Corridor Segment	7000-7500 Years
Central Segment	Panxi and Liangshan	0.818	Between groups	7000-7500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.86	Between groups	7000-7500 Years
Central Segment	Southern Segment	0.8	Corridor Segment	7000-7500 Years
Central Segment	Western Highland	0.87	Between groups	7000-7500 Years
North China	Northern Segment	0.538	Between groups	7000-7500 Years
North China	Panxi and Liangshan	0.542	Between groups	7000-7500 Years
North China	Sichuan Basin	0.574	Between groups	7000-7500 Years
Northern Segment	Panxi and Liangshan	0.784	Between groups	7000-7500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.85	Between groups	7000-7500 Years
Northern Segment	Southern Segment	0.774	Corridor Segment	7000-7500 Years
Northern Segment	Western Highland	0.852	Between groups	7000-7500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.786	Between groups	7000-7500 Years
Panxi and Liangshan	Southern Segment	0.722	Between groups	7000-7500 Years
Panxi and Liangshan	Western Highland	0.784	Between groups	7000-7500 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.76	Between groups	7000-7500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.862	Highland	7000-7500 Years
Southern Segment	Western Highland	0.802	Between groups	7000-7500 Years
Central Segment	North China	0.712	Between groups	7500-8000 Years
