Haplogroup,Count
G,2007
G1,528
G1a,319
G1a1,196
G1a1a,90
G1a2,41
G1a2'3,64
G1b1,14
G1b_G16129A,47
G1c,123
G1c1,11
G1c2,32
G2,1091
G2a,839
G2a'c,901
G2a1,473
G2a1_T16189C!,43
G2a1_T16189C_A16194G,16
G2a1b,146
G2a1c,11
G2a1d,77
G2a1d1,19
G2a1d1a,10
G2a1d2,51
G2a1d2a,11
G2a1f,14
G2a1g,13
G2a2,104
G2a2a,16
G2a3,10
G2a4,79
G2a5,74
G2a_T152C,365
G2b1,112
G2b1a,75
G2b1a1,10
G2b1a2,16
G2b1b,25
G2b2,68
G2b2a,11
G2c,19
G3a,271
G3a1,51
G3a1'2,242
G3a1a,41
G3a2,144
G3a2_T152C,96
G3a2a,14
G3a3,25
G3b,84
G3b1,33
G3b2,19
H,3907
H1,1165
H10,58
H10_T16093C,28
H10a,16
H10a1,13
H10e,19
H11,65
H11a,59
H11a1,19
H11a2,19
H11a2a,12
H13,142
H13a1a,58
H13a1a1,39
H13a2a,24
H13a2b,19
H13b,13
H13b1,10
H14,50
H14a,29
H14a_T146C!,11
H14b,15
H15,63
H15a,43
H15a1,42
H15a1a,15
H15a1a1,13
H15a1b,19
H15b,17
H16,32
H16_T152C!,21
H17,17
H17a,11
H18,13
H1_C16239T,18
H1_C16278T!,16
H1_T152C!,46
H1_T16311C!,54
H1a,270
H1a1,24
H1a3,30
H1a3a,10
H1ae,15
H1ag,16
H1ak,12
H1b,117
H1b1,49
H1b1_T16362C,21
H1ba,12
H1c,128
H1c1,30
H1c3,17
H1e,112
H1e1,62
H1e1a,36
H1e1b,13
H1e1b1,11
H1e2,17
H1f,13
H1f1,11
H1f_T16093C,12
H1j,36
H1j1,13
H1n_T146C!,20
H1q,19
H1t,14
H1u,18
H20,25
H20a,11
H20c,10
H23,63
H24,16
H26,22
H26a,10
H27,27
H27_T16093C,11
H28,10
H2a,207
H2a1,110
H2a1a,41
H2a1e,13
H2a1e1,10
H2a2,55
H2a2_A16235G,20
H2a2a,30
H2a2a1,21
H2a2b,19
H2a3,11
H2a5,17
H2b,37
H3,640
H31,11
H33,20
H3_A73G!,16
H3_T152C!,100
H3_T16311C!,36
H3b,31
H3b_G16129A!,29
H3c,16
H3c2,10
H3g,18
H3h,28
H3u,25
H3v,11
H3x,16
H3x1,14
H4,104
H46,11
H47,10
H49,13
H4a,85
H4a1,81
H4a1a,56
H4a1a1,27
H4a1a1a,21
H4a1a4b,11
H4a1a_T195C!,19
H4b,10
H5,286
H5'36,295
H5'36_T16311C!,15
H55,10
H5a,148
