core_subtree_id	core_root_node_id	baseml_subtree_id	analysis_tree_file	core_n_tips	analysis_total_n_tips	matched_internal_edges	matched_tip_edges	replaced_core_root_edge	topology_match	merge_status	details
core_subtree_0035	NODE_016765	baseml_subtree_0035	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0035.nwk	1966	1967	1964	1966	true	true	success	core edges replaced
core_subtree_0036	NODE_018730	baseml_subtree_0036	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0036.nwk	370	371	368	370	true	true	success	core edges replaced
core_subtree_0037	NODE_019099	baseml_subtree_0037	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0037.nwk	10	1977	8	10	true	true	success	core edges replaced
core_subtree_0038	NODE_019108	baseml_subtree_0038	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0038.nwk	42	1960	40	42	true	true	success	core edges replaced
core_subtree_0039	NODE_019149	baseml_subtree_0039	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0039.nwk	296	297	294	296	true	true	success	core edges replaced
core_subtree_0040	NODE_019445	baseml_subtree_0040	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0040.nwk	144	145	142	144	true	true	success	core edges replaced
core_subtree_0041	NODE_019590	baseml_subtree_0041	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0041.nwk	1310	1311	1308	1310	true	true	success	core edges replaced
core_subtree_0042	NODE_020901	baseml_subtree_0042	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0042.nwk	1019	1020	1017	1019	true	true	success	core edges replaced
core_subtree_0043	NODE_021921	baseml_subtree_0043	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0043.nwk	54	1979	52	54	true	true	success	core edges replaced
core_subtree_0044	NODE_021975	baseml_subtree_0044	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0044.nwk	51	1976	49	51	true	true	success	core edges replaced
