Id	Source	Data	Haplogroup	Fasta-8M	Fasta-2.3M	Placement	Population	Province	Population_Province	City	Latitude	Longitude	Province_latitude	Province_longitude	Elevation	Elevation_source	Country	Continent	Language_family_geo	Language	Language_simplify	Tiplabel_base	Tiplabel_unique	Corridor_and_key_regions	Corridor_subregion	Corridor_NCS	Sichuan_geographic_regions	Elevation_group
HG03593	Published_1KG	Published	C1b1a1a2a1b	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_C1b1a1a2a1b	Bengali_Bangladesh_C1b1a1a2a1b	Others	Others	Others	Non_Sichuan	Low
HG03917	Published_1KG	Published	C2b1a2a1b	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_C2b1a2a1b	Bengali_Bangladesh_C2b1a2a1b	Others	Others	Others	Non_Sichuan	Low
HG03824	Published_1KG	Published	H1a1a1c	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a1c	Bengali_Bangladesh_H1a1a1c	Others	Others	Others	Non_Sichuan	Low
HG03929	Published_1KG	Published	H1a1a4a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4a	Bengali_Bangladesh_H1a1a4a	Others	Others	Others	Non_Sichuan	Low
HG04164	Published_1KG	Published	H1a1a4a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4a1	Bengali_Bangladesh_H1a1a4a1	Others	Others	Others	Non_Sichuan	Low
HG04193	Published_1KG	Published	H1a1a4b	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b	Bengali_Bangladesh_H1a1a4b_1	Others	Others	Others	Non_Sichuan	Low
HG04191	Published_1KG	Published	H1a1a4b	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b	Bengali_Bangladesh_H1a1a4b_2	Others	Others	Others	Non_Sichuan	Low
HG04185	Published_1KG	Published	H1a1a4b2a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b2a1	Bengali_Bangladesh_H1a1a4b2a1_1	Others	Others	Others	Non_Sichuan	Low
HG04187	Published_1KG	Published	H1a1a4b2a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b2a1	Bengali_Bangladesh_H1a1a4b2a1_2	Others	Others	Others	Non_Sichuan	Low
HG03815	Published_1KG	Published	H1a1a4b2a2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b2a2	Bengali_Bangladesh_H1a1a4b2a2	Others	Others	Others	Non_Sichuan	Low
