haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
A2g	9	8.4921	5.0166	12.0397	low	8.5015	8.0155	8.99	single_child_interpolation	0.009399999999999409	0.11069111291670386
A2g1	3	0.0	0.0	0.0	low	0.0	0.0	0.0	rho_fallback_no_desc	0.0	
A2h	5	19.5853	14.2058	25.1031	low	11.5532	10.2003	12.9178	single_child_interpolation	-8.0321	41.01086018595579
A2h1	3	6.1033	4.3696	7.8557	low	6.1033	4.3696	7.8557	rho_fallback_no_desc	0.0	0.0
A2i	2	2.5854	-2.4381	7.7838	very_low	2.5854	0.0	7.7838	rho_fallback_no_desc	0.0	0.0
A2j	6	8.7931	2.3872	15.4471	low	9.7942	9.3082	10.2827	single_child_interpolation	1.0010999999999992	11.385063288260103
A2j1	2	2.5854	2.5854	2.5854	very_low	2.5854	2.5854	2.5854	rho_fallback_no_desc	0.0	0.0
A2k	17	9.6458	7.1581	12.1693	medium	9.6458	7.1581	12.1693	rho_direct	0.0	0.0
A2k1	13	4.4021	3.1803	5.6335	medium	5.5742	3.7518	7.4191	single_child_interpolation	1.1721000000000004	26.625928534108727
A2k1a	12	1.5026	0.3455	2.6689	medium	1.5026	0.3455	2.6689	rho_direct	0.0	0.0
A2k2	4	4.5544	3.2651	5.8544	low	4.5544	3.2651	5.8544	rho_fallback_no_desc	0.0	0.0
A2l	6	2.5854	1.2713	3.9113	low	2.5854	1.2713	3.9113	rho_fallback_no_desc	0.0	0.0
A2m	12	17.5872	15.1783	20.0245	low	17.5872	15.1783	20.0245	rho_direct	0.0	0.0
A2m1	1	5.2164			no_ci	5.2164	0.0		rho_fallback_no_desc	0.0	0.0
A2m2	4	10.6101	10.6101	10.6101	low	10.6101	10.6101	10.6101	rho_fallback_no_desc	0.0	0.0
A2n	3	22.86	17.8851	27.9455	low	22.86	17.8851	27.9455	rho_fallback_no_desc	0.0	0.0
A2o	5	5.2164	2.3937	8.0901	low	9.1569	6.6438	11.7079	single_child_interpolation	3.9405	75.54060271451576
A2o1	3	1.7185	0.0342	3.4224	low	1.7185	0.0342	3.4224	rho_fallback_no_desc	0.0	0.0
A2p	9	9.6992	5.6673	13.8261	low	9.6992	5.6673	13.8261	rho_fallback_no_desc	0.0	0.0
A2p1	4	4.5544	2.0951	7.053	low	4.5544	2.0951	7.053	rho_fallback_no_desc	0.0	0.0
A2p2	2	5.2164	5.2164	5.2164	very_low	5.2164	5.2164	5.2164	rho_fallback_no_desc	0.0	0.0
A2q	11	14.1304	11.2854	17.0181	medium	14.1304	11.2854	17.0181	rho_direct	0.0	0.0
A2q1	2	13.3705	-2.2366	30.3893	very_low	13.3705	0.0	30.3893	rho_fallback_no_desc	0.0	0.0
A2q2	6	0.4277	-0.4094	1.2697	low	0.4277	0.0	1.2697	rho_fallback_no_desc	0.0	0.0
A2r	6	6.1033	2.655	9.6266	low	9.869	8.2895	11.4697	single_child_interpolation	3.7657	61.69940851670408
