haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
P1d1a	15116.5	11413.8	18890.4	15.1165	11.4138	18.8904	8	rho_fallback_no_desc	low	ci_exceeds_ancestor
P1d1b	12261.4	10106.7	14441.4	12.2614	10.1067	14.4414	5	rho_fallback_no_desc	NA	
P1d2	17026.4	15426.7	18638.7	17.0264	15.4267	18.6387	43	rho_direct	NA	
P1d2a	8411.1	7353.2	9475.7	8.4111	7.3532	9.4757	26	rho_direct	NA	
P1d2b	13370.5	10864.2	15910.3	13.3705	10.8642	15.9103	8	rho_fallback_no_desc	NA	
P1d2c	15233.5	6281.2	24613.0	15.2335	6.2812	24.6130	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
P1d3	10036.6	9362.2	10713.6	10.0366	9.3622	10.7136	62	rho_direct	NA	
P1d4	2958.5	2228.1	3692.5	2.9585	2.2281	3.6925	7	rho_fallback_no_desc	NA	
P1d5	14299.7	7831.5	20992.2	14.2997	7.8315	20.9922	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
P1e		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
P1f	5685.3	3205.3	8204.2	5.6853	3.2053	8.2042	17	rho_direct	NA	
P2	22748.7	21535.1	23968.8	22.7487	21.5351	23.9688	61	rho_direct	NA	
P2'10	42396.7	40253.3	44554.3	42.3967	40.2533	44.5543	64	rho_direct	low	ci_exceeds_ancestor
P2a	15568.0	13922.3	17227.6	15.568	13.9223	17.2276	14	rho_direct	NA	
P2b	13370.5	11321.6	15441.8	13.3705	11.3216	15.4418	8	rho_fallback_no_desc	NA	
P2c	12815.1	11731.3	13905.2	12.8151	11.7313	13.9052	5	rho_fallback_no_desc	NA	
P2d	7891.7	7891.7	7891.7	7.8917	7.8917	7.8917	3	rho_fallback_no_desc	NA	
P3	53959.9	51452.3	56483.7	53.9599	51.4523	56.4837	30	rho_direct	low	ci_exceeds_ancestor
P3a	19012.5	0.0		19.0125	0.0000	NA	1	rho_fallback_no_desc	NA	
P3b	45091.7	42989.7	47206.8	45.0917	42.9897	47.2068	29	rho_direct	NA	
P3b1	21891.8	0.0		21.8918	0.0000	NA	1	rho_fallback_no_desc	NA	
P3b2	9959.0	9330.9	10589.3	9.959	9.3309	10.5893	21	rho_direct	NA	
P3b3	32472.6	29636.5	35338.4	32.4726	29.6365	35.3384	7	rho_fallback_no_desc	NA	
P4	72770.9	71059.1	74488.2	72.7709	71.0591	74.4882	76	rho_direct	low	ci_exceeds_ancestor
