ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
111-1913-8133	YES	0.9523	39	100	Han	Zhangye	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8157	YES	0.8584	35	114	Mongolian	Xinxiang	Henan	China	Mongolic	East_Asia	WHOLE	LLT_20K
111-1913-8188	YES	0.8287	33	117	Han	Bengbu	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8201	YES	0.9355	38	106	Han	Yinchuan	Ningxia	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8232	YES	0.9731	40	117	Han	Langfang	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8263	YES	0.9524	46	127	Han	Haerbin	Heilongjiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8287	YES	0.9371	40	116	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8300	YES	0.9615	30	121	Han	Shaoxing	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8317	YES	0.9691	26	119	Han	Fuzhou	Fujian	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8324	YES	0.9944	31	121	Han	Suzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8331	YES	1	32	121	Han	Nantong	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8362	YES	0.9792	35	114	Han	Zhengzhou	Henan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8379	YES	0.8964	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8386	YES	0.9714	34	109	Han	Xianyang	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8409	YES	0.9597	40	116	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8416	YES	0.985	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8430	YES	0.9293	39	115	Han	Baoding	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8447	YES	0.964	31	118	Han	Tongling	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8454	YES	0.9731	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8492	YES	0.9761	31	121	Han	Jiaxing	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8515	YES	0.9747	23	113	Han	Guangzhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8546	YES	0.9452	24	117	Han	Chaozhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8553	YES	0.9227	30	104	Han	Meishan	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8577	YES	0.9459	28	102	Yi	Liangshan	Sichuan	China	Tibeto_Burman	East_Asia	WHOLE	LLT_20K
111-1913-8584	YES	0.7496	32	107	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8591	YES	0.9306	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8607	YES	0.9642	35	117	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8638	YES	0.9005	23	114	Han	Huizhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8652	YES	0.9472	30	105	Han	Ziyang	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8669	YES	0.9552	24	118	Han	Xiamen	Fujian	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8676	YES	0.9884	34	117	Han	Xuzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8683	YES	0.9789	38	116	Han	Hengshui	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8706	YES	0.9519	31	104	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8720	YES	0.9167	40	116	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8737	YES	0.9845	25	119	Han	Quanzhou	Fujian	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8768	YES	0.9874	39	117	Han	Tianjin	Tianjin	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8775	YES	0.8653	27	113	Han	Hengyang	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8782	YES	0.9709	35	119	Han	Lianyungang	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8799	YES	0.8977	32	117	Han	Hefei	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8805	YES	0.9957	40	116	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8812	YES	0.8495	30	122	Han	Ningbo	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8836	YES	0.9831	29	120	Han	Jinhua	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8843	YES	0.9636	25	103	Hui	Kunming	Yunnan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8867	YES	0.9675	28	114	Han	Pingxiang	Jiangxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8874	YES	0.9843	29	112	Han	Changde	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8881	YES	0.9565	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8898	YES	0.9606	37	117	Han	Jinan	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8911	YES	0.9127	39.9	116.3	Han			China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8935	YES	0.9754	31	117	Han	Anqing	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8942	YES	0.988	39.9	116.3	Han			China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8959	YES	0.9971	34	115	Han	Zhoukou	Henan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8966	YES	0.9009	44	125	Hui	Changchun	Jilin	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8973	YES	0.9766	33	116	Han	Fuyang	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8980	YES	0.8541	30	107	Han	Chongqing	Chongqing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-8997	YES	0.9648	31	104	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9000	YES	0.9275	37	118	Han	Zibo	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9017	YES	0.9856	29	120	Han	Jinhua	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
