tip_name	owner_core_subtree_id	appearing_baseml_subtree_ids	roles
111-1931-1741	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-1758	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-1796	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-1871	core_subtree_0049	"[""baseml_subtree_0045"", ""baseml_subtree_0049"", ""baseml_subtree_0088""]"	"[""anchor"", ""core"", ""anchor""]"
111-1931-1895	core_subtree_0060	"[""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-1918	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-1956	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2014	core_subtree_0012	"[""baseml_subtree_0012"", ""baseml_subtree_0086""]"	"[""core"", ""anchor""]"
111-1931-2038	core_subtree_0047	"[""baseml_subtree_0043"", ""baseml_subtree_0044"", ""baseml_subtree_0046"", ""baseml_subtree_0047"", ""baseml_subtree_0067"", ""baseml_subtree_0072"", ""baseml_subtree_0081"", ""baseml_subtree_0083"", ""baseml_subtree_0084""]"	"[""anchor"", ""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2069	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
