baseml_subtree_id	tip_name	tip_role	source_core_subtree_id	source_node_id
baseml_subtree_0001	JQ703166	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409613	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495096	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704438	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	OL619804	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646117	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705468	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	OL619940	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	FJ348214	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703383	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702607	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP00902	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705495	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704352	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KF162909	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HG00365	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687228	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702850	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702873	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	GU812902	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704080	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703126	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703998	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705238	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HQ875780	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646092	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM462218	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704242	core	core_subtree_0001	NODE_000038
