original	sanitized
B5a1a	B5a1a
B5a1a1	B5a1a1
B5a1a2	B5a1a2
B5a1b	B5a1b
B5a1b1	B5a1b1
B5a1b1a	B5a1b1a
B5a1c	B5a1c
B5a1c1	B5a1c1
B5a1c1a	B5a1c1a
B5a1c1a1	B5a1c1a1
B5a1c1b	B5a1c1b
B5a1c2	B5a1c2
B5a1c3	B5a1c3
B5a1d	B5a1d
B5a1d1	B5a1d1
B5a2	B5a2
B5a2a	B5a2a
B5a2a1	B5a2a1
B5a2a1_G16129A	B5a2a1_G16129A
B5a2a1a	B5a2a1a
B5a2a1b	B5a2a1b
B5a2a2	B5a2a2
B5a2a2a	B5a2a2a
B5a2a2a1	B5a2a2a1
B5a2a2a2	B5a2a2a2
B5a2a2b	B5a2a2b
B5a2a2b1	B5a2a2b1
B5a2a2b1a	B5a2a2b1a
B5a2a2b2	B5a2a2b2
B5a3	B5a3
B5b	B5b
B5b1	B5b1
B5b1a	B5b1a
B5b1a1	B5b1a1
B5b1a2	B5b1a2
B5b1a2a	B5b1a2a
B5b1a3	B5b1a3
B5b1b	B5b1b
B5b1c	B5b1c
B5b1c1	B5b1c1
B5b1c1a	B5b1c1a
B5b1d	B5b1d
B5b1e	B5b1e
B5b2	B5b2
B5b2_C204T	B5b2_C204T
B5b2a	B5b2a
B5b2a1	B5b2a1
B5b2a2	B5b2a2
B5b2a2a	B5b2a2a
B5b2a2a1	B5b2a2a1
B5b2a2a2	B5b2a2a2
B5b2a2b	B5b2a2b
B5b2a3	B5b2a3
B5b2b	B5b2b
B5b2b1	B5b2b1
B5b2c	B5b2c
B5b2c1	B5b2c1
B5b2c2	B5b2c2
B5b2d	B5b2d
B5b2e	B5b2e
B5b2g	B5b2g
B5b3	B5b3
B5b3a	B5b3a
B5b3b	B5b3b
B5b4	B5b4
B5b5	B5b5
B5b6	B5b6
B5b7	B5b7
B6	B6
B6a	B6a
B6a1	B6a1
B6a1a	B6a1a
B6a2	B6a2
B6a3	B6a3
B6b	B6b
B7	B7
C	C
C1	C1
C1a	C1a
C1a1	C1a1
C1b	C1b
C1b1	C1b1
C1b10	C1b10
C1b11	C1b11
C1b12	C1b12
C1b13	C1b13
C1b13a	C1b13a
C1b13a1	C1b13a1
C1b13b	C1b13b
C1b13c	C1b13c
C1b13c1	C1b13c1
C1b13d	C1b13d
C1b13e	C1b13e
C1b14	C1b14
C1b2	C1b2
C1b3	C1b3
C1b4	C1b4
C1b5	C1b5
C1b5a	C1b5a
C1b5b	C1b5b
C1b6	C1b6
C1b7	C1b7
C1b7a	C1b7a
C1b8	C1b8
C1b8a	C1b8a
C1b9	C1b9
C1b_T16311C!	C1b_T16311C
C1c	C1c
C1c1	C1c1
C1c1a	C1c1a
C1c1b	C1c1b
C1c2	C1c2
C1c3	C1c3
C1c4	C1c4
C1c5	C1c5
C1c6	C1c6
C1c7	C1c7
C1c8	C1c8
C1c_T195C!	C1c_T195C
C1d	C1d
C1d1	C1d1
C1d1a	C1d1a
C1d1a1	C1d1a1
C1d1b	C1d1b
C1d1b1	C1d1b1
C1d1c	C1d1c
C1d1c1	C1d1c1
C1d1d	C1d1d
C1d2	C1d2
C1d2a	C1d2a
C1d3	C1d3
C1d_C194T	C1d_C194T
C1e	C1e
C1f	C1f
C2	C2
C3	C3
C4	C4
C4_T152C!	C4_T152C
C4_T152C!_T16093C	C4_T152C_T16093C
C4a	C4a
C4a'b'c	C4a_b_c
C4a1	C4a1
C4a1a	C4a1a
C4a1a1	C4a1a1
C4a1a1a	C4a1a1a
C4a1a1a1	C4a1a1a1
C4a1a2	C4a1a2
C4a1a2a	C4a1a2a
C4a1a3	C4a1a3
C4a1a3a	C4a1a3a
C4a1a3a1	C4a1a3a1
C4a1a3b	C4a1a3b
C4a1a3c	C4a1a3c
C4a1a3c1	C4a1a3c1
C4a1a3d	C4a1a3d
C4a1a4	C4a1a4
C4a1a4a	C4a1a4a
C4a1a5	C4a1a5
C4a1a6	C4a1a6
C4a1a_T195C!	C4a1a_T195C
C4a1b	C4a1b
C4a2	C4a2
C4a2a	C4a2a
C4a2a1	C4a2a1
C4a2a1a	C4a2a1a
C4a2a1b	C4a2a1b
C4a2a1c	C4a2a1c
C4a2a1d	C4a2a1d
C4a2b	C4a2b
C4a2b1	C4a2b1
C4a2b2	C4a2b2
C4a2b2a	C4a2b2a
C4a2b3	C4a2b3
C4a2c	C4a2c
C4a2c1	C4a2c1
C4a2c2	C4a2c2
C4a2c2a	C4a2c2a
C4a2d	C4a2d
C4b	C4b
