original	sanitized
D5b1a2	D5b1a2
D5b1b	D5b1b
D5b1b1	D5b1b1
D5b1b2	D5b1b2
D5b1c	D5b1c
D5b1c1	D5b1c1
D5b1c1a	D5b1c1a
D5b1c2	D5b1c2
D5b1d	D5b1d
D5b1e	D5b1e
D5b2	D5b2
D5b3	D5b3
D5b3a	D5b3a
D5b3a1	D5b3a1
D5b3b	D5b3b
D5b4	D5b4
D5b5	D5b5
D5b6	D5b6
D5b7	D5b7
D5c	D5c
D5c1	D5c1
D5c1a	D5c1a
D5c1a1	D5c1a1
D5c2	D5c2
D5c2a	D5c2a
D5c3	D5c3
D5c4	D5c4
D5c_T16311C	D5c_T16311C
D6	D6
D6a	D6a
D6a1	D6a1
D6a1a	D6a1a
D6a2	D6a2
D6c	D6c
D6c1	D6c1
D6c1a	D6c1a
D6c2	D6c2
D_T16189C!	D_T16189C
E	E
E1	E1
E1a	E1a
E1a1	E1a1
E1a1a	E1a1a
E1a1a1	E1a1a1
E1a1a1a	E1a1a1a
E1a1a1b	E1a1a1b
E1a1a1b1	E1a1a1b1
E1a1a1b2	E1a1a1b2
E1a1a1c	E1a1a1c
E1a1b	E1a1b
E1a1b1	E1a1b1
E1a1b2	E1a1b2
E1a1b3	E1a1b3
E1a1b4	E1a1b4
E1a1c	E1a1c
E1a2	E1a2
E1a2_C16261T	E1a2_C16261T
E1a2a	E1a2a
E1a2a1	E1a2a1
E1a2a2	E1a2a2
E1a2a3	E1a2a3
E1a2a4	E1a2a4
E2	E2
E2a	E2a
E2a1	E2a1
E2a1a	E2a1a
E2a2	E2a2
E2b	E2b
E2b1	E2b1
E2b2	E2b2
E2b3	E2b3
F	F
F1	F1
F1_T16189C!	F1_T16189C
F1a	F1a
F1a'c'f'h'i	F1a_c_f_h_i
F1a1	F1a1
F1a1'4'8	F1a1_4_8
F1a1a	F1a1a
F1a1a1	F1a1a1
F1a1a1a	F1a1a1a
F1a1a1b	F1a1a1b
F1a1a1c	F1a1a1c
F1a1a1d	F1a1a1d
F1a1a1e	F1a1a1e
F1a1a2	F1a1a2
F1a1b	F1a1b
F1a1c	F1a1c
F1a1c1	F1a1c1
F1a1c2	F1a1c2
F1a1c3	F1a1c3
F1a1c4	F1a1c4
F1a1c5	F1a1c5
F1a1c6	F1a1c6
F1a1c7	F1a1c7
F1a1c8	F1a1c8
F1a1d	F1a1d
F1a1d1	F1a1d1
F1a1d2	F1a1d2
F1a1e	F1a1e
F1a1f	F1a1f
F1a1g	F1a1g
F1a2	F1a2
F1a2a	F1a2a
F1a3	F1a3
F1a3_T16311C	F1a3_T16311C
F1a3a	F1a3a
F1a3a1	F1a3a1
F1a3a1a	F1a3a1a
F1a3a2	F1a3a2
F1a3a3	F1a3a3
F1a3a3a	F1a3a3a
F1a3a3a1	F1a3a3a1
F1a3a4	F1a3a4
F1a3b	F1a3b
F1a3c	F1a3c
F1a3d	F1a3d
F1a4	F1a4
F1a4a	F1a4a
F1a4a1	F1a4a1
F1a4b	F1a4b
F1a5	F1a5
F1a6	F1a6
F1a7	F1a7
F1a8	F1a8
F1b	F1b
F1b1	F1b1
F1b1_C152T	F1b1_C152T
F1b1a	F1b1a
F1b1a1	F1b1a1
F1b1a1a	F1b1a1a
F1b1a1a1	F1b1a1a1
F1b1a1a1a	F1b1a1a1a
F1b1a1a2	F1b1a1a2
F1b1a1a3	F1b1a1a3
F1b1a2	F1b1a2
F1b1b	F1b1b
F1b1c	F1b1c
F1b1c1	F1b1c1
F1b1c2	F1b1c2
F1b1c3	F1b1c3
F1b1c4	F1b1c4
F1b1d	F1b1d
F1b1e	F1b1e
F1b1e1	F1b1e1
F1b1f	F1b1f
F1b1g	F1b1g
F1b1h	F1b1h
F1b1i	F1b1i
F1c	F1c
F1c1	F1c1
F1c1a	F1c1a
F1c1a1	F1c1a1
F1c1a1a	F1c1a1a
F1c1a1a1	F1c1a1a1
F1c1a1b	F1c1a1b
F1c1a1c	F1c1a1c
F1c1a1d	F1c1a1d
F1c1a2	F1c1a2
F1d	F1d
F1d1	F1d1
F1d1a	F1d1a
F1d2	F1d2
F1d3	F1d3
F1d4	F1d4
F1d5	F1d5
F1d6	F1d6
F1e	F1e
F1e1	F1e1
F1e1a	F1e1a
F1e2	F1e2
F1e3	F1e3
F1e3a	F1e3a
F1e3b	F1e3b
F1e3c	F1e3c
F1e4	F1e4
F1e5	F1e5
F1f	F1f
F1f1	F1f1
F1f2	F1f2
F1g	F1g
F1g1	F1g1
F1g1a	F1g1a
F1h	F1h
F1i	F1i
F1j	F1j
F1k	F1k
F1l	F1l
F1m	F1m
F2	F2
F2_C16291T	F2_C16291T
F2_T195C!	F2_T195C
F2a	F2a
F2a1	F2a1
F2a2	F2a2
F2a_T16291C	F2a_T16291C
F2b	F2b
F2b1	F2b1
F2b1a	F2b1a
F2b2	F2b2
F2b3	F2b3
F2b4	F2b4
F2c	F2c
F2c1	F2c1
F2c2	F2c2
F2c3	F2c3
F2d	F2d
F2e	F2e
F2e1	F2e1
F2e2	F2e2
F2f	F2f
F2f1	F2f1
F2f2	F2f2
F2f3	F2f3
F2f4	F2f4
F2g	F2g
F2h	F2h
F2i	F2i
F2j	F2j
F2k	F2k
F2l	F2l
F2m	F2m
F2n	F2n
F2o	F2o
F2p	F2p
F2q	F2q
F2r	F2r
F3	F3
F3a	F3a
F3a1	F3a1
F3a1a	F3a1a
F3a2	F3a2
F3a_G207A	F3a_G207A
F3b	F3b
F3b1	F3b1
F3b1a	F3b1a
F3b1a1	F3b1a1
F3b1a2	F3b1a2
F3b1a3	F3b1a3
F3b1a_T16093C	F3b1a_T16093C
F3b1b	F3b1b
F3b1b1	F3b1b1
F3b1c	F3b1c
F3b2	F3b2
F3b3	F3b3
F3b4	F3b4
F3b5	F3b5
F3b_T152C	F3b_T152C
F4	F4
F4a	F4a
F4a1	F4a1
F4a1a	F4a1a
F4a1b	F4a1b
F4a2	F4a2
F4a2a	F4a2a
F4b	F4b
F4b1	F4b1
F4b1a	F4b1a
F4b2	F4b2
F4b3	F4b3
F4b4	F4b4
F4b5	F4b5
F4b6	F4b6
G	G
G1	G1
G1a	G1a
G1a1	G1a1
G1a1a	G1a1a
G1a1a1	G1a1a1
G1a1a2	G1a1a2
G1a1a3	G1a1a3
G1a1a4	G1a1a4
G1a1a5	G1a1a5
G1a1b	G1a1b
G1a2	G1a2
G1a2'3	G1a2_3
G1a3	G1a3
G1b	G1b
G1b1	G1b1
G1b2	G1b2
G1b3	G1b3
G1b4	G1b4
G1b5	G1b5
G1b_G16129A	G1b_G16129A
G1c	G1c
G1c1	G1c1
G1c2	G1c2
G1c3	G1c3
G1d	G1d
G1f	G1f
G2	G2
G2a	G2a
G2a'c'd'e'f	G2a_c_d_e_f
G2a1	G2a1
G2a1_T16189C!	G2a1_T16189C
G2a1_T16189C_A16194G	G2a1_T16189C_A16194G
G2a1a	G2a1a
G2a1b	G2a1b
G2a1c	G2a1c
G2a1c1	G2a1c1
G2a1c2	G2a1c2
G2a1d	G2a1d
G2a1d1	G2a1d1
G2a1d1a	G2a1d1a
G2a1d2	G2a1d2
G2a1d2a	G2a1d2a
G2a1e	G2a1e
G2a1f	G2a1f
G2a1f1	G2a1f1
G2a1f2	G2a1f2
G2a1g	G2a1g
G2a1h	G2a1h
G2a1i	G2a1i
G2a1j	G2a1j
G2a1k	G2a1k
G2a2	G2a2
G2a2a	G2a2a
G2a3	G2a3
G2a3a	G2a3a
G2a4	G2a4
G2a5	G2a5
G2a6	G2a6
G2a7	G2a7
G2a8	G2a8
G2a9	G2a9
G2a_T152C	G2a_T152C
G2b	G2b
G2b1	G2b1
G2b1a	G2b1a
G2b1a1	G2b1a1
G2b1a2	G2b1a2
G2b1a3	G2b1a3
G2b1b	G2b1b
G2b2	G2b2
G2b2a	G2b2a
G2b2b	G2b2b
G2b2c	G2b2c
G2b2d	G2b2d
G2c	G2c
G2d	G2d
G2e	G2e
G2f	G2f
G2g	G2g
G3	G3
G3a	G3a
G3a1	G3a1
G3a1'2'4	G3a1_2_4
G3a1a	G3a1a
G3a2	G3a2
G3a2_T152C	G3a2_T152C
G3a2a	G3a2a
G3a2a1	G3a2a1
G3a2b	G3a2b
G3a2c	G3a2c
G3a2d	G3a2d
G3a2e	G3a2e
G3a3	G3a3
G3a3a	G3a3a
G3a4	G3a4
G3b	G3b
G3b1	G3b1
G3b1a	G3b1a
G3b2	G3b2
G3b3	G3b3
G3b4	G3b4
G4	G4
G4a	G4a
G5	G5
G6	G6
G7	G7
H	H
H1	H1
H10	H10
H100	H100
H101	H101
H102	H102
H103	H103
H104	H104
H104a	H104a
H105	H105
H105a	H105a
H106	H106
H107	H107
H108	H108
H10_(T16093C)	H10_T16093C
H10a	H10a
H10a1	H10a1
H10a1a	H10a1a
H10a1a1	H10a1a1
H10a1b	H10a1b
H10b	H10b
H10b1	H10b1
H10c	H10c
H10c1	H10c1
H10d	H10d
H10e	H10e
H10e1	H10e1
H10e1a	H10e1a
H10e2	H10e2
H10e3	H10e3
H10e3a	H10e3a
H10f	H10f
H10g	H10g
H10h	H10h
H11	H11
H11a	H11a
H11a1	H11a1
H11a2	H11a2
H11a2a	H11a2a
H11a2a1	H11a2a1
H11a2a2	H11a2a2
H11a2a3	H11a2a3
H11a3	H11a3
H11a4	H11a4
H11a5	H11a5
H11a6	H11a6
H11a7	H11a7
H11a8	H11a8
H11a_T152C!	H11a_T152C
H11b	H11b
H11b1	H11b1
H12	H12
H12a	H12a
H13	H13
H13a	H13a
H13a1	H13a1
H13a1_T152C!	H13a1_T152C
H13a1a	H13a1a
H13a1a1	H13a1a1
H13a1a1a	H13a1a1a
H13a1a1b	H13a1a1b
H13a1a1c	H13a1a1c
H13a1a1d	H13a1a1d
H13a1a1d1	H13a1a1d1
H13a1a1e	H13a1a1e
H13a1a2	H13a1a2
H13a1a2_T16311C!	H13a1a2_T16311C
H13a1a2a	H13a1a2a
H13a1a2b	H13a1a2b
H13a1a3	H13a1a3
H13a1a4	H13a1a4
H13a1a5	H13a1a5
H13a1a6	H13a1a6
H13a1b	H13a1b
H13a1c	H13a1c
H13a1d	H13a1d
H13a2	H13a2
H13a2a	H13a2a
H13a2a1	H13a2a1
H13a2a2	H13a2a2
H13a2b	H13a2b
H13a2b1	H13a2b1
H13a2b2	H13a2b2
H13a2b2a	H13a2b2a
H13a2b3	H13a2b3
H13a2b4	H13a2b4
H13a2b5	H13a2b5
H13a2c	H13a2c
H13a2c1	H13a2c1
H13b	H13b
H13b1	H13b1
H13b1_A200G	H13b1_A200G
H13b1a	H13b1a
H13b1b	H13b1b
H13b2	H13b2
H13c	H13c
H13c1	H13c1
H13c1a	H13c1a
H13c2	H13c2
H14	H14
H14a	H14a
H14a1	H14a1
H14a2	H14a2
H14a2a	H14a2a
H14a2b	H14a2b
H14a2c	H14a2c
H14a3	H14a3
H14a4	H14a4
H14a_T146C!	H14a_T146C
H14b	H14b
H14b1	H14b1
H14b2	H14b2
H14b2a	H14b2a
H14b3	H14b3
H14b4	H14b4
H14c	H14c
H15	H15
H15a	H15a
H15a1	H15a1
H15a1a	H15a1a
H15a1a1	H15a1a1
H15a1b	H15a1b
H15b	H15b
H15b1	H15b1
H15b2	H15b2
H16	H16
H16_T152C!	H16_T152C
H16a	H16a
H16a1	H16a1
H16b	H16b
H16c	H16c
H16d	H16d
H16e	H16e
H17	H17
H17a	H17a
H17a1	H17a1
H17a2	H17a2
H17b	H17b
H17c	H17c
H18	H18
H18b	H18b
H19	H19
H1_C16239T	H1_C16239T
H1_C16278T!	H1_C16278T
H1_C16355T	H1_C16355T
H1_T152C!	H1_T152C
H1_T16189C!	H1_T16189C
H1_T16311C!	H1_T16311C
H1a	H1a
H1a1	H1a1
H1a1a	H1a1a
H1a1a1	H1a1a1
H1a1b	H1a1b
H1a1c	H1a1c
H1a2	H1a2
H1a3	H1a3
H1a3a	H1a3a
H1a3a1	H1a3a1
H1a3a2	H1a3a2
H1a3a3	H1a3a3
H1a3a4	H1a3a4
H1a3b	H1a3b
H1a3b1	H1a3b1
H1a3c	H1a3c
H1a3c1	H1a3c1
H1a3d	H1a3d
H1a4	H1a4
H1a5	H1a5
H1a6	H1a6
H1a7	H1a7
H1a8	H1a8
H1a8a	H1a8a
H1a9	H1a9
H1aa	H1aa
H1aa1	H1aa1
H1ab	H1ab
H1ab1	H1ab1
H1ac	H1ac
H1ad	H1ad
H1ae	H1ae
H1ae1	H1ae1
H1ae2	H1ae2
H1ae2a	H1ae2a
H1ae3	H1ae3
H1ae3a	H1ae3a
H1af	H1af
H1af1	H1af1
H1af1a	H1af1a
H1af1b	H1af1b
H1af2	H1af2
H1ag	H1ag
H1ag1	H1ag1
H1ag1a	H1ag1a
H1ag1b	H1ag1b
H1ag2	H1ag2
H1ah	H1ah
H1ah1	H1ah1
H1ah2	H1ah2
H1ai	H1ai
H1ai1	H1ai1
H1aj	H1aj
H1aj1	H1aj1
H1aj1a	H1aj1a
H1ak	H1ak
H1ak1	H1ak1
H1ak2	H1ak2
H1am	H1am
H1am1	H1am1
H1an	H1an
H1an1	H1an1
H1an1a	H1an1a
H1an2	H1an2
H1ao	H1ao
H1ao1	H1ao1
H1ap	H1ap
H1ap1	H1ap1
H1aq	H1aq
H1aq1	H1aq1
H1ar	H1ar
H1ar1	H1ar1
H1as	H1as
H1as1	H1as1
H1as1a	H1as1a
H1as2	H1as2
H1at	H1at
H1at1	H1at1
H1at1a	H1at1a
H1au	H1au
H1au1	H1au1
H1au1a	H1au1a
H1au1b	H1au1b
H1av	H1av
H1av1	H1av1
H1av1a	H1av1a
H1aw	H1aw
H1aw1	H1aw1
H1ax	H1ax
H1ax1	H1ax1
H1ay	H1ay
H1az	H1az
H1b	H1b
H1b1	H1b1
H1b1_T16362C	H1b1_T16362C
H1b1a	H1b1a
H1b1b	H1b1b
H1b1c	H1b1c
H1b1d	H1b1d
H1b1e	H1b1e
H1b1e1	H1b1e1
H1b1f	H1b1f
H1b1g	H1b1g
H1b1h	H1b1h
H1b1i	H1b1i
H1b2	H1b2
H1b2a	H1b2a
H1b2a1	H1b2a1
H1b3	H1b3
H1b4	H1b4
H1b5	H1b5
H1ba	H1ba
H1ba1	H1ba1
H1bb	H1bb
H1bc	H1bc
H1bd	H1bd
H1be	H1be
H1bf	H1bf
H1bf1	H1bf1
H1bg	H1bg
H1bh	H1bh
H1bi	H1bi
H1bj	H1bj
H1bk	H1bk
H1bm	H1bm
H1bn	H1bn
H1bo	H1bo
H1bp	H1bp
H1bq	H1bq
H1br	H1br
H1bs	H1bs
H1bt	H1bt
H1bt1	H1bt1
H1bu	H1bu
H1bv	H1bv
H1bv1	H1bv1
H1bw	H1bw
H1bx	H1bx
H1bz	H1bz
H1c	H1c
H1c1	H1c1
H1c10	H1c10
H1c11	H1c11
H1c12	H1c12
H1c13	H1c13
H1c14	H1c14
H1c15	H1c15
H1c16	H1c16
H1c17	H1c17
H1c18	H1c18
H1c19	H1c19
H1c1_T16093C	H1c1_T16093C
H1c1a	H1c1a
H1c1a1	H1c1a1
H1c1b	H1c1b
H1c1c	H1c1c
H1c1d	H1c1d
H1c2	H1c2
H1c20	H1c20
H1c21	H1c21
H1c22	H1c22
H1c2a	H1c2a
H1c3	H1c3
H1c3a	H1c3a
H1c3b	H1c3b
H1c4	H1c4
H1c4a	H1c4a
H1c4a1	H1c4a1
H1c4b	H1c4b
H1c4b1	H1c4b1
H1c5	H1c5
H1c5a	H1c5a
H1c6	H1c6
H1c7	H1c7
H1c8	H1c8
H1c9	H1c9
H1c9a	H1c9a
H1c_T152C!	H1c_T152C
H1ca	H1ca
H1cc	H1cc
H1cd	H1cd
H1cf	H1cf
H1cg	H1cg
H1ch	H1ch
H1ci	H1ci
H1cj	H1cj
H1ck	H1ck
H1d	H1d
H1e	H1e
H1e1	H1e1
H1e1a	H1e1a
H1e1a1	H1e1a1
H1e1a2	H1e1a2
H1e1a3	H1e1a3
H1e1a4	H1e1a4
H1e1a5	H1e1a5
H1e1a6	H1e1a6
H1e1a7	H1e1a7
H1e1a8	H1e1a8
H1e1a9	H1e1a9
H1e1a_C16278T!	H1e1a_C16278T
H1e1b	H1e1b
H1e1b1	H1e1b1
H1e1b1a	H1e1b1a
H1e1b1b	H1e1b1b
H1e1c	H1e1c
H1e1d	H1e1d
H1e2	H1e2
H1e2a	H1e2a
H1e2b	H1e2b
H1e2c	H1e2c
H1e2d	H1e2d
H1e3	H1e3
H1e4	H1e4
H1e4a	H1e4a
H1e5	H1e5
H1e5a	H1e5a
H1e5a1	H1e5a1
H1e5b	H1e5b
H1e6	H1e6
H1e7	H1e7
H1e8	H1e8
H1e8a	H1e8a
H1e_G16129A!	H1e_G16129A
H1f	H1f
H1f1	H1f1
H1f1a	H1f1a
H1f_T16093C	H1f_T16093C
H1g	H1g
H1g1	H1g1
H1g2	H1g2
H1h	H1h
H1h1	H1h1
H1h2	H1h2
H1i	H1i
H1i1	H1i1
H1i2	H1i2
H1i2a	H1i2a
H1j	H1j
H1j1	H1j1
H1j1a	H1j1a
H1j1a1	H1j1a1
H1j1a2	H1j1a2
H1j1b	H1j1b
H1j1c	H1j1c
H1j2	H1j2
H1j2a	H1j2a
H1j3	H1j3
H1j4	H1j4
H1j5	H1j5
H1j6	H1j6
H1j7	H1j7
H1j8	H1j8
H1j9	H1j9
H1k	H1k
H1k1	H1k1
H1k1a	H1k1a
H1l	H1l
H1m	H1m
H1m1	H1m1
H1n	H1n
H1n1	H1n1
H1n1a	H1n1a
H1n1b	H1n1b
H1n2	H1n2
H1n3	H1n3
H1n4	H1n4
H1n5	H1n5
H1n6	H1n6
H1n_T146C!	H1n_T146C
H1n_T146C!_T195C!	H1n_T146C_T195C
H1o	H1o
H1p	H1p
H1q	H1q
H1q1	H1q1
H1q1a	H1q1a
H1q2	H1q2
H1q3	H1q3
H1r	H1r
H1r1	H1r1
H1s	H1s
H1s1	H1s1
H1t	H1t
H1t1	H1t1
H1t1a	H1t1a
H1t1a1	H1t1a1
H1t2	H1t2
H1u	H1u
H1u1	H1u1
H1u2	H1u2
H1u3	H1u3
H1u4	H1u4
H1v	H1v
H1v1	H1v1
H1v1a	H1v1a
H1v1b	H1v1b
H1w	H1w
H1x	H1x
H1y	H1y
H1z	H1z
H1z1	H1z1
H2	H2
H20	H20
H20a	H20a
H20a1	H20a1
H20a1a	H20a1a
H20a2	H20a2
H20a3	H20a3
H20b	H20b
H20c	H20c
H21	H21
H22	H22
H23	H23
H24	H24
H24a	H24a
H24a1	H24a1
H24a2	H24a2
H24b	H24b
H25	H25
H26	H26
H26a	H26a
H26a1	H26a1
H26a1a	H26a1a
H26a1a1	H26a1a1
H26a1b	H26a1b
H26b	H26b
H26b1	H26b1
H26c	H26c
H27	H27
H27_T16093C	H27_T16093C
H27a	H27a
H27b	H27b
H27c	H27c
H27d	H27d
H27e	H27e
H27f	H27f
H28	H28
H28a	H28a
H28a1	H28a1
H28a2	H28a2
H29	H29
H29a	H29a
H29b	H29b
H2_T152C_T16311C	H2_T152C_T16311C
H2a	H2a
H2a1	H2a1
H2a1_T146C!	H2a1_T146C
H2a1a	H2a1a
H2a1a1	H2a1a1
H2a1a2	H2a1a2
H2a1b	H2a1b
H2a1b1	H2a1b1
H2a1b2	H2a1b2
H2a1c	H2a1c
H2a1d	H2a1d
H2a1e	H2a1e
H2a1e1	H2a1e1
H2a1e1a	H2a1e1a
H2a1e1a1	H2a1e1a1
H2a1e1b	H2a1e1b
H2a1f	H2a1f
H2a1f1	H2a1f1
H2a1f2	H2a1f2
H2a1g	H2a1g
H2a1i	H2a1i
H2a1j	H2a1j
H2a1k	H2a1k
H2a1m	H2a1m
H2a1n	H2a1n
H2a2	H2a2
H2a2_A16235G	H2a2_A16235G
H2a2a	H2a2a
H2a2a1	H2a2a1
H2a2a1a	H2a2a1a
H2a2a1b	H2a2a1b
H2a2a1c	H2a2a1c
H2a2a1d	H2a2a1d
H2a2a1e	H2a2a1e
H2a2a1f	H2a2a1f
H2a2a1g	H2a2a1g
H2a2a1h	H2a2a1h
H2a2a2	H2a2a2
H2a2b	H2a2b
H2a2b1	H2a2b1
H2a2b1a	H2a2b1a
H2a2b1a1	H2a2b1a1
H2a2b2	H2a2b2
H2a2b3	H2a2b3
H2a2b4	H2a2b4
H2a2b5	H2a2b5
H2a2b5a	H2a2b5a
H2a3	H2a3
H2a3a	H2a3a
H2a3a1	H2a3a1
H2a3b	H2a3b
H2a4	H2a4
H2a5	H2a5
H2a5a	H2a5a
H2a5a1	H2a5a1
H2a5a1a	H2a5a1a
H2a5a1b	H2a5a1b
H2a5b	H2a5b
H2a5b1	H2a5b1
H2a5b2	H2a5b2
H2b	H2b
H2c	H2c
H2c1	H2c1
H3	H3
H30	H30
H30a	H30a
H30b	H30b
H30b1	H30b1
H31	H31
H31a	H31a
H31b	H31b
H32	H32
H33	H33
H33a	H33a
H33b	H33b
H33c	H33c
H34	H34
H35	H35
H35a	H35a
H36	H36
H37	H37
H38	H38
H39	H39
H39a	H39a
H39a1	H39a1
H39b	H39b
H39c	H39c
H3_A73G!	H3_A73G
H3_T152C!	H3_T152C
H3_T16189C!	H3_T16189C
H3_T16311C!	H3_T16311C
H3a	H3a
H3a1	H3a1
H3a1a	H3a1a
H3aa	H3aa
H3ab	H3ab
H3ac	H3ac
H3ad	H3ad
H3ae	H3ae
H3af	H3af
H3ag	H3ag
H3ag1	H3ag1
H3ah	H3ah
H3ai	H3ai
H3aj	H3aj
H3ak	H3ak
H3am	H3am
H3an	H3an
H3ao	H3ao
H3ao1	H3ao1
H3ap	H3ap
H3aq	H3aq
H3ar	H3ar
H3as	H3as
H3at	H3at
H3at1	H3at1
H3au	H3au
H3av	H3av
H3b	H3b
H3b1	H3b1
H3b1a	H3b1a
H3b1b	H3b1b
H3b1b1	H3b1b1
H3b1b1a	H3b1b1a
H3b2	H3b2
H3b3	H3b3
H3b4	H3b4
H3b4a	H3b4a
H3b5	H3b5
H3b6	H3b6
H3b6a	H3b6a
H3b7	H3b7
H3b_G16129A!	H3b_G16129A
H3c	H3c
H3c1	H3c1
H3c2	H3c2
H3c2a	H3c2a
H3c2a1	H3c2a1
H3c2b	H3c2b
H3c2b1	H3c2b1
H3c2c	H3c2c
H3c3	H3c3
H3d	H3d
H3e	H3e
H3f	H3f
H3g	H3g
H3g1	H3g1
H3g1a	H3g1a
H3g1b	H3g1b
H3g2	H3g2
H3g3	H3g3
H3g4	H3g4
H3h	H3h
H3h1	H3h1
H3h2	H3h2
H3h2a	H3h2a
H3h3	H3h3
H3h3a	H3h3a
H3h3b	H3h3b
H3h4	H3h4
H3h5	H3h5
H3h6	H3h6
H3h7	H3h7
H3i	H3i
H3i1	H3i1
H3j	H3j
H3k	H3k
H3k1	H3k1
H3k1a	H3k1a
H3m	H3m
H3n	H3n
H3p	H3p
H3q	H3q
H3q1	H3q1
H3r	H3r
H3r1	H3r1
H3s	H3s
H3t	H3t
H3u	H3u
H3u1	H3u1
H3v	H3v
H3v1	H3v1
H3v2	H3v2
H3v_T16093C	H3v_T16093C
H3w	H3w
H3x	H3x
H3x1	H3x1
H3y	H3y
H3z	H3z
H3z1	H3z1
H3z2	H3z2
H4	H4
H40	H40
H40a	H40a
H40b	H40b
H41	H41
H41a	H41a
H42	H42
H42a	H42a
H42a1	H42a1
H42a2	H42a2
H43	H43
H44	H44
H44a	H44a
H44a1	H44a1
H44b	H44b
H45	H45
H45a	H45a
H45b	H45b
H46	H46
H46a	H46a
H46b	H46b
H47	H47
H47a	H47a
H47b	H47b
H48	H48
H49	H49
H49a	H49a
H49a1	H49a1
H49a2	H49a2
H49b	H49b
H4a	H4a
H4a1	H4a1
H4a1a	H4a1a
H4a1a1	H4a1a1
H4a1a1a	H4a1a1a
H4a1a1a1	H4a1a1a1
H4a1a1a1a	H4a1a1a1a
H4a1a1a1a1	H4a1a1a1a1
H4a1a1a2	H4a1a1a2
H4a1a1a3	H4a1a1a3
H4a1a1a4	H4a1a1a4
H4a1a2	H4a1a2
H4a1a2a	H4a1a2a
H4a1a2a1	H4a1a2a1
H4a1a3	H4a1a3
H4a1a3a	H4a1a3a
H4a1a4	H4a1a4
H4a1a4a	H4a1a4a
H4a1a4b	H4a1a4b
H4a1a4b1	H4a1a4b1
H4a1a4b2	H4a1a4b2
H4a1a5	H4a1a5
H4a1a_T195C!	H4a1a_T195C
H4a1c	H4a1c
H4a1c1	H4a1c1
H4a1c1a	H4a1c1a
H4a1c2	H4a1c2
H4a1d	H4a1d
H4a2	H4a2
H4b	H4b
H4b1	H4b1
H4c	H4c
H4c1	H4c1
H4d	H4d
H5	H5
H5'36	H5_36
H5'36_C16192T	H5_36_C16192T
H5'36_G709A	H5_36_G709A
H5'36_T16311C!	H5_36_T16311C
H50	H50
H51	H51
H51a	H51a
H52	H52
H53	H53
H54	H54
H55	H55
H55_A153G	H55_A153G
H55a	H55a
H55b	H55b
H56	H56
H56a	H56a
H56a1	H56a1
H56b	H56b
H56c	H56c
H56d	H56d
H57	H57
H58	H58
H58a	H58a
H59	H59
H59a	H59a
H5a	H5a
H5a1	H5a1
H5a1_T152C!	H5a1_T152C
H5a1_T16093C	H5a1_T16093C
H5a1a	H5a1a
H5a1b	H5a1b
H5a1c	H5a1c
H5a1c1	H5a1c1
H5a1c1a	H5a1c1a
H5a1c2	H5a1c2
H5a1d	H5a1d
H5a1e	H5a1e
H5a1f	H5a1f
H5a1g	H5a1g
H5a1g1	H5a1g1
H5a1g1a	H5a1g1a
H5a1g2	H5a1g2
H5a1h	H5a1h
H5a1i	H5a1i
H5a1j	H5a1j
H5a1k	H5a1k
H5a1m	H5a1m
H5a1n	H5a1n
H5a1p	H5a1p
H5a1q	H5a1q
H5a2	H5a2
H5a2a	H5a2a
H5a2b	H5a2b
H5a3	H5a3
H5a3a	H5a3a
H5a3a1	H5a3a1
H5a3a2	H5a3a2
H5a3a3	H5a3a3
H5a3a_T152C!	H5a3a_T152C
H5a3b	H5a3b
H5a4	H5a4
H5a4a	H5a4a
H5a4a1	H5a4a1
H5a4a1a	H5a4a1a
H5a5	H5a5
H5a6	H5a6
H5a6a	H5a6a
H5a7	H5a7
H5a8	H5a8
H5a9	H5a9
H5a_T152C	H5a_T152C
H5b	H5b
H5b1	H5b1
H5b2	H5b2
H5b3	H5b3
H5b4	H5b4
H5b5	H5b5
H5c	H5c
H5c1	H5c1
H5c1a	H5c1a
H5c2	H5c2
H5d	H5d
H5e	H5e
H5e1	H5e1
H5e1a	H5e1a
H5e1a1	H5e1a1
H5e1b	H5e1b
H5f	H5f
H5g	H5g
H5h	H5h
H5i	H5i
H5j	H5j
H5k	H5k
H5m	H5m
H5n	H5n
H5p	H5p
H5q	H5q
H5r	H5r
H5r1	H5r1
H5r2	H5r2
H5s	H5s
H5t	H5t
H5u	H5u
H5u1	H5u1
H5v	H5v
H6	H6
H60	H60
H60a	H60a
H61	H61
H61a	H61a
H62	H62
H63	H63
H63a	H63a
H64	H64
H65	H65
H65a	H65a
H66	H66
H66a	H66a
H66a1	H66a1
H67	H67
H67a	H67a
H68	H68
H69	H69
H6a	H6a
H6a1	H6a1
H6a1a	H6a1a
H6a1a1	H6a1a1
H6a1a10	H6a1a10
H6a1a1a	H6a1a1a
H6a1a2	H6a1a2
H6a1a2a	H6a1a2a
H6a1a2b	H6a1a2b
H6a1a2b1	H6a1a2b1
H6a1a3	H6a1a3
H6a1a3a	H6a1a3a
H6a1a4	H6a1a4
H6a1a5	H6a1a5
H6a1a6	H6a1a6
H6a1a7	H6a1a7
H6a1a8	H6a1a8
H6a1a8a	H6a1a8a
H6a1a9	H6a1a9
H6a1b	H6a1b
H6a1b1	H6a1b1
H6a1b2	H6a1b2
H6a1b2a	H6a1b2a
