Sample	Grouping	Group
HG02554	Corridor_and_key_regions	Others
HG02554	Corridor_NCS	Others
HG02554	Sichuan_geographic_regions	Non_Sichuan
HG02554	Elevation_group	Low
HG02554	Language	Other
HG02541	Corridor_and_key_regions	Others
HG02541	Corridor_NCS	Others
HG02541	Sichuan_geographic_regions	Non_Sichuan
HG02541	Elevation_group	Low
HG02541	Language	Other
HG02455	Corridor_and_key_regions	Others
HG02455	Corridor_NCS	Others
HG02455	Sichuan_geographic_regions	Non_Sichuan
HG02455	Elevation_group	Low
HG02455	Language	Other
HG02330	Corridor_and_key_regions	Others
HG02330	Corridor_NCS	Others
HG02330	Sichuan_geographic_regions	Non_Sichuan
HG02330	Elevation_group	Low
HG02330	Language	Other
HG02316	Corridor_and_key_regions	Others
HG02316	Corridor_NCS	Others
HG02316	Sichuan_geographic_regions	Non_Sichuan
HG02316	Elevation_group	Low
HG02316	Language	Other
HG02317	Corridor_and_key_regions	Others
HG02317	Corridor_NCS	Others
HG02317	Sichuan_geographic_regions	Non_Sichuan
HG02317	Elevation_group	Low
HG02317	Language	Other
HG02445	Corridor_and_key_regions	Others
HG02445	Corridor_NCS	Others
HG02445	Sichuan_geographic_regions	Non_Sichuan
HG02445	Elevation_group	Low
HG02445	Language	Other
HG02420	Corridor_and_key_regions	Others
HG02420	Corridor_NCS	Others
HG02420	Sichuan_geographic_regions	Non_Sichuan
HG02420	Elevation_group	Low
HG02420	Language	Other
HG02433	Corridor_and_key_regions	Others
HG02433	Corridor_NCS	Others
HG02433	Sichuan_geographic_regions	Non_Sichuan
HG02433	Elevation_group	Low
HG02433	Language	Other
HG02536	Corridor_and_key_regions	Others
HG02536	Corridor_NCS	Others
HG02536	Sichuan_geographic_regions	Non_Sichuan
HG02536	Elevation_group	Low
HG02536	Language	Other
HG02470	Corridor_and_key_regions	Others
HG02470	Corridor_NCS	Others
HG02470	Sichuan_geographic_regions	Non_Sichuan
HG02470	Elevation_group	Low
HG02470	Language	Other
HG01988	Corridor_and_key_regions	Others
HG01988	Corridor_NCS	Others
HG01988	Sichuan_geographic_regions	Non_Sichuan
HG01988	Elevation_group	Low
HG01988	Language	Other
HG01879	Corridor_and_key_regions	Others
