haplogroup	n_samples	confidence	flag	complete_rho	complete_se	complete_age_kya	complete_ci_lo_kya	complete_ci_hi_kya	synonymous_rho	synonymous_se	synonymous_age_kya	synonymous_ci_lo_kya	synonymous_ci_hi_kya	hvsi_full_rho	hvsi_full_se	hvsi_full_age_kya	hvsi_full_ci_lo_kya	hvsi_full_ci_hi_kya	hvsi_trans_rho	hvsi_trans_se	hvsi_trans_age_kya	hvsi_trans_ci_lo_kya	hvsi_trans_ci_hi_kya	hvsii_rho	hvsii_se	hvsii_age_kya	hvsii_ci_lo_kya	hvsii_ci_hi_kya	control_rho	control_se	control_age_kya	control_ci_lo_kya	control_ci_hi_kya
A2r1	4	low		3.2500	0.4787	8.5673	6.0456	11.1266	0.5000	0.2887	3.9360	-0.5180	8.3900	1.0000	0.0000	16.6770	16.6770	16.6770	1.0000	0.0000	18.8450	18.8450	18.8450	1.0000	0.0000	22.3880	22.3880	22.3880	3.0000	0.0000	27.1740	27.1740	27.1740
H3ag	4	low	ci_exceeds_ancestor	3.2500	0.6292	8.5673	5.2611	11.9386	1.0000	0.4082	7.8720	1.5731	14.1709	0.5000	0.2887	8.3385	-1.0974	17.7744	0.5000	0.2887	9.4225	-1.2401	20.0851	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.2500	6.7935	2.3551	11.2319
X2b4a	4	low	ci_exceeds_ancestor	3.2500	0.2500	8.5673	7.2456	9.8992	1.0000	0.4082	7.8720	1.5731	14.1709	0.7500	0.2500	12.5077	4.3360	20.6795	1.2500	0.4787	23.5562	5.8744	41.2381	0.2500	0.2500	5.5970	-5.3731	16.5671	1.5000	0.2887	13.5870	8.4620	18.7120
HV9a	4	low	ci_exceeds_ancestor	3.2500	0.8539	8.5673	4.0962	13.1583	2.0000	0.7071	15.7440	4.8340	26.6540	0.5000	0.2887	8.3385	-1.0974	17.7744	0.2500	0.2500	4.7112	-4.5228	13.9453	0.2500	0.2500	5.5970	-5.3731	16.5671	1.7500	0.2500	15.8515	11.4131	20.2899
M7b1a1a1+204	4	low	ci_exceeds_ancestor	3.2500	0.6292	8.5673	5.2611	11.9386	0.7500	0.4787	5.9040	-1.4821	13.2901	0.7500	0.4787	12.5077	-3.1399	28.1554	1.2500	0.2500	23.5562	14.3222	32.7903	0.5000	0.2887	11.1940	-1.4732	23.8612	3.0000	0.5774	27.1740	16.9239	37.4241
Q1g1f1a	4	low		3.2500	1.3150	8.5673	1.7340	15.6852	0.5000	0.2887	3.9360	-0.5180	8.3900	0.2500	0.2500	4.1692	-4.0025	12.3410	0.2500	0.2500	4.7112	-4.5228	13.9453	1.0000	0.0000	22.3880	22.3880	22.3880	1.7500	0.4787	15.8515	7.3526	24.3504
L3e2a1b	32	medium		3.2500	0.3012	8.5673	6.9762	10.1733	0.6250	0.1328	4.9200	2.8707	6.9693	1.0938	0.1218	18.2405	14.2589	22.2220	0.5938	0.1410	11.1892	5.9816	16.3968	0.2500	0.0778	5.5970	2.1844	9.0096	1.8750	0.1995	16.9838	13.4411	20.5264
L1b1a4a	4	low		3.2500	0.6292	8.5673	5.2611	11.9386	0.5000	0.2887	3.9360	-0.5180	8.3900	1.0000	0.0000	16.6770	16.6770	16.6770	1.0000	0.0000	18.8450	18.8450	18.8450	0.5000	0.2887	11.1940	-1.4732	23.8612	1.5000	0.2887	13.5870	8.4620	18.7120
M7c1a3a2	4	low		3.2500	0.2500	8.5673	7.2456	9.8992	0.0000	0.0000	0.0000	0.0000	0.0000	1.5000	0.2887	25.0155	15.5796	34.4514	1.5000	0.2887	28.2675	17.6049	38.9301	0.7500	0.2500	16.7910	5.8209	27.7611	3.2500	0.2500	29.4385	25.0001	33.8769
M1a1e	4	low		3.2500	0.4787	8.5673	6.0456	11.1266	1.5000	0.5000	11.8080	4.0934	19.5226	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.2500	4.7112	-4.5228	13.9453	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.2887	4.5290	-0.5960	9.6540
L3e2a3	4	low		3.2500	1.0308	8.5673	3.1857	14.1237	0.5000	0.2887	3.9360	-0.5180	8.3900	0.5000	0.5000	8.3385	-8.0050	24.6820	0.5000	0.5000	9.4225	-9.0456	27.8906	1.2500	0.2500	27.9850	17.0149	38.9551	2.0000	1.0000	18.1160	0.3623	35.8697
F1a1a4b	20	low	ci_exceeds_ancestor	3.2500	0.2798	8.5673	7.0888	10.0587	0.1500	0.1094	1.1808	-0.5075	2.8691	1.1500	0.0819	19.1785	16.5009	21.8562	1.1000	0.1000	20.7295	17.0359	24.4231	0.2500	0.0993	5.5970	1.2379	9.9561	1.4000	0.1338	12.6812	10.3063	15.0561
H1j2a	8	low	ci_exceeds_ancestor	3.2500	0.6748	8.5673	5.0238	12.1857	1.6250	0.2631	12.7920	8.7333	16.8507	0.7500	0.4910	12.5077	-3.5412	28.5567	0.7500	0.4910	14.1337	-4.0016	32.2691	0.1250	0.1250	2.7985	-2.6866	8.2836	1.2500	0.5261	11.3225	1.9822	20.6628
H3a	8	low	ci_exceeds_ancestor	3.2500	0.4532	8.5673	6.1792	10.9891	1.5000	0.4226	11.8080	5.2880	18.3280	0.2500	0.1637	4.1692	-1.1804	9.5189	0.2500	0.1637	4.7112	-1.3339	10.7564	0.2500	0.1637	5.5970	-1.5846	12.7786	0.5000	0.1890	4.5290	1.1739	7.8841
M12a1a2	8	low		3.2500	0.4119	8.5673	6.3954	10.7671	0.3750	0.1830	2.9520	0.1288	5.7752	1.1250	0.1250	18.7616	14.6758	22.8475	1.1250	0.1250	21.2006	16.5836	25.8177	1.0000	0.1890	22.3880	14.0954	30.6806	2.2500	0.1637	20.3805	17.4749	23.2861
K1a30a	4	low		3.2500	0.6292	8.5673	5.2611	11.9386	0.5000	0.2887	3.9360	-0.5180	8.3900	1.2500	0.2500	20.8463	12.6745	29.0180	1.0000	0.0000	18.8450	18.8450	18.8450	0.2500	0.2500	5.5970	-5.3731	16.5671	1.7500	0.4787	15.8515	7.3526	24.3504
T2b33	4	low		3.2500	1.1087	8.5673	2.7864	14.5505	0.5000	0.2887	3.9360	-0.5180	8.3900	0.5000	0.5000	8.3385	-8.0050	24.6820	0.5000	0.5000	9.4225	-9.0456	27.8906	0.2500	0.2500	5.5970	-5.3731	16.5671	0.7500	0.4787	6.7935	-1.7054	15.2924
V7a1	8	low		3.2500	0.3134	8.5673	6.9121	10.2386	0.3750	0.1830	2.9520	0.1288	5.7752	1.0000	0.0000	16.6770	16.6770	16.6770	1.0000	0.0000	18.8450	18.8450	18.8450	1.0000	0.0000	22.3880	22.3880	22.3880	3.5000	0.1890	31.7030	28.3479	35.0581
M7c1c3bm	8	low	ci_exceeds_ancestor	3.2500	0.5901	8.5673	5.4644	11.7274	0.8750	0.2266	6.8880	3.3920	10.3840	2.1250	0.3981	35.4386	22.4260	48.4512	2.1250	0.3981	40.0456	25.3414	54.7499	0.0000	0.0000	0.0000	0.0000	0.0000	2.1250	0.3981	19.2482	12.1805	26.3160
F1a1k	24	medium		3.2500	0.2351	8.5673	7.3243	9.8193	0.4167	0.1335	3.2800	1.2207	5.3393	0.9167	0.1028	15.2873	11.9271	18.6474	0.8750	0.0915	16.4894	13.1084	19.8703	0.1667	0.0777	3.7313	0.3214	7.1412	1.0833	0.1464	9.8128	7.2134	12.4122
W1a2	4	low		3.2500	0.2500	8.5673	7.2456	9.8992	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	16.6770	16.6770	16.6770	1.0000	0.0000	18.8450	18.8450	18.8450	2.0000	0.0000	44.7760	44.7760	44.7760	3.0000	0.0000	27.1740	27.1740	27.1740
B4h3a	8	low	ci_exceeds_ancestor	3.2500	0.7258	8.5673	4.7592	12.4621	0.7500	0.3660	5.9040	0.2575	11.5505	1.2500	0.3660	20.8463	8.8841	32.8084	1.6250	0.3239	30.6231	18.6595	42.5867	0.1250	0.1250	2.7985	-2.6866	8.2836	3.0000	0.4226	27.1740	19.6717	34.6763
N9a6a1	4	low	ci_exceeds_ancestor	3.2500	1.1815	8.5673	2.4143	14.9500	0.5000	0.2887	3.9360	-0.5180	8.3900	0.2500	0.2500	4.1692	-4.0025	12.3410	0.2500	0.2500	4.7112	-4.5228	13.9453	0.5000	0.2887	11.1940	-1.4732	23.8612	2.2500	0.8539	20.3805	5.2204	35.5406
B4a1a5	4	low	ci_exceeds_ancestor	3.2500	0.4787	8.5673	6.0456	11.1266	1.0000	0.0000	7.8720	7.8720	7.8720	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.4787	14.1337	-3.5481	31.8156	0.5000	0.2887	11.1940	-1.4732	23.8612	1.5000	0.6455	13.5870	2.1270	25.0470
G1b5	8	low	ci_exceeds_ancestor	3.2500	0.3660	8.5673	6.6361	10.5205	0.5000	0.2673	3.9360	-0.1876	8.0596	0.3750	0.1830	6.2539	0.2728	12.2350	0.3750	0.1830	7.0669	0.3082	13.8255	0.3750	0.1830	8.3955	0.3662	16.4248	1.8750	0.2950	16.9838	11.7456	22.2219
U5a1d1	4	low		3.2500	0.8539	8.5673	4.0962	13.1583	0.5000	0.5000	3.9360	-3.7786	11.6506	1.2500	0.2500	20.8463	12.6745	29.0180	0.7500	0.4787	14.1337	-3.5481	31.8156	0.5000	0.2887	11.1940	-1.4732	23.8612	2.5000	0.5000	22.6450	13.7682	31.5218
A2gv2	4	low		3.2500	0.2500	8.5673	7.2456	9.8992	0.2500	0.2500	1.9680	-1.8893	5.8253	1.0000	0.0000	16.6770	16.6770	16.6770	1.0000	0.0000	18.8450	18.8450	18.8450	1.0000	0.0000	22.3880	22.3880	22.3880	3.0000	0.0000	27.1740	27.1740	27.1740
L0a2a1c	4	low		3.2500	0.8539	8.5673	4.0962	13.1583	0.0000	0.0000	0.0000	0.0000	0.0000	2.7500	0.6292	45.8618	25.2967	66.4268	2.7500	0.6292	51.8237	28.5852	75.0623	0.0000	0.0000	0.0000	0.0000	0.0000	2.7500	0.6292	24.9095	13.7397	36.0793
B5b2j1	28	medium		3.2500	0.3512	8.5673	6.7135	10.4413	0.7143	0.1531	5.6229	3.2611	7.9847	0.8929	0.1572	14.8902	9.7523	20.0281	1.4286	0.1739	26.9214	20.4990	33.3439	0.8571	0.1230	19.1897	13.7945	24.5849	2.4286	0.2542	21.9980	17.4847	26.5113
U8a1a1	20	medium		3.2500	0.2702	8.5673	7.1391	10.0075	0.4000	0.1522	3.1488	0.8008	5.4968	1.0500	0.0881	17.5109	14.6308	20.3909	1.0500	0.0881	19.7873	16.5328	23.0417	0.1000	0.0688	2.2388	-0.7813	5.2589	2.1500	0.1666	19.4747	16.5165	22.4329
L3b1a1a16	12	low	ci_exceeds_ancestor	3.2500	0.2787	8.5673	7.0948	10.0526	1.0000	0.1231	7.8720	5.9728	9.7712	1.9167	0.0833	31.9642	29.2403	34.6882	1.9167	0.0833	36.1196	33.0416	39.1976	0.0000	0.0000	0.0000	0.0000	0.0000	1.9167	0.0833	17.3612	15.8817	18.8406
B4a1a1k	4	low	ci_exceeds_ancestor	3.2500	0.6292	8.5673	5.2611	11.9386	0.5000	0.2887	3.9360	-0.5180	8.3900	1.7500	0.2500	29.1848	21.0130	37.3565	3.7500	0.2500	70.6688	61.4347	79.9028	0.7500	0.2500	16.7910	5.8209	27.7611	4.5000	0.2887	40.7610	35.6360	45.8860
U6c	4	low		3.2500	0.2500	8.5673	7.2456	9.8992	0.7500	0.2500	5.9040	2.0467	9.7613	1.0000	0.5774	16.6770	-2.1948	35.5488	1.2500	0.6292	23.5562	0.3177	46.7948	0.5000	0.2887	11.1940	-1.4732	23.8612	2.5000	0.5000	22.6450	13.7682	31.5218
D4q5	4	low	ci_exceeds_ancestor	3.2500	1.4361	8.5673	1.1194	16.3547	1.0000	0.7071	7.8720	-3.0380	18.7820	1.5000	0.6455	25.0155	3.9162	46.1148	1.2500	0.4787	23.5562	5.8744	41.2381	0.2500	0.2500	5.5970	-5.3731	16.5671	1.7500	0.8539	15.8515	0.6914	31.0116
N9b1c	4	low	negative_lower_ci;ci_exceeds_ancestor	3.2500	1.7970	8.5673	-0.6955	18.3616	1.0000	0.7071	7.8720	-3.0380	18.7820	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	18.8450	18.8450	18.8450	1.5000	0.6455	33.5820	5.2573	61.9067	2.5000	0.6455	22.6450	11.1850	34.1050
B2e	4	low		3.2500	0.9465	8.5673	3.6190	13.6630	0.5000	0.5000	3.9360	-3.7786	11.6506	0.2500	0.2500	4.1692	-4.0025	12.3410	1.0000	0.0000	18.8450	18.8450	18.8450	1.7500	0.2500	39.1790	28.2089	50.1491	3.0000	0.4082	27.1740	19.9261	34.4219
B5b3b1	4	low	ci_exceeds_ancestor	3.2500	0.6292	8.5673	5.2611	11.9386	0.5000	0.2887	3.9360	-0.5180	8.3900	0.2500	0.2500	4.1692	-4.0025	12.3410	1.0000	0.0000	18.8450	18.8450	18.8450	1.2500	0.2500	27.9850	17.0149	38.9551	2.2500	0.2500	20.3805	15.9421	24.8189
G1b2	4	low		3.2500	0.4787	8.5673	6.0456	11.1266	0.2500	0.2500	1.9680	-1.8893	5.8253	1.2500	0.2500	20.8463	12.6745	29.0180	1.2500	0.2500	23.5562	14.3222	32.7903	0.5000	0.2887	11.1940	-1.4732	23.8612	1.7500	0.2500	15.8515	11.4131	20.2899
L2c3e2	4	low		3.2500	0.9465	8.5673	3.6190	13.6630	0.5000	0.5000	3.9360	-3.7786	11.6506	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2500	0.2500	27.9850	17.0149	38.9551	3.2500	0.2500	29.4385	25.0001	33.8769
H3v1'4	4	low	ci_exceeds_ancestor	3.2500	0.2500	8.5673	7.2456	9.8992	3.0000	0.0000	23.6160	23.6160	23.6160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
U6a5a	4	low	ci_exceeds_ancestor	3.2500	0.6292	8.5673	5.2611	11.9386	1.0000	0.7071	7.8720	-3.0380	18.7820	0.5000	0.2887	8.3385	-1.0974	17.7744	0.5000	0.2887	9.4225	-1.2401	20.0851	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.4787	6.7935	-1.7054	15.2924
B4b1a2a3	8	low	ci_exceeds_ancestor	3.2500	0.8399	8.5673	4.1688	13.0818	0.7500	0.4910	5.9040	-1.6715	13.4795	0.3750	0.2631	6.2539	-2.3445	14.8522	1.3750	0.2631	25.9119	16.1957	35.6280	0.6250	0.1830	13.9925	5.9632	22.0218	2.3750	0.5324	21.5128	12.0602	30.9653
J1c2r	4	low		3.2500	0.9465	8.5673	3.6190	13.6630	0.2500	0.2500	1.9680	-1.8893	5.8253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	44.7760	44.7760	44.7760	2.0000	0.0000	18.1160	18.1160	18.1160
D5a2a2	91	high		3.2418	0.1383	8.5450	7.8126	9.2805	0.2308	0.0607	1.8166	0.8804	2.7528	2.2088	0.0742	36.8360	34.4122	39.2598	2.9780	0.1094	56.1208	52.0813	60.1603	0.0330	0.0188	0.7381	-0.0878	1.5639	4.1758	0.1226	37.8246	35.6473	40.0020
C4b3	25	medium		3.2400	0.2725	8.5402	7.1002	9.9924	0.6000	0.1414	4.7232	2.5412	6.9052	0.6000	0.1732	10.0062	4.3447	15.6677	0.4000	0.1414	7.5380	2.3144	12.7616	0.2800	0.0917	6.2686	2.2469	10.2904	1.2800	0.1960	11.5942	8.1152	15.0732
D4a9	30	medium		3.2333	0.2612	8.5221	7.1418	9.9138	1.5000	0.1572	11.8080	9.3825	14.2335	0.5333	0.1496	8.8944	4.0049	13.7839	0.5333	0.1496	10.0507	4.5256	15.5757	0.2667	0.0951	5.9701	1.7975	10.1427	1.3333	0.1877	12.0773	8.7441	15.4105
H1e1a	39	medium		3.2308	0.3826	8.5152	6.4975	10.5570	0.5897	0.1258	4.6425	2.7022	6.5827	1.0000	0.1643	16.6770	11.3069	22.0471	0.9487	0.1599	17.8786	11.9721	23.7851	0.2308	0.0683	5.1665	2.1673	8.1656	1.2821	0.1681	11.6128	8.6277	14.5979
C1a	13	medium		3.2308	0.3947	8.5152	6.4338	10.6223	0.3077	0.1332	2.4222	0.3665	4.4778	0.6923	0.2083	11.5456	4.7366	18.3546	0.6923	0.2083	13.0465	5.3524	20.7407	1.1538	0.1538	25.8323	19.0815	32.5832	2.9231	0.3833	26.4772	19.6717	33.2828
I1a1a	22	medium		3.2273	0.3539	8.5057	6.6385	10.3936	0.4545	0.1944	3.5782	0.5792	6.5772	0.5455	0.1431	9.0965	4.4206	13.7725	0.5455	0.1431	10.2791	4.9952	15.5630	1.0909	0.0627	24.4233	21.6705	27.1760	1.6818	0.1663	15.2339	12.2820	18.1859
B2a1	9	low		3.2222	0.4339	8.4921	6.2059	10.8093	0.6667	0.2887	5.2480	0.7940	9.7020	0.3333	0.1667	5.5590	0.1112	11.0068	1.3333	0.1667	25.1267	18.9706	31.2827	0.1111	0.1111	2.4876	-2.3881	7.3632	1.5556	0.2422	14.0902	9.7910	18.3895
B4a4f	9	low		3.2222	0.9542	8.4921	3.5064	13.6278	0.6667	0.4410	5.2480	-1.5556	12.0516	1.1111	0.3514	18.5300	7.0450	30.0150	1.6667	0.4082	31.4083	16.3292	46.4875	0.2222	0.1470	4.9751	-1.4747	11.4249	2.3333	0.4714	21.1353	12.7662	29.5045
D4j3e	9	low		3.2222	0.4006	8.4921	6.3801	10.6304	0.1111	0.1111	0.8747	-0.8397	2.5890	1.3333	0.2357	22.2360	14.5316	29.9404	1.3333	0.2357	25.1267	16.4207	33.8326	0.1111	0.1111	2.4876	-2.3881	7.3632	2.3333	0.3333	21.1353	15.2174	27.0532
L3b1a1a	223	high		3.2197	0.0658	8.4853	8.1367	8.8346	0.1928	0.0287	1.5179	1.0755	1.9604	2.5874	0.0467	43.1508	41.6238	44.6778	2.5740	0.0459	48.5069	46.8096	50.2041	0.0448	0.0139	1.0039	0.3944	1.6135	2.6637	0.0484	24.1276	23.2690	24.9861
M8a3b4	78	high		3.2179	0.2110	8.4805	7.3651	9.6032	0.6282	0.0732	4.9452	3.8152	6.0753	0.6154	0.1003	10.2628	6.9832	13.5424	0.5513	0.0924	10.3889	6.9754	13.8024	0.3846	0.0638	8.6108	5.8104	11.4112	1.6923	0.1215	15.3289	13.1724	17.4854
Z1a1	14	medium		3.2143	0.2998	8.4706	6.8879	10.0681	1.2857	0.1941	10.1211	7.1263	13.1160	0.3571	0.2482	5.9561	-2.1577	14.0699	0.3571	0.2482	6.7304	-2.4382	15.8989	0.0714	0.0714	1.5991	-1.5352	4.7335	0.5714	0.2506	5.1760	0.7271	9.6249
A14n	147	high		3.2109	0.1420	8.4614	7.7101	9.2159	0.7211	0.0653	5.6764	4.6686	6.6842	0.5578	0.0612	9.3028	7.3039	11.3017	0.5034	0.0582	9.4866	7.3362	11.6370	0.1769	0.0357	3.9598	2.3919	5.5277	1.9048	0.0786	17.2533	15.8575	18.6492
U6a7a	19	medium		3.2105	0.2105	8.4604	7.3475	9.5807	1.6316	0.1370	12.8438	10.7297	14.9579	0.3684	0.1370	6.1442	1.6653	10.6230	0.3684	0.1370	6.9429	1.8818	12.0040	0.3684	0.1370	8.2482	2.2356	14.2608	1.8421	0.2061	16.6858	13.0269	20.3447
E1a2	29	medium		3.2069	0.3034	8.4506	6.8490	10.0674	0.8621	0.1548	6.7862	4.3984	9.1740	1.1724	0.1223	19.5523	15.5560	23.5487	1.2069	0.1253	22.7440	18.1140	27.3739	0.1034	0.0576	2.3160	-0.2095	4.8415	1.4483	0.1454	13.1185	10.5367	15.7003
Z4a1a	39	medium		3.2051	0.3977	8.4458	6.3499	10.5678	1.0769	0.1887	8.4775	5.5661	11.3890	0.9744	0.1995	16.2494	9.7289	22.7699	0.9231	0.2025	17.3954	9.9159	24.8748	0.1795	0.0623	4.0184	1.2866	6.7501	2.2821	0.2435	20.6708	16.3472	24.9945
J1b1a1q	5	low		3.2000	0.2000	8.4319	7.3746	9.4958	0.2000	0.2000	1.5744	-1.5114	4.6602	1.0000	0.0000	16.6770	16.6770	16.6770	1.0000	0.0000	18.8450	18.8450	18.8450	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	18.1160	18.1160	18.1160
H73	5	low		3.2000	0.6633	8.4319	4.9510	11.9854	2.8000	0.7348	22.0416	10.7036	33.3796	0.4000	0.2449	6.6708	-1.3358	14.6774	0.4000	0.2449	7.5380	-1.5095	16.5855	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.2449	3.6232	-0.7255	7.9719
D4w1c	5	low	negative_lower_ci;ci_exceeds_ancestor	3.2000	3.2000	8.4319	-7.6450	26.1979	0.4000	0.4000	3.1488	-3.0228	9.3204	0.6000	0.6000	10.0062	-9.6060	29.6184	0.6000	0.6000	11.3070	-10.8547	33.4687	0.4000	0.4000	8.9552	-8.5970	26.5074	2.0000	1.0000	18.1160	0.3623	35.8697
L1c2b1c	5	low		3.2000	0.5831	8.4319	5.3680	11.5519	0.6000	0.4000	4.7232	-1.4484	10.8948	0.8000	0.3742	13.3416	1.1113	25.5719	0.8000	0.3742	15.0760	1.2557	28.8963	0.8000	0.2000	17.9104	9.1343	26.6865	1.8000	0.5831	16.3044	5.9523	26.6565
H1c3a^	5	low	ci_exceeds_ancestor	3.2000	0.4899	8.4319	5.8539	11.0495	0.6000	0.2449	4.7232	0.9439	8.5025	1.0000	0.0000	16.6770	16.6770	16.6770	1.0000	0.0000	18.8450	18.8450	18.8450	1.0000	0.0000	22.3880	22.3880	22.3880	2.2000	0.2000	19.9276	16.3769	23.4783
N1b1a8	5	low		3.2000	0.7348	8.4319	4.5801	12.3728	0.8000	0.3742	6.2976	0.5246	12.0706	0.6000	0.2449	10.0062	1.9996	18.0128	0.6000	0.2449	11.3070	2.2595	20.3545	0.2000	0.2000	4.4776	-4.2985	13.2537	0.8000	0.3742	7.2464	0.6036	13.8892
G3a1	20	medium		3.2000	0.3671	8.4319	6.4965	10.3895	0.6500	0.1817	5.1168	2.3128	7.9208	0.5500	0.1698	9.1723	3.6237	14.7210	0.5000	0.1539	9.4225	3.7381	15.1069	0.3000	0.1277	6.7164	1.1114	12.3214	1.8500	0.2209	16.7573	12.8347	20.6799
U7a4a1a	5	low		3.2000	0.3742	8.4319	6.4593	10.4276	0.4000	0.2449	3.1488	-0.6305	6.9281	1.4000	0.2449	23.3478	15.3412	31.3544	1.4000	0.2449	26.3830	17.3355	35.4305	0.2000	0.2000	4.4776	-4.2985	13.2537	1.8000	0.5831	16.3044	5.9523	26.6565
H6c	5	low		3.2000	0.5831	8.4319	5.3680	11.5519	0.4000	0.2449	3.1488	-0.6305	6.9281	0.8000	0.2000	13.3416	6.8042	19.8790	0.2000	0.2000	3.7690	-3.6182	11.1562	0.0000	0.0000	0.0000	0.0000	0.0000	2.8000	0.2000	25.3624	21.8117	28.9131
M7b1a1h1^	15	low	ci_exceeds_ancestor	3.2000	0.3546	8.4319	6.5621	10.3225	0.1333	0.0909	1.0496	-0.3522	2.4514	1.3333	0.2520	22.2360	13.9997	30.4723	1.2667	0.2482	23.8703	14.7040	33.0367	0.0000	0.0000	0.0000	0.0000	0.0000	3.0667	0.3305	27.7779	21.9109	33.6448
M41a	5	low		3.2000	0.4899	8.4319	5.8539	11.0495	0.2000	0.2000	1.5744	-1.5114	4.6602	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	18.8450	18.8450	18.8450	1.6000	0.6000	35.8208	9.4925	62.1491	3.6000	0.7483	32.6088	19.3232	45.8944
R22c3b	10	medium		3.2000	0.2906	8.4319	6.8979	9.9799	1.0000	0.0000	7.8720	7.8720	7.8720	0.4000	0.1633	6.6708	1.3330	12.0086	0.4000	0.1633	7.5380	1.5063	13.5697	0.4000	0.1633	8.9552	1.7895	16.1209	0.8000	0.3266	7.2464	1.4481	13.0447
L2a2a1	5	low		3.2000	0.7348	8.4319	4.5801	12.3728	1.0000	0.6325	7.8720	-1.8862	17.6302	0.6000	0.4000	10.0062	-3.0686	23.0810	0.8000	0.2000	15.0760	7.6888	22.4632	0.4000	0.2449	8.9552	-1.7933	19.7037	1.8000	0.3742	16.3044	9.6616	22.9472
D5a2a1b10	5	low		3.2000	0.6633	8.4319	4.9510	11.9854	0.2000	0.2000	1.5744	-1.5114	4.6602	2.0000	0.3162	33.3540	23.0175	43.6905	2.8000	0.5831	52.7660	31.2287	74.3033	0.0000	0.0000	0.0000	0.0000	0.0000	3.8000	0.5831	34.4204	24.0683	44.7725
M9a1a1c1c	5	low		3.2000	0.4899	8.4319	5.8539	11.0495	0.4000	0.2449	3.1488	-0.6305	6.9281	0.4000	0.2449	6.6708	-1.3358	14.6774	0.4000	0.2449	7.5380	-1.5095	16.5855	1.2000	0.2000	26.8656	18.0895	35.6417	3.0000	0.4472	27.1740	19.2343	35.1137
D5a2a1b5a	5	low		3.2000	0.7348	8.4319	4.5801	12.3728	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	33.3540	33.3540	33.3540	2.0000	0.0000	37.6900	37.6900	37.6900	0.2000	0.2000	4.4776	-4.2985	13.2537	3.2000	0.2000	28.9856	25.4349	32.5363
M9a1c	5	low		3.2000	0.6633	8.4319	4.9510	11.9854	0.0000	0.0000	0.0000	0.0000	0.0000	1.8000	0.4899	30.0186	14.0053	46.0319	1.8000	0.4899	33.9210	15.8260	52.0160	1.0000	0.0000	22.3880	22.3880	22.3880	2.8000	0.4899	25.3624	16.6649	34.0599
K1c1^	40	medium		3.2000	0.2000	8.4319	7.3746	9.4958	1.7000	0.1301	13.3824	11.3752	15.3896	0.4250	0.1067	7.0877	3.5986	10.5768	0.3500	0.0984	6.5957	2.9618	10.2297	0.1250	0.0639	2.7985	-0.0066	5.6036	0.6000	0.1468	5.4348	2.8293	8.0403
J1c7a+16092	5	low	ci_exceeds_ancestor	3.2000	0.3742	8.4319	6.4593	10.4276	0.0000	0.0000	0.0000	0.0000	0.0000	0.8000	0.2000	13.3416	6.8042	19.8790	0.8000	0.2000	15.0760	7.6888	22.4632	1.8000	0.3742	40.2984	23.8798	56.7170	3.6000	0.4000	32.6088	25.5073	39.7103
U3b1a1	5	low		3.2000	0.8602	8.4319	3.9320	13.0539	1.0000	0.0000	7.8720	7.8720	7.8720	0.8000	0.3742	13.3416	1.1113	25.5719	0.8000	0.3742	15.0760	1.2557	28.8963	0.2000	0.2000	4.4776	-4.2985	13.2537	2.2000	0.3742	19.9276	13.2848	26.5704
H1as	5	low	ci_exceeds_ancestor	3.2000	0.7348	8.4319	4.5801	12.3728	0.8000	0.2000	6.2976	3.2118	9.3834	0.6000	0.2449	10.0062	1.9996	18.0128	0.6000	0.2449	11.3070	2.2595	20.3545	0.6000	0.2449	13.4328	2.6843	24.1813	1.4000	0.6000	12.6812	2.0290	23.3334
N9a5	10	medium		3.2000	0.4667	8.4319	5.9753	10.9245	0.6000	0.1633	4.7232	2.2036	7.2428	1.2000	0.3590	20.0124	8.2774	31.7474	1.2000	0.3590	22.6140	9.3535	35.8745	0.1000	0.1000	2.2388	-2.1492	6.6268	2.2000	0.4163	19.9276	12.5362	27.3190
B4a1a1b19	5	low	ci_exceeds_ancestor	3.2000	0.5831	8.4319	5.3680	11.5519	0.8000	0.2000	6.2976	3.2118	9.3834	1.8000	0.2000	30.0186	23.4812	36.5560	3.2000	0.3742	60.3040	46.4837	74.1243	0.0000	0.0000	0.0000	0.0000	0.0000	3.8000	0.5831	34.4204	24.0683	44.7725
