haplogroup	n_samples	confidence	flag	complete_rho	complete_se	complete_age_kya	complete_ci_lo_kya	complete_ci_hi_kya	synonymous_rho	synonymous_se	synonymous_age_kya	synonymous_ci_lo_kya	synonymous_ci_hi_kya	hvsi_full_rho	hvsi_full_se	hvsi_full_age_kya	hvsi_full_ci_lo_kya	hvsi_full_ci_hi_kya	hvsi_trans_rho	hvsi_trans_se	hvsi_trans_age_kya	hvsi_trans_ci_lo_kya	hvsi_trans_ci_hi_kya	hvsii_rho	hvsii_se	hvsii_age_kya	hvsii_ci_lo_kya	hvsii_ci_hi_kya	control_rho	control_se	control_age_kya	control_ci_lo_kya	control_ci_hi_kya
D4a3b2a1	18	medium		0.6667	0.2139	1.7185	0.6354	2.8097	0.2778	0.1354	2.1867	0.0973	4.2760	0.1111	0.0762	1.8530	-0.6384	4.3444	0.1111	0.0762	2.0939	-0.7214	4.9092	0.1111	0.0762	2.4876	-0.8571	5.8322	1.1667	0.1213	10.5677	8.4147	12.7206
F3b3a	3	low	ci_exceeds_ancestor	0.6667	0.3333	1.7185	0.0342	3.4224	0.3333	0.3333	2.6240	-2.5190	7.7670	0.3333	0.3333	5.5590	-5.3366	16.4546	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	1.3333	0.3333	12.0773	6.1594	17.9952
B4c1a2a	6	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.1667	0.1667	2.7795	-2.6683	8.2273	2.1667	0.1667	40.8308	34.6748	46.9869	0.0000	0.0000	0.0000	0.0000	0.0000	2.5000	0.5000	22.6450	13.7682	31.5218
Q1a1j1a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	14.9253	0.2985	29.5522	1.6667	0.3333	15.0967	9.1788	21.0146
L3i2c1^	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.3333	0.3333	2.6240	-2.5190	7.7670	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
U6a3f6	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.6667	0.3333	5.2480	0.1050	10.3910	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	18.8450	18.8450	18.8450	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	18.1160	18.1160	18.1160
H17a12'20	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B4c1b1a	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.6667	0.6667	5.2480	-5.0381	15.5341	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	18.8450	18.8450	18.8450	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	9.0580	9.0580	9.0580
F1b1d	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	5.5590	-5.3366	16.4546	1.6667	0.3333	31.4083	19.0963	43.7204	0.0000	0.0000	0.0000	0.0000	0.0000	1.6667	0.3333	15.0967	9.1788	21.0146
D4g2a1e1a	6	low	negative_lower_ci	0.6667	0.4216	1.7185	-0.4087	3.8771	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3333	0.2108	12.0773	8.3345	15.8201
U2e1b4e1a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.6667	0.3333	5.2480	0.1050	10.3910	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	37.6900	37.6900	37.6900	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	18.1160	18.1160	18.1160
D5b1a2	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.3333	0.3333	2.6240	-2.5190	7.7670	0.3333	0.3333	5.5590	-5.3366	16.4546	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	1.3333	0.3333	12.0773	6.1594	17.9952
C5a1b	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	7.4627	-7.1642	22.0895	0.6667	0.6667	6.0387	-5.7971	17.8745
M3a1b1a6a	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.3333	0.3333	2.6240	-2.5190	7.7670	0.3333	0.3333	5.5590	-5.3366	16.4546	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	3.0193	-2.8986	8.9372
K1a2a1	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	3.0193	-2.8986	8.9372
M7b1a1b11	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	11.1180	0.2224	22.0136	0.6667	0.3333	12.5633	0.2513	24.8754	0.0000	0.0000	0.0000	0.0000	0.0000	1.6667	0.3333	15.0967	9.1788	21.0146
HV2a1a5a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	6.0387	0.1208	11.9566
M27c1a^	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	9.0580	9.0580	9.0580
C4b9	9	low		0.6667	0.2357	1.7185	0.5254	2.9214	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.2357	7.4627	-2.8801	17.8054	0.6667	0.2357	6.0387	1.8541	10.2232
H1e4	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	11.1180	0.2224	22.0136	1.0000	0.5774	18.8450	-2.4801	40.1701	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.5774	9.0580	-1.1921	19.3081
F3b1b3h	3	low	negative_lower_ci;ci_exceeds_ancestor	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.6667	14.9253	-14.3283	44.1790	1.6667	0.6667	15.0967	3.2609	26.9325
M33c9b+8251	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.6667	0.6667	5.2480	-5.0381	15.5341	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
D4a2a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	7.4627	-7.1642	22.0895	0.3333	0.3333	3.0193	-2.8986	8.9372
F1b1f2	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	18.8450	18.8450	18.8450	0.0000	0.0000	0.0000	0.0000	0.0000	1.3333	0.3333	12.0773	6.1594	17.9952
U5a1c2a3b2	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.3333	0.3333	2.6240	-2.5190	7.7670	0.3333	0.3333	5.5590	-5.3366	16.4546	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	1.3333	0.3333	12.0773	6.1594	17.9952
E1a1a1g16c1	3	low	ci_exceeds_ancestor	0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	7.4627	-7.1642	22.0895	0.3333	0.3333	3.0193	-2.8986	8.9372
H1b2a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	18.8450	18.8450	18.8450	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	18.1160	18.1160	18.1160
B5a1c4a2	9	low		0.6667	0.2887	1.7185	0.2587	3.1930	0.2222	0.2222	1.7493	-1.6794	5.1780	0.2222	0.1470	3.7060	-1.0985	8.5105	0.7778	0.1470	14.6572	9.2281	20.0863	0.1111	0.1111	2.4876	-2.3881	7.3632	1.0000	0.0000	9.0580	9.0580	9.0580
B4a1e4	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.3333	0.3333	2.6240	-2.5190	7.7670	0.3333	0.3333	5.5590	-5.3366	16.4546	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	3.0193	-2.8986	8.9372
K1a4b1b1	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.3333	0.3333	2.6240	-2.5190	7.7670	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
L3e2p2b	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.3333	0.3333	2.6240	-2.5190	7.7670	0.3333	0.3333	5.5590	-5.3366	16.4546	1.3333	0.3333	25.1267	12.8146	37.4387	0.0000	0.0000	0.0000	0.0000	0.0000	1.3333	0.3333	12.0773	6.1594	17.9952
L1c3j+745.1	12	low	ci_exceeds_ancestor	0.6667	0.2247	1.7185	0.5808	2.8652	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.1880	5.5590	-0.5870	11.7050	0.2500	0.1794	4.7112	-1.9164	11.3389	0.0833	0.0833	1.8657	-1.7910	5.5224	0.4167	0.1930	3.7742	0.3478	7.2006
H2a1e1c	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	9.0580	9.0580	9.0580
M17c1a1a2a3b	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.6667	0.3333	5.2480	0.1050	10.3910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	9.0580	9.0580	9.0580
U4a3a	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A8b	6	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6667	0.3333	15.0967	9.1788	21.0146
M21b2c+10876	24	medium	negative_lower_ci	0.6667	0.5506	1.7185	-1.0529	4.5434	0.0833	0.0576	0.6560	-0.2332	1.5452	0.3333	0.3333	5.5590	-5.3366	16.4546	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0833	0.0576	1.8657	-0.6632	4.3945	0.5000	0.4584	4.5290	-3.6096	12.6676
B5a1c4a3	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.6667	0.3333	5.2480	0.1050	10.3910	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	3.0193	-2.8986	8.9372
L2a1a2ah	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	11.1180	0.2224	22.0136	0.6667	0.3333	12.5633	0.2513	24.8754	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	6.0387	0.1208	11.9566
U5b1b1a1b	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	6.2817	-6.0304	18.5937	0.3333	0.3333	7.4627	-7.1642	22.0895	1.6667	0.3333	15.0967	9.1788	21.0146
H1bw	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	6.0387	0.1208	11.9566
H5e1e	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	9.0580	9.0580	9.0580
M30d2a	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.3333	0.3333	2.6240	-2.5190	7.7670	0.3333	0.3333	5.5590	-5.3366	16.4546	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	3.0193	-2.8986	8.9372
B6a1a1b	3	low	negative_lower_ci	0.6667	0.6667	1.7185	-1.6302	5.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.6667	11.1180	-10.6733	32.9093	1.6667	0.6667	31.4083	6.7842	56.0325	0.0000	0.0000	0.0000	0.0000	0.0000	1.6667	0.6667	15.0967	3.2609	26.9325
D1e2	6	low		0.6667	0.2108	1.7185	0.6509	2.7939	0.5000	0.2236	3.9360	0.4859	7.3861	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	9.0580	9.0580	9.0580
H1bv1	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
