# Reference:River Valleys Shaped the Maternal Genetic Landscape of Han Chinese
Haplogroup	N		Coding Region (Soares et al. 2009)			Complete Genome (Soares et al. 2009)			Synonymous Positions (Soares et al. 2009)			Bayesian	Average	Period
			Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)		
Coalescent ages based on all publised whole mtDNA sequences														
D4i	41		5.94(1.97;9.91)	1.68(0.57)		10.91 (5.77; 16.05)	4.22(1.01)		4.04 (1.29; 6.78)	0.51(0.18)		15.99 (8.34; 26.60)	9.22 	5-11.5 kya
D4i2	21		0.67(0.01;1.33)	0.19(0.1)		7.51 (-0.13; 15.15)	2.9(1.51)		0.75 (-0.29; 1.79)	0.1(0.07)		2.81 (0.25; 7.87)	2.94 	<2 kya
D4j	192		14.18(9.34;19.01)	4.02(0.7)		14.92 (10.99; 18.85)	5.77(0.78)		17.07 (9.78; 24.36)	2.17(0.47)		23.70 (12.90; 41.25)	17.47 	11.5-19.5 kya
D4j1	66		21.55(9.87;33.24)	6.11(1.69)		20.52 (11.07; 29.97)	7.94(1.86)		27.46 (7.24; 47.68)	3.48(1.31)		38.86 (24.73; 54.65)	27.10 	19.5 kya
D4j1a	49		11.74(2.02;21.46)	3.33(1.41)		11.13 (3.81; 18.46)	4.31(1.45)		14.31 (-1.22; 29.85)	1.82(1.01)		13.68 (7.18; 23.18)	12.72 	11.5-19.5 kya
D4j1a1	47		4.88(2.26;7.5)	1.38(0.38)		6.11 (3.48; 8.73)	2.36(0.52)		6.37 (1.56; 11.18)	0.81(0.31)		11.82 (5.82; 20.15)	7.30 	5-11.5 kya
D4j1a1a	9		4.71(-1.73;11.14)	1.33(0.93)		4.88 (-0.18; 9.95)	1.89(1)		3.5 (-0.7; 7.71)	0.44(0.27)		3.75 (0.38; 10.42)	4.21 	2-5 kya
D4j1a1b	10		3.53(-0.95;8.01)	1(0.65)		4.91 (-0.71; 10.53)	1.9(1.11)		4.73 (-4.54; 13.99)	0.6(0.6)		4.79 (0.87; 11.62)	4.49 	5-11.5 kya
D4j1b	13		14.39(9.43;19.36)	4.08(0.72)		14.52 (10.23; 18.8)	5.62(0.85)		13.34 (6.41; 20.26)	1.69(0.45)		20.07 (10.67; 40.00)	15.58 	11.5-19.5 kya
D4j10	8		2.21(-0.66;5.07)	0.62(0.41)		1.62 (-0.48; 3.72)	0.62(0.41)		2.96 (-2.84; 8.75)	0.37(0.37)		2.40 (0.03; 7.86)	2.30 	2-5 kya
D4j12	6		5.29(-1.13;11.72)	1.5(0.93)		3.88 (-0.82; 8.58)	1.5(0.93)		7.88 (-5.25; 21.01)	1(0.85)		5.89 (1.12; 14.23)	5.74 	5-11.5 kya
D4j15	4		7.06(0.59;13.53)	2(0.94)		10.34 (3.4; 17.28)	4(1.37)		15.76 (1.31; 30.21)	2(0.94)		17.58 (7.47; 31.38)	12.69 	11.5-19.5 kya
D4j4	10		1.41(-0.78;3.6)	0.4(0.32)		3.1 (-0.48; 6.68)	1.2(0.71)		3.15 (-1.73; 8.04)	0.4(0.32)		2.41 (0.09; 7.95)	2.52 	2-5 kya
D4j4a	6		0.59(-0.56;1.74)	0.17(0.17)		1.29 (-0.6; 3.18)	0.5(0.37)		1.31 (-1.26; 3.89)	0.17(0.17)		1.04 (0.88; 5.69)	1.06 	<2 kya
D4j8	15		3.29(0.94;5.65)	0.93(0.34)		4.31 (2.04; 6.57)	1.67(0.45)		4.73 (0.74; 8.72)	0.6(0.26)		10.49 (3.99; 19.95)	5.71 	5-11.5 kya
D4j9	9		2.35(0.18;4.53)	0.67(0.31)		4.88 (0.71; 9.06)	1.89(0.82)		0.88 (-0.84; 2.59)	0.11(0.11)		0.87 (0.00; 4.95)	2.25 	2-5 kya
D4j11	3		4.71(-0.94;10.36)	1.33(0.82)		5.17 (0.39; 9.95)	2(0.94)		10.51 (-2.1; 23.12)	1.33(0.82)		5.77 (0.77; 15.42)	6.54 	5-11.5 kya
D4j3	12		11.37(4.63;18.12)	3.22(0.97)		11.2 (5.71; 16.69)	4.33(1.08)		10.51 (3.23; 17.79)	1.33(0.47)		16.44 (7.81; 28.42)	12.38 	5-11.5 kya
D4j3a	6		8.82(2.2;15.45)	2.5(0.96)		9.05 (3.26; 14.84)	3.5(1.14)		10.51 (0.88; 20.14)	1.33(0.62)		9.02 (2.49; 18.35)	9.35 	5-11.5 kya
D4j13	6		0(0;0)	0(0)		0.86 (-0.33; 2.06)	0.33(0.24)		0 (0; 0)	0(0)		0.00 (0.00; 0.00)	0.22 	<2 kya
D4j5	9		4.71(-0.39;9.81)	1.33(0.74)		5.46 (0.65; 10.27)	2.11(0.95)		1.75 (-0.68; 4.18)	0.22(0.16)		7.98 (2.31; 17.08)	4.98 	5-11.5 kya
D4j2	4		5.29(-0.7;11.29)	1.5(0.87)		5.17 (0.43; 9.91)	2(0.94)		11.82 (-1.56; 25.2)	1.5(0.87)		6.27 (1.24; 14.90)	7.14 	5-11.5 kya
D4j2a	3		3.53(-0.46;7.52)	1(0.58)		3.45 (0.07; 6.82)	1.33(0.67)		7.88 (-1.04; 16.8)	1(0.58)		5.60 (0.71; 14.48)	5.12 	5-11.5 kya
D4j7	3		3.53(-1.63;8.69)	1(0.75)		6.03 (0.43; 11.63)	2.33(1.11)		5.25 (-5.04; 15.55)	0.67(0.67)		4.85 (0.63; 12.90)	4.92 	5-11.5 kya
D4l	38		6.5(1.85;11.16)	1.84(0.67)		14.01 (5.81; 22.22)	5.42(1.62)		4.98 (0.56; 9.39)	0.63(0.29)		11.89 (5.29; 20.30)	9.35 	5-11.5 kya
D4l1	7		8.57(1.24;15.9)	2.43(1.06)		10.34 (3.95; 16.73)	4(1.26)		7.88 (-5.54; 21.3)	1(0.87)		7.92 (1.97; 17.16)	8.68 	5-11.5 kya
D4l1a	4		4.41(-1.32;10.15)	1.25(0.83)		5.82 (0.91; 10.72)	2.25(0.97)		1.97 (-1.89; 5.83)	0.25(0.25)		2.97 (0.10; 9.54)	3.79 	2-5 kya
D4l2	31		5.24(0;10.47)	1.48(0.76)		6.5 (1.95; 11.06)	2.52(0.9)		4.32 (-0.16; 8.81)	0.55(0.29)		9.65 (3.94; 18.04)	6.43 	5-11.5 kya
D4l2a	21		3.19(-0.12;6.5)	0.9(0.48)		5.54 (1.22; 9.86)	2.14(0.85)		4.88 (-1.49; 11.25)	0.62(0.41)		5.25 (1.14; 11.80)	4.72 	5-11.5 kya
