# Reference:River Valleys Shaped the Maternal Genetic Landscape of Han Chinese
Haplogroup	N		Coding Region (Soares et al. 2009)			Complete Genome (Soares et al. 2009)			Synonymous Positions (Soares et al. 2009)			Bayesian	Average	Period
			Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)		
Coalescent ages based on all publised whole mtDNA sequences														
B4a1a1a5	5		2.12(-2.03;6.27)	0.6(0.6)		2.07 (-1.14; 5.27)	0.8(0.63)		4.73 (-4.54; 13.99)	0.6(0.6)		1.11 (0.00; 6.20)	2.51 	2-5 kya
B4a1a1a6	4		1.76(-0.68;4.21)	0.5(0.35)		1.29 (-0.5; 3.08)	0.5(0.35)		1.97 (-1.89; 5.83)	0.25(0.25)		3.08 (0.02; 9.85)	2.03 	2-5 kya
B4a1a1a7	10		0.35(-0.34;1.04)	0.1(0.1)		2.58 (-2; 7.17)	1(0.91)		0 (0; 0)	0(0)		0.76 (0.00; 4.46)	0.92 	<2 kya
B4a1a1a8	11		4.81(-2.27;11.9)	1.36(1.02)		6.11 (-1.14; 13.36)	2.36(1.43)		7.88 (-7.56; 23.32)	1(1)		2.07 (0.00; 6.96)	5.22 	5-11.5 kya
B4a1a1a9	6		0.59(-0.56;1.74)	0.17(0.17)		0.86 (-0.33; 2.06)	0.33(0.24)		1.31 (-1.26; 3.89)	0.17(0.17)		1.00 (0.00; 5.73)	0.94 	<2 kya
B4a1a1b	592		1.17(0.94;1.4)	0.33(0.03)		1.75 (1.33; 2.18)	0.68(0.08)		1.13 (0.82; 1.44)	0.14(0.02)		19.39 (12.97; 26.47)	5.86 	5-11.5 kya
B4a1a1c	15		1.18(0.15;2.21)	0.33(0.15)		1.38 (0.42; 2.33)	0.53(0.19)		0 (0; 0)	0(0)		0.72 (0.00; 3.99)	0.82 	<2 kya
B4a1a1d	8		2.21(0.27;4.14)	0.62(0.28)		2.58 (0.79; 4.38)	1(0.35)		3.94 (0.08; 7.8)	0.5(0.25)		5.95 (1.40; 13.32)	3.67 	2-5 kya
B4a1a1e	9		3.14(-1.72;8)	0.89(0.7)		2.87 (-0.78; 6.52)	1.11(0.72)		0 (0; 0)	0(0)		2.42 (0.06; 7.87)	2.11 	2-5 kya
B4a1a1f	5		2.82(-0.57;6.21)	0.8(0.49)		4.14 (0.93; 7.34)	1.6(0.63)		1.58 (-1.51; 4.66)	0.2(0.2)		2.70 (0.07; 8.59)	2.81 	2-5 kya
B4a1a1g	12		2.94(0.78;5.1)	0.83(0.31)		4.52 (2.1; 6.95)	1.75(0.48)		5.25 (0.79; 9.71)	0.67(0.29)		9.32 (2.82; 18.78)	5.51 	5-11.5 kya
B4a1a1h	22		0.16(-0.15;0.47)	0.05(0.05)		0.82 (0.13; 1.51)	0.32(0.14)		0.36 (-0.34; 1.06)	0.05(0.05)		0.71 (0.00; 4.01)	0.51 	<2 kya
B4a1a1i	6		0(0;0)	0(0)		4.31 (-0.62; 9.23)	1.67(0.97)		0 (0; 0)	0(0)		0.00 (0.00; 0.00)	1.08 	<2 kya
B4a1a1j	5		2.12(-0.98;5.21)	0.6(0.45)		4.14 (0.08; 8.19)	1.6(0.8)		4.73 (-2.18; 11.64)	0.6(0.45)		4.56 (0.49; 11.98)	3.89 	5-11.5 kya
B4a1a1k	22		2.73(-0.34;5.79)	0.77(0.44)		4.7 (0.96; 8.44)	1.82(0.74)		1.07 (-0.5; 2.64)	0.14(0.1)		2.94 (0.35; 7.99)	2.86 	2-5 kya
B4a1a1m	84		1.01(0.33;1.69)	0.29(0.1)		1.63 (0.76; 2.5)	0.63(0.17)		0.84 (-0.33; 2.02)	0.11(0.08)		6.50 (2.31; 12.85)	2.50 	5-11.5 kya
B4a1a1n	4		3.53(-1.94;9)	1(0.79)		2.58 (-1.42; 6.59)	1(0.79)		7.88 (-4.33; 20.09)	1(0.79)		6.25 (1.34; 14.86)	5.06 	5-11.5 kya
B4a1a1p	3		1.18(-1.13;3.48)	0.33(0.33)		3.45 (-0.69; 7.58)	1.33(0.82)		2.63 (-2.52; 7.77)	0.33(0.33)		1.29 (0.00; 7.11)	2.14 	2-5 kya
B4a1a1q	3		3.53(-0.46;7.52)	1(0.58)		4.31 (-0.16; 8.78)	1.67(0.88)		0 (0; 0)	0(0)		3.26 (0.14; 10.30)	2.78 	2-5 kya
B4a1a1x	6		2.35(-0.47;5.18)	0.67(0.41)		5.17 (0.1; 10.24)	2(1)		3.94 (-1.82; 9.7)	0.5(0.37)		2.85 (0.09; 9.13)	3.58 	2-5 kya
B4a1a1y	6		0.59(-0.56;1.74)	0.17(0.17)		3.02 (-2.12; 8.15)	1.17(1.01)		1.31 (-1.26; 3.89)	0.17(0.17)		1.00 (0.00; 5.52)	1.48 	<2 kya
B4a1a3	20		8.65(0.75;16.54)	2.45(1.14)		12.93 (4.5; 21.35)	5(1.66)		10.64 (-0.03; 21.31)	1.35(0.69)		13.44 (5.97; 24.30)	11.42 	5-11.5 kya
B4a1a4	5		0(0;0)	0(0)		1.55 (-0.71; 3.82)	0.6(0.45)		0 (0; 0)	0(0)		0.00 (0.00; 0.00)	0.39 	<2 kya
B4a1a5	7		7.56(3.03;12.09)	2.14(0.65)		7.39 (3.56; 11.22)	2.86(0.76)		9.01 (2.03; 15.98)	1.14(0.45)		11.75 (4.69; 22.12)	8.93 	5-11.5 kya
B4a1a6	13		2.99(0.12;5.85)	0.85(0.41)		4.37 (1.26; 7.49)	1.69(0.62)		6.06 (-0.23; 12.35)	0.77(0.41)		6.02 (1.31; 12.38)	4.86 	2-5 kya
B4a1a6a	4		4.41(-1.32;10.15)	1.25(0.83)		3.23 (-0.97; 7.43)	1.25(0.83)		7.88 (-4.33; 20.09)	1(0.79)		2.96 (0.05; 9.54)	4.62 	2-5 kya
B4a1c	48		11.79(7.07;16.51)	3.34(0.68)		16.85 (11.3; 22.4)	6.52(1.1)		12.77 (7.34; 18.2)	1.62(0.35)		36.38 (21.91; 54.09)	19.45 	19.5 kya
B4a1c1a	6		4.12(0.29;7.94)	1.17(0.55)		8.62 (3.69; 13.54)	3.33(0.97)		3.94 (-1.82; 9.7)	0.5(0.37)		4.58 (0.63; 12.30)	5.32 	5-11.5 kya
B4a1c2	3		3.53(-0.46;7.52)	1(0.58)		2.58 (-0.34; 5.51)	1(0.58)		0 (0; 0)	0(0)		1.23 (0.00; 6.70)	1.84 	2-5 kya
B4a1c3	8		22.5(9.25;35.76)	6.37(1.92)		20.03 (9.51; 30.56)	7.75(2.08)		25.61 (4.46; 46.76)	3.25(1.37)		34.65 (20.75; 53.11)	25.70 	19.5 kya
B4a1c3a	6		2.35(0.05;4.66)	0.67(0.33)		3.02 (0.78; 5.25)	1.17(0.44)		2.63 (-1.01; 6.27)	0.33(0.24)		3.15 (0.67; 12.66)	2.79 	2-5 kya
B4a2	50		11.79(3.98;19.6)	3.34(1.13)		16.23 (8.38; 24.09)	6.28(1.55)		20.8 (4; 37.61)	2.64(1.09)		17.88 (9.44; 28.65)	16.68 	11.5-19.5 kya
B4a2a	42		8.4(2.42;14.39)	2.38(0.86)		11.57 (5.79; 17.35)	4.48(1.14)		13.32 (1.11; 25.53)	1.69(0.79)		14.22 (7.26; 25.23)	11.88 	5-11.5 kya
B4a2b1	8		7.5(1.83;13.17)	2.12(0.82)		8.4 (3.58; 13.22)	3.25(0.95)		10.83 (0.44; 21.23)	1.37(0.67)		8.92 (2.51; 18.39)	8.91 	5-11.5 kya
B4a2b1a	3		1.18(-1.13;3.48)	0.33(0.33)		3.45 (-0.69; 7.58)	1.33(0.82)		2.63 (-2.52; 7.77)	0.33(0.33)		1.25 (0.00; 6.92)	2.13 	2-5 kya
B4a4	11		11.87(3.36;20.38)	3.36(1.23)		14.1 (6.76; 21.44)	5.45(1.45)		13.61 (4.62; 22.6)	1.73(0.58)		15.38 (6.95; 28.07)	13.74 	11.5-19.5 kya
B4b1	194		19.95(9.15;30.75)	5.65(1.56)		22.69 (13.39; 32)	8.78(1.84)		33.3 (9.69; 56.91)	4.23(1.53)		36.68 (25.54; 50.79)	28.16 	19.5 kya
B4b1a	185		13.03(7.22;18.84)	3.69(0.84)		17.48 (10.79; 24.17)	6.76(1.32)		18.15 (6.24; 30.05)	2.3(0.77)		34.67 (22.71; 49.04)	20.83 	19.5 kya
B4b1a1	29		4.26(1.77;6.75)	1.21(0.36)		4.9 (2.83; 6.98)	1.9(0.41)		3.26 (1.27; 5.25)	0.41(0.13)		15.62 (7.47; 26.74)	7.01 	5-11.5 kya
B4b1a1a	9		2.35(0.47;4.24)	0.67(0.27)		3.16 (1.29; 5.03)	1.22(0.37)		0.88 (-0.84; 2.59)	0.11(0.11)		4.93 (0.92; 11.82)	2.83 	2-5 kya
B4b1a1c	3		2.35(-0.91;5.61)	0.67(0.47)		3.45 (0.07; 6.82)	1.33(0.67)		0 (0; 0)	0(0)		3.40 (0.08; 10.50)	2.30 	2-5 kya
B4b1a2	129		8.48(5.44;11.52)	2.4(0.44)		10.4 (7.6; 13.2)	4.02(0.55)		10.02 (5.44; 14.6)	1.27(0.3)		12.12 (4.33; 29.59)	10.26 	5-11.5 kya
B4b1a2a	29		9.23(0.93;17.54)	2.62(1.2)		13.52 (4.97; 22.07)	5.23(1.69)		16.37 (-1.96; 34.69)	2.08(1.19)		14.36 (7.28; 24.83)	13.37 	11.5-19.5 kya
B4b1a2b	5		1.41(-0.54;3.37)	0.4(0.28)		2.07 (0.04; 4.09)	0.8(0.4)		1.58 (-1.51; 4.66)	0.2(0.2)		9.89 (3.76; 18.88)	3.74 	2-5 kya
B4b1a2c	6		3.53(-1.63;8.69)	1(0.75)		3.02 (-0.85; 6.89)	1.17(0.76)		5.25 (-5.04; 15.55)	0.67(0.67)		1.03 (0.00; 5.67)	3.21 	2-5 kya
B4b1a2d	4		0.88(-0.85;2.61)	0.25(0.25)		0.65 (-0.62; 1.91)	0.25(0.25)		1.97 (-1.89; 5.83)	0.25(0.25)		1.17 (0.00; 6.30)	1.17 	<2 kya
B4b1a2e	6		7.06(1.18;12.94)	2(0.85)		6.89 (1.83; 11.96)	2.67(1)		11.82 (-0.53; 24.17)	1.5(0.8)		8.12 91.87; 17.40)	8.59 	5-11.5 kya
B4b1a3	16		6.18(0.19;12.17)	1.75(0.87)		9.69 (2.35; 17.04)	3.75(1.45)		10.34 (-2.72; 23.4)	1.31(0.85)		10.70 (4.00; 20.620	8.74 	5-11.5 kya
B4b1a3a	13		2.44(0.38;4.51)	0.69(0.3)		2.78 (0.96; 4.61)	1.08(0.36)		4.24 (-0.04; 8.53)	0.54(0.28)		4.79 (0.83; 11.55)	3.56 	2-5 kya
B4b1b'c	350		19.41(9.04;29.79)	5.5(1.5)		23.91 (14.35; 33.47)	9.25(1.89)		21.67 (5.75; 37.59)	2.75(1.03)		37.42 (22.96; 54.33)	25.60 	19.5 kya
B4b'd'e'j	212		27.33(13.95;40.7)	7.74(1.93)		33.39 (20.76; 46.01)	12.92(2.49)		47.83 (18.36; 77.31)	6.07(1.91)		53.13 (39.69; 69.68)	40.42 	19.5 kya
B4c	151		23.25(13.66;32.85)	6.59(1.39)		31.57 (21.86; 41.28)	12.21(1.92)		25.32 (16.2; 34.44)	3.21(0.59)		67.60 (44.46; 94.27)	36.94 	19.5 kya
B4c1	125		20.88(12;29.76)	5.91(1.28)		30.4 (20.21; 40.59)	11.76(2.01)		24.01 (14.5; 33.51)	3.05(0.62)		66.28 (42.98; 91.95)	35.39 	19.5 kya
B4c1a	31		8.57(3.38;13.77)	2.43(0.75)		12.46 (6.8; 18.13)	4.82(1.12)		14.07 (3.15; 24.99)	1.79(0.71)		26.09 (14.15; 42.75)	15.30 	11.5-19.5 kya
B4c1a1	18		7.26(3.55;10.96)	2.06(0.54)		10.05 (5.99; 14.11)	3.89(0.8)		11.38 (4.63; 18.14)	1.44(0.44)		13.23 (9.65; 27.43)	10.48 	5-11.5 kya
B4c1a2	9		5.1(1.26;8.94)	1.44(0.56)		5.74 (2.01; 9.48)	2.22(0.74)		5.25 (1.05; 9.46)	0.67(0.27)		15.73 (5.78; 29.35)	7.96 	5-11.5 kya
B4c1a2a	4		1.76(-0.68;4.21)	0.5(0.35)		2.58 (0.05; 5.12)	1(0.5)		1.97 (-1.89; 5.83)	0.25(0.25)		0.00 (0.00; 0.00)	1.58 	<2 kya
B4c1a'b	118		17.59(11.1;24.08)	4.98(0.94)		28.13 (18.48; 37.79)	10.88(1.91)		23.77 (13.76; 33.79)	3.02(0.65)		65.60 (44.35; 93.02)	33.77 	19.5 kya
B4c1b	91		19.26(11.21;27.31)	5.46(1.16)		24.36 (15.63; 33.1)	9.42(1.72)		24.33 (12.6; 36.05)	3.09(0.76)		64.84 (44.20; 90.93)	33.20 	19.5 kya
B4c1b1	4		7.06(-0.68;14.8)	2(1.12)		8.4 (1.35; 15.45)	3.25(1.39)		21.67 (0.88; 42.46)	2.75(1.35)		10.25 (2.93; 21.15)	11.85 	5-11.5 kya
B4c1b1a	3		2.35(-0.91;5.61)	0.67(0.47)		2.58 (-0.34; 5.51)	1(0.58)		5.25 (-2.03; 12.53)	0.67(0.47)		5.41 (0.47; 13.89)	3.90 	2-5 kya
B4c1b2	77		15.98(9.6;22.35)	4.53(0.92)		19.55 (12.29; 26.81)	7.56(1.43)		24.85 (11.17; 38.53)	3.15(0.89)		63.71 (42.71; 88.26)	31.02 	19.5 kya
B4c1b2a	4		17.65(7.56;27.74)	5(1.46)		20.03 (10.47; 29.6)	7.75(1.89)		29.55 (8.76; 50.34)	3.75(1.35)		25.81 (16.01; 39.03)	23.26 	19.5 kya
B4c1b2a2	4		14.12(6.78;21.46)	4(1.06)		14.86 (8.53; 21.2)	5.75(1.25)		21.67 (7.75; 35.59)	2.75(0.9)		23.19 (13.48; 36.57)	18.46 	19.5 kya
B4c1b2c	13		16.64(11.51;21.78)	4.71(0.74)		21.79 (15.93; 27.65)	8.43(1.16)		20.26 (12.62; 27.91)	2.57(0.49)		56.66 (36.49; 80.39)	28.84 	19.5 kya
B4c1c	9		3.53(1.22;5.84)	1(0.33)		10.63 (4.54; 16.72)	4.11(1.2)		3.5 (0.07; 6.93)	0.44(0.22)		9.79 (3.14; 19.84)	6.86 	5-11.5 kya
B4c1c1	5		1.41(-0.54;3.37)	0.4(0.28)		5.17 (1.38; 8.96)	2(0.75)		0 (0; 0)	0(0)		0.98 (0.00; 5.39)	1.89 	2-5 kya
B4c2	26		6.92(3.88;9.97)	1.96(0.44)		9.05 (5.94; 12.16)	3.5(0.61)		8.18 (4.02; 12.34)	1.04(0.27)		14.79 (4.17; 28.80)	9.74 	5-11.5 kya
B4c2a	3		5.88(-0.22;11.99)	1.67(0.88)		7.75 (2.15; 13.36)	3(1.11)		5.25 (-2.03; 12.53)	0.67(0.47)		8.01 (1.78; 18.45)	6.72 	5-11.5 kya
B4d	10		22.14(11.09;33.2)	6.27(1.6)		31.49 (19.86; 43.12)	12.18(2.3)		20.77 (6.66; 34.89)	2.64(0.91)		31.73 (20.00; 45.74)	26.53 	19.5 kya
B4d1'2'3	9		16.87(6.08;27.66)	4.78(1.56)		29.58 (16.78; 42.38)	11.44(2.53)		17.51 (1.78; 33.24)	2.22(1.02)		28.39 (17.52; 41.25)	23.09 	11.5-19.5 kya
B4d3a	7		7.56(1.08;14.05)	2.14(0.94)		12.93 (5.23; 20.62)	5(1.52)		9.01 (-3.08; 21.09)	1.14(0.78)		8.98 (2.21; 19.17)	9.62 	5-11.5 kya
B4d3a1	5		2.82(-0.57;6.21)	0.8(0.49)		12.41 (3.57; 21.24)	4.8(1.74)		1.58 (-1.51; 4.66)	0.2(0.2)		1.07 (0.00; 5.80)	4.47 	2-5 kya
B4e	5		19.77(7.7;31.83)	5.6(1.74)		18.61 (8.68; 28.54)	7.2(1.96)		20.49 (0.23; 40.74)	2.6(1.31)		25.70 (14.39; 40.11)	21.14 	19.5 kya
B4f	5		14.83(6.88;22.78)	4.2(1.15)		18.09 (9.56; 26.63)	7(1.69)		11.03 (2.86; 19.2)	1.4(0.53)		18.19 (8.04; 31.70)	15.54 	11.5-19.5 kya
B4f1	3		11.77(2.54;20.99)	3.33(1.33)		13.79 (3.94; 23.63)	5.33(1.94)		7.88 (-1.04; 16.8)	1(0.58)		10.18 (2.71; 21.65)	10.91 	5-11.5 kya
B4g	17		17.23(8.52;25.95)	4.88(1.26)		20.07 (12.64; 27.5)	7.76(1.47)		31.52 (13.76; 49.28)	4(1.15)		33.35 (20.30; 49.15)	25.54 	19.5 kya
B4g1	10		15.88(5.41;26.36)	4.5(1.51)		16.03 (7.86; 24.2)	6.2(1.61)		29.94 (7.99; 51.9)	3.8(1.42)		23.79 (12.27; 39.14)	21.41 	19.5 kya
B4g1a	9		8.63(2.58;14.68)	2.44(0.87)		10.05 (4.74; 15.36)	3.89(1.05)		14.01 (3.71; 24.31)	1.78(0.67)		16.49 (7.58; 28.35)	12.30 	11.5-19.5 kya
B4i1	3		3.53(-3.39;10.45)	1(1)		5.17 (-2; 12.34)	2(1.41)		0 (0; 0)	0(0)		0.00 (0.00; 0.00)	2.18 	2-5 kya
Coalescent ages based on all published whole mtDNA sequences of Han Chinese.														
D4	80		19.77(15.13;24.4)	5.6(0.67)		24.33 (20; 28.66)	9.41(0.86)		27.68 (19.26; 36.1)	3.51(0.55)		18.03 (36.61; 61.51)	22.45 	19.5 kya
D4b	20		21(12.62;29.38)	5.95(1.21)		27.14 (18.29; 36)	10.5(1.75)		39.01 (18.91; 59.1)	4.95(1.3)		43.02 (29.60; 58.58)	32.54 	19.5 kya
D4b1	6		21.18(11.95;30.41)	6(1.33)		21.97 (14.28; 29.67)	8.5(1.52)		32.83 (16.35; 49.32)	4.17(1.07)		34.44 (20.74; 50.31)	27.61 	19.5 kya
D4b1a	4		21.18(10.52;31.84)	6(1.54)		19.39 (10.99; 27.79)	7.5(1.66)		39.4 (16.89; 61.91)	5(1.46)		34.33 (19.41; 52.81)	28.58 	19.5 kya
D4b1a2	3		12.94(4.63;21.26)	3.67(1.2)		12.06 (5.31; 18.82)	4.67(1.33)		21.01 (4.73; 37.29)	2.67(1.05)		20.29 (8.80; 35.39)	16.58 	11.5-19.5 kya
D4b2	14		12.86(5.55;20.17)	3.64(1.06)		17.17 (9.87; 24.47)	6.64(1.44)		19.14 (4.67; 33.61)	2.43(0.94)		23.86 (14.26; 36.75)	18.26 	11.5-19.5 kya
D4b2b	12		10.88(5.96;15.81)	3.08(0.71)		12.93 (8.5; 17.35)	5(0.87)		13.79 (7.1; 20.48)	1.75(0.43)		9.66 (13.36; 35.69)	11.82 	5-11.5 kya
D4b2b2	6		7.06(2.17;11.95)	2(0.71)		11.63 (5.84; 17.42)	4.5(1.14)		13.13 (2.84; 23.43)	1.67(0.67)		12.51 (6.16; 26.26)	11.08 	5-11.5 kya
D4b2b2b	3		3.53(-0.46;7.52)	1(0.58)		6.89 (2.12; 11.67)	2.67(0.94)		5.25 (-2.03; 12.53)	0.67(0.47)		5.12 (0.57; 13.32)	5.20 	5-11.5 kya
D4e	10		15.88(6.63;25.14)	4.5(1.34)		20.16 (12.31; 28.01)	7.8(1.55)		21.28 (4.15; 38.41)	2.7(1.11)		21.71 (11.05; 34.95)	19.76 	19.5 kya
D4e1'3	9		12.55(5.1;20)	3.56(1.08)		17.81 (10.87; 24.75)	6.89(1.37)		12.26 (1.68; 22.84)	1.56(0.68)		16.46 (7.62; 28.11)	14.77 	11.5-19.5 kya
D4e1	5		13.41(5;21.83)	3.8(1.22)		19.65 (11.54; 27.75)	7.6(1.6)		15.76 (1.27; 30.25)	2(0.94)		12.93 (4.65; 24.24)	15.44 	11.5-19.5 kya
D4e1a	3		7.06(1.41;12.71)	2(0.82)		13.79 (6.62; 20.95)	5.33(1.41)		10.51 (0.21; 20.8)	1.33(0.67)		9.76 (2.70; 21.07)	10.28 	5-11.5 kya
D4e3	4		0(0;0)	0(0)		3.88 (0.77; 6.98)	1.5(0.61)		0 (0; 0)	0(0)		1.19 (0.00; 6.44)	1.27 	<2 kya
D4g2	6		16.47(8.16;24.79)	4.67(1.2)		19.82 (12.17; 27.47)	7.67(1.51)		19.7 (6.32; 33.08)	2.5(0.87)		25.76 (14.20; 40.27)	20.44 	19.5 kya
D4g2a1	4		11.47(5.24;17.71)	3.25(0.9)		11.22 (8.28; 20.16)	4.34 (1.17)		13.79 (3.57; 24.01)	1.75(0.66)		10.47 (2.62; 25.27)	11.74 	5-11.5 kya
D4i	3		8.82(1.09;16.56)	2.5(1.12)		11.63 (4.03; 19.23)	4.5(1.5)		11.82 (-1.56; 25.2)	1.5(0.87)		13.88 (4.54; 26.46)	11.54 	5-11.5 kya
D4j	7		7.56(3.49;11.64)	2.14(0.59)		12.19 (7.12; 17.25)	4.71(1)		9.01 (2.77; 15.25)	1.14(0.4)		13.07 (6.89; 27.69)	10.46 	5-11.5 kya
D4j3	3		7.06(-1.41;15.53)	2(1.22)		6.46 (-0.24; 13.16)	2.5(1.32)		7.88 (-3.04; 18.8)	1(0.71)		17.09 (6.49; 30.96)	9.62 	5-11.5 kya
D4a	20		12.71(8.44;16.97)	3.6(0.62)		14.73 (10.83; 18.64)	5.7(0.77)		14.18 (8.1; 20.26)	1.8(0.39)		26.64 (16.45; 39.26)	17.07 	11.5-19.5 kya
D4a3	4		14.83(5.75;23.9)	4.2(1.31)		16.03 (7.98; 24.07)	6.2(1.59)		18.91 (4.42; 33.4)	2.4(0.94)		21.23 (10.79; 34.82)	17.75 	11.5-19.5 kya
D4a3b2	3		4.71(-0.94;10.36)	1.33(0.82)		6.89 (1.04; 12.74)	2.67(1.15)		10.51 (-2.1; 23.12)	1.33(0.82)		5.66 (0.53; 14.55)	6.94 	5-11.5 kya
B4	57		25.04(19.31;30.78)	7.09(0.83)		30.63 (24.98; 36.28)	11.85(1.12)		35.98 (25.5; 46.46)	4.57(0.68)		48.19 (36.78; 61.21)	34.96 	19.5 kya
B4b'd'e'j	12		26.47(16.26;36.69)	7.5(1.48)		33.39 (23.77; 43.01)	12.92(1.9)		38.74 (18.68; 58.81)	4.92(1.3)		40.29 (28.03; 55.35)	34.72 	19.5 kya
B4b1	8		20.3(11.06;29.53)	5.75(1.33)		23.91 (15.95; 31.87)	9.25(1.57)		29.55 (11.65; 47.45)	3.75(1.16)		32.63 (20.33; 47.79)	26.60 	19.5 kya
B4b1a	5		16.24(6.75;25.72)	4.6(1.37)		18.61 (10.01; 27.21)	7.2(1.7)		18.91 (3.78; 34.04)	2.4(0.98)		26.25 (13.74; 41.70)	20.00 	19.5 kya
B4b1a2	4		11.47(2.82;20.12)	3.25(1.25)		12.93 (5.76; 20.09)	5(1.41)		7.88 (0.16; 15.6)	1(0.5)		13.50 (7.77; 32.60)	11.45 	5-11.5 kya
B4b1a2a	3		4.71(0.09;9.32)	1.33(0.67)		9.48 (3.88; 15.08)	3.67(1.11)		5.25 (-2.03; 12.53)	0.67(0.47)		17.04 (6.87; 31.47)	9.12 	5-11.5 kya
B4d1	4		7.06(-1.41;15.53)	2(1.22)		16.8 (6.36; 27.25)	6.5(2.06)		23.64 (1.8; 45.48)	3(1.41)		14.83 (5.87; 26.52)	15.58 	11.5-19.5 kya
B4c	10		22.94(11.94;33.95)	6.5(1.59)		32.83 (22.36; 43.3)	12.7(2.07)		25.22 (14.29; 36.14)	3.2(0.71)		35.61 (22.59; 51.27)	29.15 	19.5 kya
B4c1	9		20(10.07;29.94)	5.67(1.44)		30.45 (20.16; 40.73)	11.78(2.03)		23.64 (12.13; 35.15)	3(0.75)		29.61 (18.49; 43.38)	25.93 	19.5 kya
B4c1a'b	9		16.47(9.34;23.6)	4.67(1.03)		27.86 (18.91; 36.81)	10.78(1.77)		23.64 (12.13; 35.15)	3(0.75)		29.45 (18.65; 42.70)	24.36 	19.5 kya
B4c1a	3		9.41(2.89;15.94)	2.67(0.94)		18.09 (10.36; 25.83)	7(1.53)		18.39 (4.77; 32.01)	2.33(0.88)		13.52 (7.02; 31.08)	14.85 	11.5-19.5 kya
B4c1b	6		18.24(8.66;27.82)	5.17(1.38)		23.7 (14.64; 32.75)	9.17(1.79)		22.33 (8.46; 36.19)	2.83(0.9)		26.70 (14.69; 40.75)	22.74 	19.5 kya
B4c1b2	5		15.53(6.78;24.28)	4.4(1.26)		18.61 (11.03; 26.19)	7.2(1.5)		23.64 (7.59; 39.69)	3(1.04)		21.74 (10.61; 34.81)	19.88 	19.5 kya
B4c1b2c	3		10.59(3.67;17.51)	3(1)		13.79 (7.03; 20.54)	5.33(1.33)		15.76 (3.15; 28.37)	2(0.82)		14.94 (5.85; 29.55)	13.77 	11.5-19.5 kya
B4a	16		16.55(10.7;22.4)	4.69(0.85)		20.52 (15.04; 25.99)	7.94(1.08)		19.7 (11.07; 28.33)	2.5(0.56)		30.88 (19.51; 45.16)	21.91 	19.5 kya
B4a1	6		12.94(4.79;21.1)	3.67(1.18)		18.09 (10.36; 25.83)	7(1.53)		10.51 (2.37; 18.65)	1.33(0.53)		15.45 (6.84; 26.37)	14.25 	11.5-19.5 kya
B4a1c	5		9.88(3.39;16.37)	2.8(0.94)		14.99 (7.76; 22.23)	5.8(1.43)		9.46 (0.72; 18.19)	1.2(0.57)		12.51 (4.79; 23.26)	11.71 	5-11.5 kya
B4a4	5		13.41(4.55;22.27)	3.8(1.28)		13.96 (6.31; 21.61)	5.4(1.51)		18.91 (7.35; 30.47)	2.4(0.75)		21.74 (10.43; 37.05)	17.01 	11.5-19.5 kya
B4g	4		15(6.71;23.3)	4.25(1.2)		18.74 (11.04; 26.45)	7.25(1.52)		19.7 (5.25; 34.15)	2.5(0.94)		19.86 (9.23; 34.26)	18.33 	11.5-19.5 kya
B4h	6		11.77(4.85;18.69)	3.33(1)		12.49 (6.46; 18.52)	4.83(1.19)		21.01 (6.91; 35.11)	2.67(0.91)		21.91 (11.59; 35.99)	16.80 	11.5-19.5 kya
B4h1	3		7.06(-1.57;15.69)	2(1.25)		6.89 (0.14; 13.65)	2.67(1.33)		15.76 (-3.5; 35.02)	2(1.25)		5.38 (0.68; 13.98)	8.77 	5-11.5 kya
B4i	3		14.12(2.14;26.1)	4(1.73)		12.93 (3.45; 22.4)	5(1.87)		23.64 (-0.78; 48.06)	3(1.58)		15.22 (6.19; 28.08)	16.48 	11.5-19.5 kya
B4k	3		1.18(-1.13;3.48)	0.33(0.33)		2.58 (-0.34; 5.51)	1(0.58)		2.63 (-2.52; 7.77)	0.33(0.33)		3.30 (0.08; 10.48)	2.42 	2-5 kya
M7	47		41.31(25.41;57.21)	11.7(2.3)		47.8 (33.86; 61.73)	18.49(2.75)		57.67 (28.76; 86.59)	7.32(1.87)		70.47 (51.71; 93.38)	54.31 	19.5 kya
M7b1a	30		13.77(6.54;21)	3.9(1.05)		20.25 (11.99; 28.51)	7.83(1.63)		11.82 (8.07; 15.57)	1.5(0.24)		33.16 (20.98; 48.23)	19.75 	19.5 kya
M7b1a1	29		9.74(6.98;12.5)	2.76(0.4)		14.71 (10.09; 19.33)	5.69(0.91)		10.87 (7.18; 14.56)	1.38(0.24)		12.63 (4.31; 26.02)	11.99 	5-11.5 kya
M7b1a1a	8		8.34(3.47;13.22)	2.36(0.7)		14.8 (8.37; 21.24)	5.73(1.27)		6.45 (2.24; 10.66)	0.82(0.27)		11.28 (4.53; 20.86)	10.22 	5-11.5 kya
M7b1a1a3	5		4.12(0.66;7.58)	1.17(0.5)		9.48 (3.27; 15.68)	3.67(1.22)		3.94 (-0.52; 8.4)	0.5(0.29)		4.43 (0.49; 11.52)	5.49 	5-11.5 kya
