# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
M7b1a1l2a	5.22  (0.39 , 10.19 )	3.21 (0.01, 6.48)
M7b1a1m	10.41  (3.62 , 17.46 )	9.00 (4.89, 13.21)
M7b1a1m1	2.59  (1.24 , 3.95 )	2.92 (0.93, 4.94)
M7b1a1n	4.16  (1.98 , 6.37 )	5.04 (1.14, 9.04)
M7b1a1o	12.86  (4.58 , 21.51 )	7.65 (3.13, 12.30)
M7b1a1o1	10.50  (3.81 , 17.46 )	6.89 (2.06, 11.87)
M7b1a1o1a	8.13  (2.81 , 13.61 )	5.90 (0.23, 11.79)
M7b1a1o1a1'2	6.25  (2.04 , 10.57 )	4.98 (1.63, 8.40)
M7b1a1o1a1	3.06  (0.94 , 5.21 )	3.32 (0.67, 6.02)
M7b1a1o1a2	4.46  (0.88 , 8.12 )	3.78 (0.90, 6.71)
M7b1a1o1a2a	4.55  (1.17 , 8.02 )	2.98 (0.33, 5.68)
M7b1a1p	2.90  (1.71 , 4.10 )	4.29 (2.17, 6.44)
M7b1a1p1	1.72  (0.00 , 4.13 )	1.40 (0.00, 3.95)
M7b1a1q	7.08  (0.35 , 14.10 )	7.24 (1.18, 13.53)
M7b1a1q1	2.30  (0.70 , 3.91 )	2.81 (0.00, 5.84)
M7b1a1r	9.25  (3.02 , 15.70 )	9.36 (0.67, 18.49)
M7b1a1r1	4.55  (0.00 , 9.29 )	5.27 (0.00, 13.13)
M7b1a1s	7.89  (2.55 , 13.41 )	9.24 (5.12, 13.45)
M7b1a1s1	4.16  (1.26 , 7.11 )	4.98 (0.64, 9.44)
M7b1a1t	2.06  (0.31 , 3.84 )	4.46 (0.00, 9.14)
M7b1a1u	6.55  (1.76 , 11.49 )	11.50 (2.15, 21.35)
M7b1a1u1	1.93  (0.00 , 4.16 )	3.38 (0.00, 7.91)
M7b1a1u2	5.22  (0.10 , 10.50 )	5.62 (0.00, 12.90)
M7b1a1v	1.79  (0.00 , 3.67 )	3.49 (0.00, 9.29)
M7b1a1v1	1.29  (0.00 , 3.09 )	1.62 (0.00, 5.53)
M7b1a1w	6.82  (0.89 , 12.96 )	7.24 (1.40, 13.29)
M7b1a1w1	5.22  (0.10 , 10.50 )	4.98 (0.00, 11.30)
M7b1a1x	3.98  (0.63 , 7.41 )	3.78 (1.23, 6.37)
M7b1a1x1	3.17  (1.12 , 5.24 )	2.81 (0.71, 4.94)
M7b1a1y	4.55  (0.00 , 9.29 )	4.87 (0.00, 11.07)
M7b1a1z	11.36  (6.31 , 16.55 )	9.30 (6.20, 12.45)
M7b1a1z1	8.79  (2.77 , 15.04 )	7.53 (0.04, 15.38)
M7b1a1z2	7.89  (2.98 , 12.95 )	7.42 (2.35, 12.65)
M7b1a1z2a	7.00  (0.57 , 13.68 )	5.33 (0.00, 11.55)
M7b1a1aa	1.84  (0.23 , 3.48 )	4.41 (0.00, 8.97)
M7b1a1ab	1.29  (0.00 , 3.09 )	1.96 (0.00, 4.64)
M7b1a1ac	2.26  (0.36 , 4.18 )	3.26 (0.00, 7.45)
M7b1a2	18.05  (8.19 , 28.40 )	14.75 (8.19, 21.54)
M7b1a2a	9.99  (5.52 , 14.56 )	9.59 (6.26, 12.99)
M7b1a2a1	7.50  (4.69 , 10.36 )	7.47 (4.75, 10.25)
M7b1a2a1a	6.55  (0.88 , 12.42 )	3.21 (0.00, 7.27)
M7b1a2a1a1	2.15  (0.00 , 5.00 )	1.01 (0.00, 2.88)
M7b1a2a1b	4.86  (0.00 , 10.17 )	5.21 (1.64, 8.87)
M7b1a2a1b1	2.40  (0.38 , 4.44 )	3.49 (0.29, 6.77)
M7b1a2a1c	1.93  (0.00 , 4.81 )	1.90 (0.00, 11.94)
M7b1a2a1d	2.59  (0.00 , 6.44 )	3.38 (0.00, 9.29)
M7b1a2a2	4.08  (1.07 , 7.15 )	4.58 (2.01, 7.19)
M7b1a2a3	9.70  (2.51 , 17.19 )	8.00 (3.92, 12.19)
M7b1a2b	7.89  (1.90 , 14.10 )	8.24 (0.71, 16.12)
M7b1a2b1	3.24  (0.00 , 6.67 )	3.32 (0.00, 6.82)
M7b1b	6.67  (3.54 , 9.86 )	7.12 (2.51, 11.88)
M7b1b1	8.79  (2.30 , 15.55 )	5.85 (1.60, 10.21)
M7b2	13.04  (4.52 , 21.98 )	20.99 (8.94, 33.74)
M7b2a	6.72  (1.89 , 11.69 )	5.27 (1.81, 8.81)
M7b2a1	1.72  (0.00 , 4.13 )	1.96 (0.00, 4.98)
M7c	25.44  (16.86 , 34.33 )	34.86 (23.05, 47.19)
M7c1	18.90  (14.30 , 23.60 )	22.12 (17.36, 26.99)
M7c1a	18.01  (14.02 , 22.08 )	20.74 (16.73, 24.83)
M7c1a1	15.23  (7.97 , 22.77 )	15.54 (8.49, 22.86)
M7c1a1a	10.29  (5.75 , 14.96 )	12.03 (6.14, 18.12)
M7c1a1a1	8.10  (4.78 , 11.49 )	9.12 (4.56, 13.81)
M7c1a1a1a	5.22  (1.03 , 9.52 )	5.90 (0.44, 11.56)
M7c1a1a1b	4.33  (0.00 , 8.96 )	5.44 (0.00, 11.78)
M7c1a1a1c	5.66  (0.75 , 10.73 )	6.14 (1.66, 10.74)
M7c1a1a1c1	2.59  (0.32 , 4.89 )	2.92 (0.00, 6.30)
M7c1a1b	5.79  (2.58 , 9.07 )	6.43 (1.06, 11.98)
M7c1a1b1	3.46  (0.00 , 7.71 )	2.70 (0.00, 11.84)
M7c1a1b2	4.59  (3.01 , 6.17 )	5.33 (3.08, 7.60)
