# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
D5a2a1d	8.72  (4.91 , 12.62 )	8.87 (5.26, 12.56)
D5a2a1d1	3.46  (0.00 , 7.71 )	2.94 (0.00, 11.54)
D5a2a1e	7.35  (3.46 , 11.34 )	7.85 (4.13, 11.64)
D5a2a1f	4.64  (1.75 , 7.58 )	4.18 (2.12, 6.28)
D5a2a1f1	2.75  (0.87 , 4.65 )	2.88 (1.07, 4.71)
D5a2a1f1a	1.29  (0.00 , 3.09 )	1.40 (0.00, 3.34)
D5a2a1f2	2.59  (0.00 , 5.57 )	2.39 (0.00, 5.81)
D5a2a1g	9.90  (5.58 , 14.33 )	9.06 (5.82, 12.37)
D5a2a1g1	5.88  (0.91 , 11.02 )	6.32 (0.36, 12.51)
D5a2a1h	8.52  (5.28 , 11.81 )	9.19 (6.19, 12.24)
D5a2a1h1	6.55  (2.07 , 11.15 )	6.57 (2.05, 11.23)
D5a2a1i	8.12  (5.64 , 10.64 )	8.68 (6.43, 10.95)
D5a2a1i1	1.29  (0.00 , 2.85 )	2.82 (0.00, 6.75)
D5a2a1i2	8.79  (1.86 , 16.02 )	6.19 (2.28, 10.21)
D5a2a1i3	1.72  (0.00 , 4.13 )	2.32 (0.00, 6.61)
D5a2a1i4	3.57  (0.00 , 7.84 )	4.25 (0.00, 10.23)
D5a2a1i5	3.46  (0.07 , 6.92 )	3.56 (0.00, 10.15)
D5a2a1i6	7.73  (2.99 , 12.62 )	7.85 (4.50, 11.26)
D5a2a1i6a	5.10  (0.30 , 10.04 )	5.88 (1.49, 10.39)
D5a2a1i6a1	2.46  (1.29 , 3.63 )	4.06 (1.15, 7.02)
D5a2a1i7	7.72  (4.44 , 11.07 )	7.46 (4.25, 10.74)
D5a2a1i7a	5.22  (1.58 , 8.94 )	5.25 (0.76, 9.87)
D5a2a1i8	6.55  (2.07 , 11.15 )	6.89 (3.32, 10.54)
D5a2a1i8a	1.29  (0.00 , 3.09 )	2.57 (0.00, 6.99)
D5a2a1i9	2.59  (0.05 , 5.16 )	2.63 (0.00, 6.31)
D5a2a1j	1.29  (0.00 , 3.09 )	2.08 (0.00, 5.12)
D5a2a1k	5.22  (1.03 , 9.52 )	5.44 (0.00, 12.36)
D5a2a1l	3.79  (1.16 , 6.48 )	5.19 (0.00, 11.07)
D5a2a1l1	2.59  (0.00 , 5.57 )	2.69 (0.00, 5.75)
D5a2a1m	10.61  (3.60 , 17.91 )	8.87 (1.97, 16.06)
D5a2a1n	7.89  (4.16 , 11.70 )	7.65 (4.07, 11.32)
D5a2a1n1	4.49  (1.44 , 7.61 )	4.00 (0.85, 7.21)
D5a2a1n1a	3.46  (0.07 , 6.92 )	2.69 (0.00, 5.63)
D5a2a1o-s	6.48  (2.56 , 10.48 )	8.68 (4.82, 12.62)
D5a2a1o	1.72  (0.00 , 4.13 )	1.89 (0.00, 4.57)
D5a2a1p	3.31  (1.97 , 4.67 )	5.25 (3.29, 7.23)
D5a2a1p1	2.59  (0.00 , 5.88 )	3.13 (0.00, 7.81)
D5a2a1p2	1.72  (0.00 , 4.13 )	1.95 (0.00, 6.23)
D5a2a1q	7.44  (2.19 , 12.87 )	6.57 (2.17, 11.10)
D5a2a1q1	8.57  (2.60 , 14.75 )	5.69 (1.55, 9.94)
D5a2a1r	4.16  (0.00 , 8.85 )	6.13 (1.74, 10.65)
D5a2a1s	2.59  (0.00 , 6.44 )	2.45 (0.00, 8.99)
D5a2a1t	9.25  (2.62 , 16.14 )	8.04 (0.00, 16.50)
D5a2a1u	7.59  (1.19 , 14.25 )	8.36 (3.53, 13.32)
D5a2a1u1	4.89  (0.06 , 9.86 )	6.00 (0.00, 13.21)
D5a2a1v	5.22  (1.16 , 9.38 )	6.07 (0.83, 11.48)
D5a2a1w	7.44  (2.33 , 12.72 )	6.76 (2.71, 10.92)
D5a2a1w1	7.00  (0.57 , 13.68 )	4.43 (0.56, 8.40)
D5a2a1x	8.57  (3.85 , 13.42 )	7.53 (3.46, 11.70)
D5a2a1y	1.29  (0.00 , 2.76 )	2.51 (0.00, 5.69)
D5a2a1z'aa	8.38  (4.00 , 12.88 )	8.61 (3.17, 14.23)
D5a2a1z	9.93  (3.37 , 16.74 )	7.46 (2.55, 12.53)
D5a2a1z1	7.00  (1.04 , 13.18 )	4.81 (0.57, 9.17)
D5a2a1aa	1.93  (0.00 , 4.81 )	1.95 (0.00, 5.00)
D5a2a2	9.93  (6.37 , 13.56 )	11.20 (8.16, 14.28)
D5a2a2a	6.40  (2.50 , 10.40 )	8.10 (2.56, 13.83)
D5a2a2a1	5.22  (0.43 , 10.15 )	6.00 (0.65, 11.54)
D5a2a2b	6.55  (2.78 , 10.40 )	6.64 (1.99, 11.42)
D5a2a2c	2.59  (0.00 , 5.57 )	2.82 (0.00, 7.37)
D5a2a2d	10.61  (5.39 , 15.99 )	9.77 (6.14, 13.48)
D5a2a2d1	4.55  (0.32 , 8.91 )	3.13 (0.00, 8.19)
D5a2a2e	6.10  (3.45 , 8.80 )	6.32 (2.28, 10.46)
D5a2a2e1	6.76  (3.04 , 10.56 )	6.32 (3.13, 9.57)
D5a2a2e1a	6.01  (2.25 , 9.86 )	5.00 (2.20, 7.85)
D5a2a2e1a1	5.22  (1.16 , 9.38 )	3.81 (1.03, 6.64)
D5a2a2e1a2	2.59  (0.00 , 6.24 )	2.57 (0.00, 5.87)
D5a2a2e1b	3.90  (0.29 , 7.58 )	3.93 (0.43, 7.52)
D5a2a3	2.85  (0.75 , 4.97 )	4.25 (0.00, 9.22)
D5a2a4	11.30  (5.52 , 17.26 )	10.94 (7.66, 14.28)
D5a2a5	4.33  (0.00 , 8.96 )	4.25 (0.02, 8.59)
D5a2a6	10.61  (3.41 , 18.11 )	8.23 (2.20, 14.48)
D5a2a6a	5.22  (0.39 , 10.19 )	4.37 (0.00, 12.27)
D5a2a8	10.44  (5.60 , 15.40 )	10.74 (6.10, 15.51)
D5a2a8a	7.40  (5.19 , 9.63 )	8.29 (5.19, 11.46)
D5a2a8a1	6.10  (2.88 , 9.40 )	6.89 (2.96, 10.92)
D5a2a8a3	9.93  (2.64 , 17.53 )	6.83 (2.65, 11.11)
D5a2a8a3a	6.10  (0.43 , 11.99 )	4.43 (0.21, 8.78)
D5a2a8a4	3.11  (0.00 , 6.70 )	3.07 (0.00, 6.38)
D5a2a8b	9.09  (4.54 , 13.78 )	8.93 (3.12, 14.95)
D5a2a8b1	7.89  (1.66 , 14.36 )	6.89 (1.15, 12.84)
D5a2a8b2	4.55  (0.00 , 9.65 )	4.50 (0.03, 9.10)
D5a2a8b2a	3.46  (0.00 , 7.71 )	2.76 (0.00, 6.31)
D5a2a9	2.06  (0.04 , 4.12 )	2.32 (0.00, 5.62)
D5a2a10	7.53  (3.50 , 11.67 )	8.61 (3.66, 13.71)
D5a2a10a	3.71  (0.00 , 7.65 )	5.12 (0.00, 11.26)
D5a2a10a2	1.29  (0.00 , 3.09 )	2.69 (0.00, 7.12)
D5a2a11	13.37  (6.47 , 20.53 )	9.84 (6.33, 13.41)
D5a2a12	9.70  (3.89 , 15.70 )	8.16 (2.62, 13.90)
D5a2a13	1.61  (0.20 , 3.04 )	2.51 (0.00, 6.31)
D5a2a14	3.46  (0.00 , 7.71 )	3.69 (0.00, 8.51)
D5a2b	6.10  (2.07 , 10.24 )	7.08 (0.00, 15.76)
D5a2c	7.89  (2.38 , 13.59 )	10.55 (4.55, 16.75)
D5a2c1	4.81  (0.95 , 8.77 )	7.21 (0.00, 15.89)
D5a2c2	4.33  (0.53 , 8.24 )	4.68 (0.21, 9.29)
D5a3	15.27  (9.79 , 20.91 )	17.21 (8.84, 25.94)
D5a3a	12.82  (8.44 , 17.29 )	13.16 (6.83, 19.71)
D5a3a1	11.23  (6.73 , 15.85 )	11.59 (5.43, 17.95)
D5a3a1a	7.16  (2.49 , 11.96 )	8.04 (2.74, 13.51)
D5a3a1a1	4.33  (1.38 , 7.35 )	5.00 (1.23, 8.85)
D5a3a1b	8.91  (4.91 , 13.00 )	8.93 (3.85, 14.17)
D5a3a2	1.29  (0.00 , 2.76 )	2.39 (0.00, 5.31)
D5a3a3	9.70  (2.51 , 17.19 )	9.13 (1.61, 16.98)
D5a3a4	11.53  (4.92 , 18.38 )	10.29 (4.18, 16.61)
D5a3a4a	2.59  (0.00 , 5.57 )	2.20 (0.00, 5.62)
D5a3b	7.89  (2.38 , 13.59 )	10.35 (2.54, 18.52)
D5a3b1	1.72  (0.00 , 4.13 )	2.39 (0.00, 6.92)
D5a3c	10.61  (5.01 , 16.39 )	13.95 (5.48, 22.81)
D5a3c1	5.22  (2.24 , 8.25 )	6.32 (1.44, 11.35)
D5a3c2	5.22  (0.10 , 10.50 )	4.50 (0.00, 10.49)
D5b	18.80  (13.44 , 24.29 )	18.56 (13.98, 23.24)
D5b1	16.52  (12.27 , 20.87 )	15.28 (10.89, 19.75)
D5b1a	7.35  (2.46 , 12.40 )	9.77 (0.00, 22.99)
D5b1a1	4.89  (2.27 , 7.54 )	6.07 (2.88, 9.32)
D5b1a1a	2.59  (0.51 , 4.69 )	4.50 (1.22, 7.84)
D5b1a2	1.29  (0.00 , 3.09 )	2.02 (0.00, 6.05)
D5b1b	10.93  (6.84 , 15.11 )	10.16 (7.77, 12.58)
D5b1b1	9.93  (2.75 , 17.41 )	8.61 (5.50, 11.78)
D5b1b1a	4.73  (2.35 , 7.16 )	5.69 (2.63, 8.81)
D5b1b2	9.51  (2.52 , 16.80 )	8.04 (4.32, 11.84)
D5b1b2a	4.49  (2.97 , 6.03 )	5.06 (3.35, 6.79)
D5b1b2a1	2.26  (0.36 , 4.18 )	2.51 (0.00, 5.44)
D5b1b2a2	2.59  (0.00 , 5.57 )	2.63 (0.00, 5.69)
D5b1b2a3	5.22  (1.03 , 9.52 )	3.87 (0.00, 7.95)
D5b1b2a4	0.86  (0.00 , 2.05 )	1.52 (0.00, 4.07)
D5b1b2a5	1.72  (0.13 , 3.32 )	2.69 (0.05, 5.38)
D5b1b2b	2.59  (0.05 , 5.16 )	4.12 (0.00, 8.58)
D5b1b3	14.07  (7.03 , 21.37 )	9.32 (6.69, 11.99)
D5b1b3a	8.57  (3.51 , 13.78 )	6.19 (2.16, 10.33)
D5b1b3b	5.88  (0.91 , 11.02 )	5.88 (1.13, 10.77)
D5b1b3b1	1.72  (0.00 , 4.13 )	2.02 (0.00, 4.81)
D5b1b4	1.47  (0.00 , 3.78 )	2.57 (0.00, 6.87)
D5b1b5	3.46  (0.07 , 6.92 )	3.44 (0.00, 7.01)
D5b1b6	5.51  (2.56 , 8.52 )	5.88 (1.73, 10.14)
D5b1b6a	4.89  (2.08 , 7.74 )	4.62 (1.35, 7.97)
D5b1b7	10.11  (4.73 , 15.66 )	7.91 (4.56, 11.32)
D5b1b7a	8.28  (3.01 , 13.71 )	6.70 (3.02, 10.47)
D5b1b7a1	5.22  (0.87 , 9.69 )	4.68 (0.93, 8.53)
D5b1b7a1a	3.46  (0.00 , 7.71 )	2.88 (0.00, 6.81)
D5b1b7b	5.88  (1.61 , 10.27 )	5.69 (1.07, 10.45)
D5b1c	21.30  (13.01 , 29.92 )	14.35 (9.99, 18.81)
D5b1c1	16.06  (8.40 , 24.04 )	11.72 (6.18, 17.43)
D5b1c1a'b'c	13.44  (7.79 , 19.27 )	10.94 (0.00, 23.29)
D5b1c1a	11.85  (6.55 , 17.32 )	10.16 (6.02, 14.39)
D5b1c1a1	9.82  (5.20 , 14.57 )	9.19 (5.20, 13.27)
D5b1c1a1a	5.22  (0.39 , 10.19 )	5.94 (0.59, 11.47)
D5b1c1a1b	3.90  (0.60 , 7.26 )	4.18 (0.00, 9.91)
D5b1c1a1c'd'e	7.35  (3.58 , 11.21 )	7.85 (2.07, 13.83)
D5b1c1a1c	1.14  (0.02 , 2.27 )	3.44 (0.00, 7.88)
D5b1c1a1d	2.15  (0.26 , 4.06 )	3.07 (0.00, 7.12)
D5b1c1a1e	7.55  (2.91 , 12.33 )	6.45 (2.41, 10.59)
D5b1c1a1e1	5.75  (1.26 , 10.36 )	4.93 (1.29, 8.66)
D5b1c1a1e1a	2.59  (0.00 , 5.57 )	2.63 (0.00, 6.43)
D5b1c1a1e1b	3.90  (0.00 , 8.42 )	3.19 (0.00, 6.51)
D5b1c1a2	6.74  (1.52 , 12.13 )	6.83 (2.78, 10.98)
D5b1c1a2a	3.46  (0.77 , 6.19 )	4.25 (0.74, 7.83)
D5b1c1b	2.40  (0.82 , 4.00 )	3.25 (0.36, 6.20)
D5b1c1c	9.25  (3.46 , 15.23 )	7.97 (0.00, 18.41)
D5b1c1d	3.90  (0.00 , 8.42 )	4.62 (0.00, 12.15)
D5b1c2	11.47  (5.01 , 18.17 )	11.33 (6.05, 16.76)
D5b1c2a	7.35  (2.71 , 12.13 )	8.23 (2.92, 13.70)
D5b1c2a1	4.33  (0.53 , 8.24 )	4.93 (0.34, 9.67)
D5b1c2b	6.67  (2.11 , 11.36 )	5.56 (1.66, 9.56)
D5b1c2b1	3.90  (0.01 , 7.88 )	3.62 (0.49, 6.82)
D5b1c2b1a	1.93  (0.00 , 4.16 )	2.14 (0.00, 4.69)
D5b1c3	10.81  (4.57 , 17.27 )	7.46 (3.76, 11.25)
D5b1c3a	1.55  (0.00 , 3.31 )	2.08 (0.00, 5.37)
D5b1c3b	9.59  (2.17 , 17.33 )	5.44 (2.02, 8.93)
D5b1c3b1	4.69  (1.93 , 7.50 )	3.75 (1.33, 6.21)
D5b1d'e	13.70  (7.84 , 19.73 )	12.70 (8.00, 17.52)
D5b1d	11.23  (7.58 , 14.96 )	10.87 (7.59, 14.21)
D5b1d1	8.95  (5.86 , 12.10 )	9.51 (6.26, 12.83)
D5b1d1a	4.33  (1.38 , 7.35 )	4.87 (1.11, 8.73)
D5b1d1b	3.24  (0.00 , 7.56 )	3.38 (0.00, 13.28)
D5b1d1c	2.59  (0.00 , 5.57 )	3.00 (0.00, 7.56)
D5b1d1d	4.33  (0.53 , 8.24 )	4.50 (0.03, 9.10)
D5b1d2	10.41  (4.69 , 16.33 )	9.51 (6.26, 12.83)
D5b1d2a	8.10  (4.98 , 11.28 )	8.04 (4.93, 11.20)
D5b1d2a1	5.22  (1.03 , 9.52 )	5.44 (1.30, 9.68)
D5b1d2a2	6.10  (0.96 , 11.42 )	5.94 (1.67, 10.33)
D5b1d3	4.55  (1.83 , 7.32 )	5.25 (1.84, 8.73)
D5b1e	2.59  (0.32 , 4.89 )	2.39 (0.00, 5.93)
D5b1f	3.90  (0.83 , 7.02 )	4.31 (0.68, 8.02)
D5b1g	4.45  (2.44 , 6.49 )	6.76 (3.20, 10.41)
D5b1g1	5.60  (1.25 , 10.06 )	5.19 (1.78, 8.67)
D5b2	15.47  (5.52 , 25.94 )	9.32 (3.49, 15.35)
D5b2a	6.10  (0.96 , 11.42 )	3.87 (0.00, 9.08)
D5b3	10.09  (5.74 , 14.55 )	11.13 (7.35, 15.00)
D5b3a	7.37  (1.06 , 13.92 )	7.65 (3.22, 12.21)
D5b3a1	4.82  (0.96 , 8.77 )	5.69 (2.03, 9.44)
D5b3a1a	3.08  (0.00 , 7.63 )	3.87 (0.00, 8.71)
D5b3a1a1	0.43  (0.00 , 0.91 )	1.89 (0.00, 7.29)
D5b3a1a2	0.86  (0.00 , 2.55 )	1.34 (0.00, 3.88)
D5b3a1b	2.59  (0.58 , 4.62 )	4.12 (0.62, 7.71)
D5b3a1c	1.10  (0.00 , 2.36 )	2.82 (0.00, 6.75)
D5b3b	10.84  (4.60 , 17.30 )	9.19 (4.83, 13.66)
D5b3b1	9.25  (4.18 , 14.46 )	7.72 (3.40, 12.15)
D5b3b1a	7.00  (2.27 , 11.86 )	6.00 (2.09, 10.01)
D5b3b1a1	4.33  (0.00 , 9.59 )	3.75 (0.00, 8.58)
D5b3b1a2	2.59  (0.00 , 6.24 )	2.26 (0.00, 5.19)
D5b3b1b	5.22  (0.39 , 10.19 )	4.50 (0.00, 9.35)
D5b3c	7.00  (1.04 , 13.18 )	7.72 (1.47, 14.21)
D5b3d	3.24  (0.40 , 6.14 )	4.12 (0.00, 9.59)
D5b3e	9.25  (3.39 , 15.30 )	7.91 (3.10, 12.86)
D5b3e1	7.89  (1.54 , 14.49 )	6.26 (1.62, 11.03)
D5b3e2	2.59  (0.00 , 6.24 )	2.69 (0.00, 7.49)
D5b3f	2.59  (0.05 , 5.16 )	3.69 (0.00, 15.56)
D5b3g	1.29  (0.00 , 3.09 )	2.39 (0.00, 5.81)
D5b4	12.59  (5.88 , 19.55 )	10.35 (5.10, 15.76)
D5b4a	10.61  (5.27 , 16.12 )	9.26 (5.14, 13.47)
D5b4a1	9.33  (5.24 , 13.51 )	8.29 (4.57, 12.10)
D5b4a1a	8.79  (3.28 , 14.48 )	6.95 (3.14, 10.86)
D5b4a1a1	7.89  (2.38 , 13.59 )	5.75 (1.97, 9.63)
D5b4a1a2	2.59  (0.00 , 6.24 )	3.19 (0.00, 10.14)
D5b4a1b	6.55  (2.07 , 11.15 )	6.32 (2.16, 10.59)
D5b4a1c	4.33  (0.00 , 9.13 )	5.31 (0.00, 10.95)
D5b4a2	3.11  (0.62 , 5.64 )	3.75 (0.25, 7.33)
D5b4b	1.29  (0.00 , 3.84 )	1.40 (0.00, 4.56)
D5b5	4.55  (0.00 , 9.29 )	4.50 (0.00, 9.35)
D5b5a	3.46  (0.07 , 6.92 )	2.94 (0.00, 6.87)
D5b6	8.46  (3.94 , 13.10 )	8.48 (3.05, 14.10)
D5b6a	2.96  (0.44 , 5.52 )	3.31 (0.54, 6.14)
D5c	28.83  (19.61 , 38.40 )	24.59 (13.45, 36.28)
D5c1	17.21  (9.01 , 25.75 )	15.47 (5.08, 26.45)
D5c1a	11.99  (6.21 , 17.95 )	10.35 (5.72, 15.11)
D5c1a1	9.91  (6.52 , 13.37 )	8.81 (5.81, 11.85)
D5c1a1a	10.34  (5.12 , 15.71 )	7.65 (4.68, 10.68)
D5c1a1a1	5.48  (1.67 , 9.39 )	4.62 (1.95, 7.34)
D5c1a1a1a	2.59  (0.19 , 5.01 )	2.63 (0.00, 5.32)
D5c1a1b	8.23  (2.98 , 13.65 )	7.08 (3.63, 10.60)
D5c1a1b1	6.55  (2.24 , 10.98 )	5.69 (2.15, 9.31)
D5c1a1c	1.29  (0.00 , 3.09 )	2.14 (0.00, 7.92)
D5c1a2	1.93  (0.00 , 4.16 )	2.51 (0.00, 6.06)
D5c1b	7.22  (2.78 , 11.77 )	7.65 (2.13, 13.37)
D5c1b1	4.63  (2.34 , 6.95 )	5.00 (1.47, 8.60)
D5c2'3	27.12  (15.86 , 38.92 )	22.86 (15.42, 30.54)
D5c2	24.45  (14.31 , 35.05 )	21.14 (14.29, 28.22)
D5c2a	21.76  (12.14 , 31.81 )	18.69 (12.95, 24.60)
D5c2a1	18.12  (7.94 , 28.82 )	14.81 (9.05, 20.75)
D5c2a1a	9.90  (5.41 , 14.52 )	9.19 (5.57, 12.89)
D5c2a1a1	7.89  (2.62 , 13.33 )	7.34 (3.51, 11.25)
D5c2a1a1a	5.22  (2.42 , 8.06 )	4.93 (1.53, 8.41)
D5c2a1a1a1	3.90  (0.29 , 7.58 )	2.76 (0.00, 8.93)
D5c2a1a2	6.28  (1.03 , 11.71 )	5.06 (0.46, 9.80)
D5c2a1a2a	2.59  (0.00 , 6.44 )	1.77 (0.00, 4.32)
D5c2a1a3	4.33  (0.00 , 8.96 )	4.87 (0.39, 9.48)
D5c2a2	13.37  (7.18 , 19.77 )	15.14 (7.86, 22.70)
D5c2a2a	18.06  (8.46 , 28.13 )	13.88 (5.79, 22.34)
D5c2a2b	2.59  (0.00 , 6.24 )	3.75 (0.00, 9.96)
D5c2a3	7.22  (1.03 , 13.65 )	9.06 (2.76, 15.61)
D5c2b	16.17  (6.83 , 25.97 )	16.61 (8.52, 25.04)
D5c3	11.99  (4.05 , 20.27 )	12.37 (4.10, 21.03)
D5c4	13.06  (4.05 , 22.53 )	12.63 (3.25, 22.51)
D5c4a	5.88  (1.81 , 10.06 )	6.00 (0.00, 12.69)
D6	25.18  (16.61 , 34.06 )	31.34 (14.09, 49.79)
D6a	22.35  (11.66 , 33.58 )	27.80 (13.51, 42.96)
D6a1	15.16  (5.50 , 25.31 )	20.05 (7.52, 33.36)
D6a1a	6.97  (3.54 , 10.47 )	8.04 (3.59, 12.60)
D6a1a1	4.16  (2.31 , 6.03 )	5.56 (2.75, 8.43)
D6a1a1a	2.59  (0.00 , 5.57 )	2.82 (0.00, 6.00)
D6a1a2	3.63  (0.58 , 6.75 )	4.68 (0.00, 16.23)
D6a1a3	11.53  (4.69 , 18.62 )	7.02 (2.72, 11.43)
D6a2	20.45  (10.80 , 30.54 )	21.55 (8.93, 34.94)
D6a2a	10.61  (4.16 , 17.30 )	12.24 (2.64, 22.37)
D6a2a1	6.55  (1.08 , 12.20 )	8.29 (0.00, 17.95)
D6a2b	2.59  (0.00 , 6.24 )	2.51 (0.00, 6.18)
D6c	16.41  (10.22 , 22.79 )	18.02 (7.23, 29.40)
D6c1	9.87  (6.41 , 13.40 )	9.45 (3.74, 15.35)
D6c1a	8.34  (2.92 , 13.95 )	7.40 (2.36, 12.59)
D6c1a1	6.10  (0.43 , 11.99 )	4.31 (0.32, 8.40)
D6c1b	3.24  (0.00 , 6.67 )	2.39 (0.00, 5.44)
D6c1c	2.59  (0.00 , 5.75 )	2.69 (0.00, 7.24)
D6c1d	2.59  (0.00 , 5.57 )	2.45 (0.00, 5.62)
D6c2	9.52  (4.06 , 15.15 )	7.14 (2.96, 11.43)
N	57.31  (47.01 , 67.86 )	63.91 (55.89, 72.07)
A	24.74  (17.96 , 31.72 )	26.64 (14.69, 39.20)
A4	18.96 (15.44, 22.54)	16.49 (14.30, 18.73)
A1	12.74  (6.35 , 19.36 )	14.05 (9.60, 18.61)
A1a	6.55  (3.30 , 9.86 )	7.86 (3.93, 11.88)
A1a1	4.08  (0.74 , 7.50 )	4.03 (0.00, 10.22)
A1b	11.99  (4.73 , 19.54 )	8.88 (3.46, 14.46)
A1c	1.29  (0.00 , 3.84 )	2.25 (0.00, 6.88)
A6	13.80  (10.26 , 17.41 )	12.81 (9.64, 16.03)
A6a	12.36  (7.43 , 17.43 )	11.64 (8.12, 15.23)
A6a1	2.59  (0.00 , 5.57 )	2.37 (0.00, 5.04)
A6a2	4.55  (0.72 , 8.49 )	5.53 (0.23, 11.01)
A6b	11.03  (5.59 , 16.64 )	9.13 (4.80, 13.57)
A6b1	6.82  (2.54 , 11.20 )	5.71 (2.20, 9.31)
A6b2	3.11  (0.62 , 5.64 )	3.11 (0.00, 7.26)
A6c	4.22  (1.29 , 7.21 )	3.60 (0.25, 7.03)
A6c1	5.22  (1.03 , 9.52 )	2.86 (0.12, 5.66)
A6d	6.55  (1.08 , 12.20 )	8.68 (1.95, 15.69)
A6e	9.93  (1.99 , 18.24 )	9.19 (2.44, 16.22)
A6f	1.72  (0.03 , 3.42 )	4.03 (0.00, 12.25)
A6g	4.33  (0.53 , 8.24 )	4.22 (0.00, 8.78)
A12'23	18.22  (10.30 , 26.46 )	15.04 (7.19, 23.22)
A12	16.41  (7.52 , 25.70 )	12.23 (5.23, 19.50)
A12a	7.00  (3.34 , 10.73 )	6.47 (1.25, 11.85)
A12b	6.10  (1.56 , 10.78 )	6.59 (0.19, 13.26)
A23	12.30  (2.42 , 22.75 )	9.64 (2.63, 16.95)
A23a	1.72  (0.03 , 3.42 )	2.19 (0.16, 4.24)
A13	13.13  (8.02 , 18.39 )	10.80 (7.17, 14.50)
A13a	12.96  (7.20 , 18.90 )	9.64 (6.04, 13.32)
A13a1	12.10  (6.39 , 17.99 )	8.81 (5.59, 12.09)
A13a1a	8.61  (4.21 , 13.13 )	7.54 (4.35, 10.80)
A13a1a1	4.63  (2.20 , 7.09 )	5.28 (2.13, 8.49)
A13a1a2	5.88  (2.01 , 9.84 )	4.41 (1.39, 7.48)
A13a1b	2.91  (0.29 , 5.58 )	3.05 (0.00, 6.71)
A13a1b1	2.59  (0.00 , 5.57 )	1.88 (0.00, 4.42)
A13a2	7.22  (3.32 , 11.21 )	7.29 (3.01, 11.68)
A13a2a	6.10  (0.96 , 11.42 )	5.34 (0.16, 10.69)
A13b	7.00  (2.81 , 11.28 )	7.10 (0.79, 13.66)
A13b1	7.48  (2.70 , 12.40 )	7.10 (1.62, 12.76)
A13b1a	4.69  (2.07 , 7.35 )	5.71 (1.60, 9.94)
A13b1b	5.22  (0.39 , 10.19 )	4.97 (0.00, 10.68)
A14	9.51  (7.42 , 11.62 )	9.51 (7.39, 11.66)
A14a	4.55  (2.28 , 6.86 )	5.03 (1.88, 8.24)
A14a1	4.69  (1.61 , 7.83 )	3.91 (0.79, 7.10)
A14b	10.11  (2.95 , 17.58 )	8.05 (4.84, 11.31)
A14b1	7.08  (1.40 , 12.97 )	5.71 (1.36, 10.19)
A14b1a	3.46  (0.07 , 6.92 )	2.80 (0.00, 7.20)
A14c	5.71  (3.37 , 8.08 )	5.97 (2.92, 9.07)
A14c1	5.22  (1.20 , 9.34 )	4.47 (1.22, 7.79)
A14c1a	3.46  (0.00 , 7.71 )	2.19 (0.00, 5.09)
A14c2	2.59  (0.00 , 5.57 )	2.92 (0.00, 7.20)
A14c3	2.59  (0.00 , 5.57 )	2.92 (0.00, 7.32)
A14d	11.88  (5.32 , 18.68 )	8.24 (5.27, 11.26)
A14d1	10.36  (4.83 , 16.07 )	7.22 (3.91, 10.60)
A14d1a	6.55  (1.39 , 11.87 )	3.54 (0.07, 7.09)
A14d1b	1.93  (0.00 , 4.81 )	1.88 (0.00, 4.78)
A14e	7.89  (2.49 , 13.48 )	7.67 (4.47, 10.93)
A14e1	5.66  (2.33 , 9.06 )	6.09 (2.92, 9.32)
A14f	5.22  (1.03 , 9.52 )	4.90 (0.00, 9.99)
A14g	3.46  (0.00 , 7.71 )	4.10 (0.00, 9.40)
A14h	1.93  (0.00 , 4.81 )	1.82 (0.00, 4.35)
A14i	7.89  (1.54 , 14.49 )	4.84 (0.98, 8.79)
A14j	3.71  (0.00 , 8.43 )	3.66 (0.00, 7.71)
A14j1	1.29  (0.00 , 2.76 )	2.19 (0.00, 5.34)
A14k	3.90  (0.00 , 8.42 )	5.09 (0.00, 11.83)
A27	13.02  (7.99 , 18.20 )	11.84 (8.43, 15.30)
A27a	11.86  (3.89 , 20.19 )	10.28 (4.70, 16.05)
A27a1	3.46  (1.19 , 5.76 )	4.84 (0.63, 9.17)
A27b	10.61  (4.16 , 17.30 )	9.84 (2.46, 17.54)
A27b1	8.79  (2.77 , 15.04 )	7.98 (2.00, 14.19)
A28	8.79  (5.12 , 12.55 )	9.45 (5.36, 13.64)
A28a	2.59  (0.00 , 6.68 )	2.19 (0.00, 5.21)
A28b	7.89  (1.21 , 14.85 )	6.09 (0.30, 12.10)
A28c	2.59  (0.00 , 6.24 )	2.98 (0.00, 7.01)
A29	7.89  (1.66 , 14.36 )	9.84 (1.74, 18.33)
A30	3.75  (0.31 , 7.27 )	4.22 (0.00, 8.91)
A30a	0.64  (0.00 , 1.91 )	0.79 (0.00, 2.82)
A31	5.22  (1.93 , 8.57 )	6.97 (1.38, 12.76)
A32	0.86  (0.00 , 2.05 )	1.70 (0.00, 11.06)
A33	15.87  (8.40 , 23.64 )	11.12 (7.61, 14.70)
A33a	11.39  (5.50 , 17.48 )	9.19 (3.53, 15.05)
A33a1	13.37  (6.09 , 20.94 )	8.30 (3.27, 13.49)
A33a1a	5.88  (0.91 , 11.02 )	5.15 (0.00, 10.62)
A33a1a1	2.59  (0.00 , 5.57 )	2.68 (0.00, 6.45)
