edge_id	parent_node	child_node	parent_label	child_label	from_state	to_state	n_simulations_with_event	edge_transition_support	mean_n_event	n_descendant_tip	descendant_tip_representative	edge_was_floored
20	218	219	Node218	Node219	GansuQinghai	SouthWest	7	0.035	0.035	80	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
21	219	220	Node219	Node220	Plateau	YellowRiver	7	0.035	0.035	10	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
34	226	227	Node226	Node227	GansuQinghai	Plateau	7	0.035	0.035	2	GSRD009056A00_TS0_00_D1a1a1a1a1b1;YSW00402A00_BB1_01_D1a1a1a1a1b1	FALSE
35	227	16	Node227	GSRD009056A00_TS0_00_D1a1a1a1a1b1	GansuQinghai	Plateau	7	0.035	0.035	1	GSRD009056A00_TS0_00_D1a1a1a1a1b1	FALSE
52	236	237	Node236	Node237	GansuQinghai	Plateau	7	0.035	0.035	2	GSRD008184A00_BB1_01_D1a1a1a1a1b1;GSRD008184A01_BB1_01_D1a1a1a1a1b1	FALSE
412	413	207	Node413	Chuan10298A00_BB0_00_D1a1a1b1a2	SouthWest	GansuQinghai	7	0.035	0.035	1	Chuan10298A00_BB0_00_D1a1a1b1a2	FALSE
36	227	17	Node227	YSW00402A00_BB1_01_D1a1a1a1a1b1	GansuQinghai	Plateau	6	0.03	0.03	1	YSW00402A00_BB1_01_D1a1a1a1a1b1	FALSE
37	226	228	Node226	Node228	GansuQinghai	Plateau	6	0.03	0.03	2	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
179	218	298	Node218	Node298	Plateau	YellowRiver	6	0.03	0.03	110	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	FALSE
179	218	298	Node218	Node298	YellowRiver	GansuQinghai	6	0.03	0.03	110	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	FALSE
313	365	366	Node365	Node366	Plateau	SouthWest	6	0.03	0.03	2	GSRD019919A00_BB1_01_D1a1a1a1b;GSRD020659A00_BB1_01_D1a1a1a1b	FALSE
313	365	366	Node365	Node366	SouthWest	GansuQinghai	6	0.03	0.03	2	GSRD019919A00_BB1_01_D1a1a1a1b;GSRD020659A00_BB1_01_D1a1a1a1b	FALSE
406	407	411	Node407	Node411	Plateau	SouthWest	6	0.03	0.03	4	Chuan10298A00_BB0_00_D1a1a1b1a2;CQ10079A00_BB0_00_D1a1a1b1a;GSRD009801A00_BB0_00_D1a1a1b1b	FALSE
411	413	206	Node413	CQ10079A00_BB0_00_D1a1a1b1a	GansuQinghai	Plateau	6	0.03	0.03	1	CQ10079A00_BB0_00_D1a1a1b1a	FALSE
1	208	209	Node208	Node209	GansuQinghai	SouthWest	5	0.025	0.025	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
40	219	229	Node219	Node229	YellowRiver	GansuQinghai	5	0.025	0.025	70	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD007997A00_BB1_01_D1a1a1a1a1b1	FALSE
51	235	236	Node235	Node236	GansuQinghai	Plateau	5	0.025	0.025	3	GSRD008184A00_BB1_01_D1a1a1a1a1b1;GSRD008184A01_BB1_01_D1a1a1a1a1b1;GSRD020852A00_BB1_01_D1a1a1a1a1b1	FALSE
195	306	307	Node306	Node307	Plateau	SouthWest	5	0.025	0.025	2	GSRD008320A01_BB1_01_D1a1a1a1b;YSW00492A00_BB0_00_D1a1a1a1b	FALSE
398	208	407	Node208	Node407	Plateau	YellowRiver	5	0.025	0.03	8	Chuan10298A00_BB0_00_D1a1a1b1a2;CQ10079A00_BB0_00_D1a1a1b1a;GSRD008877A00_BB0_01_D1a1a1b2	FALSE
37	226	228	Node226	Node228	GansuQinghai	SouthWest	4	0.02	0.02	2	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
38	228	18	Node228	GSRD009825A00_BB0_00_D1a1a1a1a1b2	GansuQinghai	Plateau	4	0.02	0.02	1	GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
51	235	236	Node235	Node236	SouthWest	Plateau	4	0.02	0.02	3	GSRD008184A00_BB1_01_D1a1a1a1a1b1;GSRD008184A01_BB1_01_D1a1a1a1a1b1;GSRD020852A00_BB1_01_D1a1a1a1a1b1	FALSE
56	235	238	Node235	Node238	GansuQinghai	Plateau	4	0.02	0.02	2	GSRD009863A00_BB0_00_D1a1a1a1a1b1;WDC11806290166_D1a1a1a1a1b1	FALSE
