source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period	matched_in_project	project_n_samples	project_confidence	project_calibration_method	project_rho_age_kya	project_rho_ci95_lower_kya	project_rho_ci95_upper_kya	project_ml_age_kya	project_ml_ci95_lower_kya	project_ml_ci95_upper_kya	diff_lit_minus_project_rho_kya	diff_lit_minus_project_ml_kya	abs_diff_vs_rho_kya	abs_diff_vs_ml_kya	rel_diff_vs_rho_pct	rel_diff_vs_ml_pct	nearest_project_method	min_abs_diff_to_project_kya	overlap_with_project_rho_ci95	overlap_with_project_ml_ci95	interval_reasonable_flag	large_difference_flag
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	M23		36.52	21.6	52.24			yes	220	high	rho_direct	4.4224	4.0514	4.7942	4.4224	4.0514	4.7942	32.0976	32.0976	32.0976	32.0976	725.795948	725.795948	rho	32.0976	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	M7b1a1	380	52.69	31.69	78.77		19.5 kya	yes	2996	high	rho_direct	20.8081	20.1929	21.425	20.8081	20.1929	21.425	31.8819	31.8819	31.8819	31.8819	153.218698	153.218698	rho	31.8819	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	B4c1c3		1.55	0.0	3.31			yes	4	low	rho_fallback_no_desc	32.2566	-16.9863	93.2948	32.2566	0.0	93.2948	-30.7066	-30.7066	30.7066	30.7066	95.194782	95.194782	rho	30.7066	yes	yes	yes	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	M7b		23.5639	13.045756	34.082044	5.3664		yes	3187	high	rho_direct	53.6884	53.0037	54.3743	53.6884	53.0037	54.3743	-30.1245	-30.1245	30.1245	30.1245	56.109886	56.109886	rho	30.1245	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	C7c		12.85	4.75	21.31			yes	5	low	rho_fallback_no_desc	41.7816	4.3274	84.3546	41.7816	4.3274	84.3546	-28.9316	-28.9316	28.9316	28.9316	69.244835	69.244835	rho	28.9316	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	B4c1c3		3.51	0.0	10.41			yes	4	low	rho_fallback_no_desc	32.2566	-16.9863	93.2948	32.2566	0.0	93.2948	-28.7466	-28.7466	28.7466	28.7466	89.118506	89.118506	rho	28.7466	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	M12a1b1		7.7	0.8	14.89			yes	14	medium	rho_direct	36.3887	16.0588	58.2499	36.3887	16.0588	58.2499	-28.6887	-28.6887	28.6887	28.6887	78.839585	78.839585	rho	28.6887	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	M12a1b1		7.89	0.83	15.26			yes	14	medium	rho_direct	36.3887	16.0588	58.2499	36.3887	16.0588	58.2499	-28.4987	-28.4987	28.4987	28.4987	78.317445	78.317445	rho	28.4987	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1a'b	118	65.6	44.35	93.02		19.5 kya	yes	868	high	rho_direct	37.3017	36.1824	38.4252	37.3017	36.1824	38.4252	28.2983	28.2983	28.2983	28.2983	75.863298	75.863298	rho	28.2983	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	M7b1a	451	54.33	32.77	70.43		19.5 kya	yes	3148	high	rho_direct	26.3941	25.7702	27.0196	26.3941	25.7702	27.0196	27.9359	27.9359	27.9359	27.9359	105.841457	105.841457	rho	27.9359	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c	151	67.6	44.46	94.27		19.5 kya	yes	1228	high	rho_direct	39.6946	38.6497	40.7431	39.6946	38.6497	40.7431	27.9054	27.9054	27.9054	27.9054	70.300242	70.300242	rho	27.9054	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	M13c1		32.26	18.55	46.69			yes	14	medium	rho_direct	4.4601	2.9884	5.9458	4.4601	2.9884	5.9458	27.7999	27.7999	27.7999	27.7999	623.302168	623.302168	rho	27.7999	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	C7d		7.22	2.9	11.66			yes	5	low	rho_fallback_no_desc	34.9901	12.314	59.6451	34.9901	12.314	59.6451	-27.7701	-27.7701	27.7701	27.7701	79.365592	79.365592	rho	27.7701	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L0d		48.4217	29.985352	66.858048	9.4063		yes	136	high	rho_direct	75.8277	73.5065	78.1587	75.8277	73.5065	78.1587	-27.406	-27.406	27.406	27.406	36.142465	36.142465	rho	27.406	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L1b		4.3339	0.0	11.223888	3.5153		yes	212	high	rho_direct	31.6585	30.7405	32.5796	31.6585	30.7405	32.5796	-27.3246	-27.3246	27.3246	27.3246	86.31047	86.31047	rho	27.3246	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	C7c		14.49	7.44	21.8			yes	5	low	rho_fallback_no_desc	41.7816	4.3274	84.3546	41.7816	4.3274	84.3546	-27.2916	-27.2916	27.2916	27.2916	65.319662	65.319662	rho	27.2916	yes	yes	yes	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1	125	66.28	42.98	91.95		19.5 kya	yes	1032	high	rho_direct	39.0347	37.9304	40.1429	39.0347	37.9304	40.1429	27.2453	27.2453	27.2453	27.2453	69.797642	69.797642	rho	27.2453	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	M7b1		13.2784	0.0	26.788288	6.8928		yes	3165	high	rho_direct	40.2704	39.6198	40.9225	40.2704	39.6198	40.9225	-26.992	-26.992	26.992	26.992	67.026898	67.026898	rho	26.992	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	M13c1		31.14	15.74	47.49			yes	14	medium	rho_direct	4.4601	2.9884	5.9458	4.4601	2.9884	5.9458	26.6799	26.6799	26.6799	26.6799	598.190624	598.190624	rho	26.6799	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	C7d		8.7	2.82	14.79			yes	5	low	rho_fallback_no_desc	34.9901	12.314	59.6451	34.9901	12.314	59.6451	-26.2901	-26.2901	26.2901	26.2901	75.135824	75.135824	rho	26.2901	yes	yes	yes	yes
