edge_id	parent_node	child_node	parent_label	child_label	child_is_tip	n_descendant_tip	descendant_tip_representative	edge_length_analysis	edge_length_input_units	edge_was_floored	branch_scale_factor
192	304	96	Node304	HRR1385287.Y.bam__	TRUE	1	HRR1385287.Y.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
193	304	305	Node304	Node305	FALSE	103	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
194	305	306	Node305	Node306	FALSE	66	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	0.334191343470831	1.5e-05	FALSE	4.48844660194175e-05
195	306	307	Node306	Node307	FALSE	2	GSRD008320A01_BB1_01_D1a1a1a1b;YSW00492A00_BB0_00_D1a1a1a1b	0.155955960286388	7e-06	FALSE	4.48844660194175e-05
196	307	97	Node307	YSW00492A00_BB0_00_D1a1a1a1b	TRUE	1	YSW00492A00_BB0_00_D1a1a1a1b	7.48588609374662	0.000336	FALSE	4.48844660194175e-05
197	307	98	Node307	GSRD008320A01_BB1_01_D1a1a1a1b	TRUE	1	GSRD008320A01_BB1_01_D1a1a1a1b	5.21338495814497	0.000234	FALSE	4.48844660194175e-05
198	306	308	Node306	Node308	FALSE	64	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	1.13625056780083	5.1e-05	FALSE	4.48844660194175e-05
199	308	309	Node308	Node309	FALSE	49	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
200	309	310	Node309	Node310	FALSE	48	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
201	310	311	Node310	Node311	FALSE	15	GSRD008047A01_BB1_01_D1a1a1a1b;GSRD008057A00_BB1_01_D1a1a1a1b;GSRD008057A01_BB1_01_D1a1a1a1b	0.490147303757219	2.2e-05	FALSE	4.48844660194175e-05
