simulation_id	event_id	edge_id	parent_node	child_node	parent_label	child_label	event_order_on_edge	from_state	to_state	edge_length_analysis	distance_from_parent_analysis	distance_to_child_analysis	relative_position_from_parent	edge_length_input_units	distance_from_parent_input_units	distance_to_child_input_units	n_descendant_tip	descendant_tip_representative	edge_was_floored
1	sim0001_edge0216_event01	216	318	319	Node318	Node319	1	Plateau	SouthWest	0.334191343470831	0.142079141598874	0.192112201871957	0.425143093544177	1.5e-05	6.37714640316266e-06	8.62285359683734e-06	3	GSRD008047A01_BB1_01_D1a1a1a1b;GSRD008171A00_BB1_01_D1a1a1a1b;GSRD008171A01_BB1_01_D1a1a1a1b	FALSE
1	sim0001_edge0224_event01	224	322	323	Node322	Node323	1	Plateau	SouthWest	1.33676537388332	0.155809544507899	1.18095582937543	0.116557136766095	6e-05	6.9934282059657e-06	5.30065717940343e-05	3	GSRD008111A00_BB0_01_D1a1a1a1b;GSRD008111A01_BB0_01_D1a1a1a1b;GSRD008212A00_BB1_01_D1a1a1a1b	FALSE
1	sim0001_edge0230_event01	230	310	325	Node310	Node325	1	Plateau	SouthWest	0.913456338820272	0.174313073158829	0.739143265661443	0.190828029486285	4.1e-05	7.82394920893769e-06	3.31760507910623e-05	33	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	FALSE
1	sim0001_edge0298_event01	298	358	359	Node358	Node359	1	Plateau	SouthWest	0.490147303757219	0.00249777084534641	0.487649532911873	0.00509595957419284	2.2e-05	1.12111110632242e-07	2.18878888893678e-05	2	GSRD008063A01_BB1_01_D1a1a1a1b;GSRD008162A00_BB1_01_D1a1a1a1b	FALSE
1	sim0001_edge0307_event01	307	363	364	Node363	Node364	1	Plateau	SouthWest	2.94088382254332	1.99825717662021	0.942626645923106	0.679475048045961	0.000132	8.96907063420669e-05	4.23092936579331e-05	2	GSRD007969A00_BB1_01_D1a1a1a1b;GSRD007969A01_BB1_01_D1a1a1a1b	FALSE
1	sim0001_edge0316_event01	316	365	367	Node365	Node367	1	Plateau	SouthWest	2.29478055849971	0.42699431875964	1.86778623974007	0.186071961076227	0.000103	1.91654119908514e-05	8.38345880091486e-05	5	GSRD009811A00_BB0_00_D1a1a1a1b;GSRD009881A00_BB0_00_D1a1a1a1b;GSRD009892A00_BB0_00_D1a1a1a1b	FALSE
1	sim0001_edge0369_event01	369	394	395	Node394	Node395	1	Plateau	SouthWest	3.74294304687331	1.13418967264748	2.60875337422583	0.303020820366192	0.000168	5.09074978215202e-05	0.00011709250217848	2	GSRD008110A00_BB0_01_D1a1a1a1b2;GSRD008110A01_BB0_01_D1a1a1a1b2	FALSE
1	sim0001_edge0370_event01	370	395	183	Node395	GSRD008110A00_BB0_01_D1a1a1a1b2	1	SouthWest	GansuQinghai	0.0222794228980554	0.0111397114490277	0.0111397114490277	0.5	1e-06	5e-07	5e-07	1	GSRD008110A00_BB0_01_D1a1a1a1b2	FALSE
1	sim0001_edge0395_event01	395	405	406	Node405	Node406	1	Plateau	SouthWest	5.52529687871774	5.476176724212	0.0491201545057409	0.991109951992817	0.000248	0.000245795268094219	2.20473190578146e-06	2	GSRD008072A00_BB1_01_D1a1a1a1b;GSRD008072A01_BB1_01_D1a1a1a1b	FALSE
1	sim0001_edge0398_event01	398	208	407	Node208	Node407	1	GansuQinghai	Plateau	25.9109688304384	3.83198369195363	22.0789851384848	0.147890405682248	0.001163	0.000171996541808455	0.000991003458191545	8	Chuan10298A00_BB0_00_D1a1a1b1a2;CQ10079A00_BB0_00_D1a1a1b1a;GSRD008877A00_BB0_01_D1a1a1b2	FALSE
1	sim0001_edge0398_event02	398	208	407	Node208	Node407	2	Plateau	SouthWest	25.9109688304384	8.54244294564219	17.3685258847963	0.329684428303086	0.001163	0.00038342299011649	0.00077957700988351	8	Chuan10298A00_BB0_00_D1a1a1b1a2;CQ10079A00_BB0_00_D1a1a1b1a;GSRD008877A00_BB0_01_D1a1a1b2	FALSE
2	sim0002_edge0001_event01	1	208	209	Node208	Node209	1	YellowRiver	GansuQinghai	17.2665527459929	6.00235888756045	11.2641938584325	0.347629256161362	0.000775	0.000269412673525055	0.000505587326474945	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
2	sim0002_edge0001_event02	1	208	209	Node208	Node209	2	GansuQinghai	Plateau	17.2665527459929	6.23159795096361	11.0349547950293	0.360905737389287	0.000775	0.000279701946476698	0.000495298053523302	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
2	sim0002_edge0001_event03	1	208	209	Node208	Node209	3	Plateau	SouthWest	17.2665527459929	6.41866865866526	10.8478840873277	0.371740019741627	0.000775	0.000288098515299761	0.000486901484700239	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
2	sim0002_edge0001_event04	1	208	209	Node208	Node209	4	SouthWest	GansuQinghai	17.2665527459929	17.1736995883872	0.092853157605763	0.994622368519546	0.000775	0.000770832335602648	4.16766439735148e-06	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
2	sim0002_edge0006_event01	6	211	3	Node211	L8067.Y.trim.bam__	1	GansuQinghai	Plateau	2.22794228980554	1.02555162003323	1.20239066977231	0.4603133684054	1e-04	4.603133684054e-05	5.396866315946e-05	1	L8067.Y.trim.bam__	FALSE
2	sim0002_edge0008_event01	8	212	4	Node212	L7053.Y.trim.bam__	1	GansuQinghai	Plateau	2.22794228980554	0.00272727108508903	2.22521501872045	0.00122412106344418	1e-04	1.22412106344418e-07	9.98775878936556e-05	1	L7053.Y.trim.bam__	FALSE
2	sim0002_edge0010_event01	10	213	5	Node213	HRR660152_Y_rg.bam__	1	GansuQinghai	Plateau	2.22794228980554	2.03406719867846	0.193875091127078	0.912980200602952	1e-04	9.12980200602952e-05	8.70197993970479e-06	1	HRR660152_Y_rg.bam__	FALSE
