source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b1b1	19	10.48	2.45	18.51		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b1b1	19	2.49	0.19	4.79		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b1b1	19	9.26	3.12	18.49		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b1b1	19	7.65				5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b1b1a	18	4.71	-1.2	10.61		2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b1b1a	18	5.31	0.82	9.81		2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b1b1a	18	1.75	-0.35	3.85		2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b1b1a	18	5.66	1.51	12.16		2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b1b1a	18	4.36				2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b1b1a1	15	1.88	0.42	3.34		2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b1b1a1	15	3.45	1.66	5.23		2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b1b1a1	15	2.1	-0.42	4.62		2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b1b1a1	15	5.23	1.19	11.69		2-5 kya
