source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period	matched_in_project	project_n_samples	project_confidence	project_calibration_method	project_rho_age_kya	project_rho_ci95_lower_kya	project_rho_ci95_upper_kya	project_ml_age_kya	project_ml_ci95_lower_kya	project_ml_ci95_upper_kya	diff_lit_minus_project_rho_kya	diff_lit_minus_project_ml_kya	abs_diff_vs_rho_kya	abs_diff_vs_ml_kya	rel_diff_vs_rho_pct	rel_diff_vs_ml_pct	nearest_project_method	min_abs_diff_to_project_kya	overlap_with_project_rho_ci95	overlap_with_project_ml_ci95	interval_reasonable_flag	large_difference_flag
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b1b3		5.32	0.75	10.01			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2		15.51	11.13	19.99			yes	94	high	rho_direct	19.3475	15.4365	23.3313	19.3475	15.4365	23.3313	-3.8375	-3.8375	3.8375	3.8375	19.834604	19.834604	rho	3.8375	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2		17.35	11.83	23.02			yes	94	high	rho_direct	19.3475	15.4365	23.3313	19.3475	15.4365	23.3313	-1.9975	-1.9975	1.9975	1.9975	10.324331	10.324331	rho	1.9975	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2a		13.97	6.04	22.24			yes	14	medium	rho_direct	19.6263	16.8077	22.4823	19.6263	16.8077	22.4823	-5.6563	-5.6563	5.6563	5.6563	28.820002	28.820002	rho	5.6563	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2a		15.17	9.08	21.45			yes	14	medium	rho_direct	19.6263	16.8077	22.4823	19.6263	16.8077	22.4823	-4.4563	-4.4563	4.4563	4.4563	22.705757	22.705757	rho	4.4563	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2a1		4.73	2.01	7.51			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2a1		4.94	2.05	7.89			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2a2		15.23	6.28	24.61			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2a2		13.14	6.75	19.75			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2b		15.23	8.17	22.56			yes	14	medium	rho_direct	19.0125	15.421	22.6657	19.0125	15.421	22.6657	-3.7825	-3.7825	3.7825	3.7825	19.894806	19.894806	rho	3.7825	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2b		13.79	8.25	19.5			yes	14	medium	rho_direct	19.0125	15.421	22.6657	19.0125	15.421	22.6657	-5.2225	-5.2225	5.2225	5.2225	27.468771	27.468771	rho	5.2225	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2b1		3.71	0.62	6.86			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2b1		3.77	0.0	8.3			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2b2		10.61	4.52	16.92			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2b2		8.96	3.69	14.4			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2b3		5.22	0.39	10.19			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2b3		6.69	0.9	12.69			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2c		7.35	3.67	11.12			yes	9	low	rho_fallback_no_desc	5.2164	-0.3636	10.9998	5.2164	0.0	10.9998	2.1336	2.1336	2.1336	2.1336	40.901771	40.901771	rho	2.1336	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2c		8.01	3.73	12.4			yes	9	low	rho_fallback_no_desc	5.2164	-0.3636	10.9998	5.2164	0.0	10.9998	2.7936	2.7936	2.7936	2.7936	53.554175	53.554175	rho	2.7936	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2d		4.63	0.09	9.3			yes	10	medium	rho_direct	4.9513	2.5902	7.3482	4.9513	2.5902	7.3482	-0.3213	-0.3213	0.3213	0.3213	6.489205	6.489205	rho	0.3213	yes	yes	yes	no
